N	3gram	Tiupa_Lite	Komedia
1	в том что	15	29
2	то же время	12	16
3	в то же	12	16
4	о том что	3	13
5	и т п	2	11
6	в свою очередь	2	10
7	едва ли не	5	10
8	по отношению к	4	9
9	с одной стороны	8	9
10	речь идет о	3	8
11	с другой стороны	5	8
12	во всяком случае	2	7
13	так или иначе	8	7
14	говоря уже о	2	6
15	в связи с	4	6
16	с точки зрения	4	6
17	в том числе	2	6
18	до тех пор	2	6
19	не говоря уже	3	6
20	в отличие от	6	6
21	в этом отношении	5	5
22	за то что	2	5
23	тем не менее	4	5
24	чуть ли не	2	4
25	можно было бы	2	4
26	в соответствии с	2	3
27	в том же	3	3
28	а то и	2	3
29	состоит в том	8	3
30	но при этом	2	2
31	только в том	2	2
32	подобно тому как	4	2
33	да и сам	2	2
34	не только в	4	2
35	в этом случае	2	2
36	в конечном счете	8	2
37	этой точки зрения	3	2
38	с этой точки	3	2
39	в разговоре с	2	2
40	по отношению ко	2	2
