N	2gram	Losev_Prob	VerxiiNi
1	и в	64	26
2	таким образом	9	22
3	с тем	6	18
4	в этом	30	15
5	вместе с	4	15
6	точки зрения	5	13
7	как бы	18	12
8	в том	19	11
9	не только	37	10
10	из этих	5	10
11	и с	12	10
12	может быть	29	10
13	что в	21	9
14	так как	16	9
15	в области	8	9
16	связи с	8	9
17	но и	23	9
18	но не	13	8
19	с другой	8	8
20	в общем	5	8
21	и не	63	8
22	как на	3	8
23	но все	5	7
24	к нему	5	7
25	потому что	24	7
26	одной стороны	4	7
27	из них	3	7
28	то что	72	7
29	с одной	4	7
30	но в	19	7
31	том что	26	7
32	представление о	6	6
33	в отношении	7	6
34	все же	7	6
35	к тому	5	6
36	о том	25	6
37	мы должны	5	6
38	того же	3	6
39	в себе	16	6
40	в конце	13	6
41	несмотря на	6	6
42	всяком случае	11	6
43	что и	2	6
44	с точки	3	6
45	все эти	15	6
46	все это	11	6
47	и потому	3	6
48	так и	17	6
49	во всяком	18	6
50	никогда не	8	5
51	и для	10	5
52	не имеет	8	5
53	более или	7	5
54	так же	12	5
55	том числе	2	5
56	и к	2	5
57	в силу	2	5
58	того чтобы	10	5
59	лишь в	4	5
60	в его	12	5
61	крайней мере	8	5
62	для того	10	5
63	а не	21	5
64	по крайней	8	5
65	сих пор	6	5
66	до сих	6	5
67	или менее	7	5
68	на этот	3	4
69	и от	3	4
70	что все	9	4
71	далеко не	9	4
72	а в	7	4
73	с другими	6	4
74	в котором	5	4
75	в самом	10	4
76	в нем	14	4
77	не может	18	4
78	в смысле	2	4
79	и тогда	2	4
80	в которых	4	4
81	что оно	4	4
82	то есть	61	4
83	из которых	2	4
84	в виде	20	4
85	то же	10	4
86	числе и	2	4
87	и что	21	4
88	и по	3	4
89	в этих	7	4
90	только в	19	4
91	что он	11	4
92	и только	7	4
93	он не	5	4
94	ничем не	2	4
95	в этой	14	4
96	в то	7	4
97	учение о	5	4
98	что это	4	3
99	на нее	2	3
100	в своем	7	3
101	с самого	3	3
102	так или	7	3
103	но с	2	3
104	если в	2	3
105	оказывается что	4	3
106	не вполне	4	3
107	большей частью	5	3
108	точно так	7	3
109	или иначе	7	3
110	и если	9	3
111	уже не	9	3
112	хотя бы	15	3
113	и нет	2	3
114	в результате	6	3
115	в которой	2	3
116	в значительной	2	3
117	тем не	25	3
118	представляет собой	2	3
119	и даже	19	3
120	и как	10	3
121	что эти	2	3
122	если бы	8	3
123	уже с	4	3
124	и те	2	3
125	же как	2	3
126	в других	5	3
127	при этом	8	3
128	конце концов	11	3
129	не менее	26	3
130	то с	9	3
131	как о	4	3
132	в качестве	3	3
133	и при	4	3
134	в связи	7	3
135	в таком	18	3
136	так что	12	3
137	случае не	6	3
138	ясно что	7	3
139	и о	11	3
140	но по	2	3
141	можно сказать	9	3
142	к сожалению	6	3
143	того что	18	3
144	для него	2	3
145	по своему	14	2
146	одно из	2	2
147	сказать что	33	2
148	так например	2	2
149	которые в	4	2
150	для этого	5	2
151	о котором	4	2
152	говорили о	2	2
153	в эту	2	2
154	и является	9	2
155	из этого	2	2
156	общего с	10	2
157	и это	13	2
158	или иной	8	2
159	не могут	6	2
160	но при	2	2
161	а также	6	2
162	не должны	4	2
163	на то	12	2
164	утверждать что	2	2
165	в самой	3	2
166	для всех	3	2
167	или по	5	2
168	относится к	6	2
169	ли это	2	2
170	он в	2	2
171	тех пор	4	2
172	можно только	2	2
173	мы имеем	3	2
174	мы можем	8	2
175	между этими	2	2
176	есть как	2	2
177	свидетельствует о	5	2
178	по тому	2	2
179	больше чем	2	2
180	между тем	3	2
181	такое положение	2	2
182	не потому	2	2
183	одним из	2	2
184	еще только	2	2
185	только что	2	2
186	особенно в	3	2
187	к его	2	2
188	при таком	2	2
189	сознании и	4	2
190	не как	2	2
191	именно в	5	2
192	конечно не	3	2
193	отличается от	2	2
194	если не	6	2
195	тогда когда	4	2
196	требует от	2	2
197	но если	6	2
198	что мы	23	2
199	в них	8	2
200	только не	4	2
201	и особенно	4	2
202	очень много	3	2
203	и на	11	2
204	и здесь	8	2
205	уже в	6	2
206	с целью	4	2
207	еще не	18	2
208	для каждого	2	2
209	мысль о	3	2
210	к другу	2	2
211	для этих	2	2
212	все что	2	2
213	то или	3	2
214	иной раз	3	2
215	не было	7	2
216	и больше	2	2
217	самого начала	2	2
218	этом отношении	2	2
219	от человека	2	2
220	не в	6	2
221	только для	3	2
222	и наконец	3	2
223	то ни	3	2
224	ничего общего	14	2
225	той или	10	2
226	перестает быть	3	2
227	в одно	5	2
228	и все	9	2
229	но когда	2	2
230	значительной мере	2	2
231	один из	7	2
232	уже давно	7	2
233	в виду	10	2
234	со всеми	2	2
235	быть даже	2	2
236	прежде всего	17	2
237	бы то	2	2
238	или иное	2	2
239	тот же	4	2
240	его от	4	2
241	с его	3	2
242	во всех	9	2
243	же самое	9	2
244	в другое	2	2
245	тем и	3	2
246	быть и	5	2
247	по существу	2	2
