N	2gram	Propp_Isto	Morfolog
1	и т	39	62
2	может быть	37	61
3	т д	35	60
4	и пр	11	45
5	в сказке	63	27
6	таким образом	13	26
7	т е	30	25
8	волшебного средства	2	23
9	могут быть	5	21
10	так как	20	20
11	мы имеем	25	19
12	не может	19	19
13	в этом	13	18
14	в этих	17	17
15	представляет собой	7	17
16	и в	40	17
17	и не	19	16
18	представляют собой	9	16
19	волшебное средство	3	15
20	мы видим	16	15
21	этих случаях	11	15
22	перед нами	5	14
23	с этим	5	14
24	прежде всего	15	14
25	по существу	7	13
26	при помощи	2	12
27	и др	11	12
28	связи с	10	12
29	видим что	13	12
30	а не	18	11
31	заметить что	2	11
32	вопрос о	8	10
33	но если	4	10
34	составные части	2	10
35	мы увидим	17	10
36	то же	21	10
37	в том	12	10
38	не всегда	9	10
39	то что	17	10
40	так и	13	10
41	что в	19	10
42	что и	9	10
43	а затем	4	10
44	в связи	7	10
45	этом случае	3	10
46	все же	17	9
47	но и	21	9
48	с другой	8	9
49	из дома	10	9
50	не только	28	8
51	в тех	4	8
52	в результате	2	8
53	волшебных сказок	3	8
54	ход действия	3	8
55	но не	7	8
56	а в	15	8
57	имеем в	4	8
58	мы не	12	8
59	в качестве	8	8
60	как мы	3	8
61	в лес	34	7
62	не могут	3	7
63	том что	11	7
64	по отношению	6	7
65	образом мы	3	7
66	тем не	7	7
67	наряду с	6	7
68	не менее	7	7
69	отношению к	6	7
70	как это	6	7
71	а также	2	7
72	и здесь	15	7
73	и этим	3	7
74	нет необходимости	4	7
75	этот случай	4	7
76	один из	10	7
77	потому что	12	7
78	очень часто	7	6
79	это не	8	6
80	сказки и	6	6
81	но это	8	6
82	не все	5	6
83	во всех	3	6
84	и как	3	6
85	или в	6	6
86	во время	5	6
87	и другие	7	6
88	увидим ниже	5	6
89	сказки с	6	6
90	в иное	8	6
91	иное царство	9	6
92	также и	3	6
93	подобно тому	3	6
94	о том	12	6
95	если мы	4	6
96	в образе	3	6
97	большей частью	2	6
98	в форме	3	6
99	как бы	6	6
100	вовсе не	3	6
101	одна из	4	5
102	ничего не	6	5
103	в поле	2	5
104	и ее	3	5
105	вслед за	7	5
106	хотя бы	5	5
107	не будем	7	5
108	мы можем	7	5
109	это явление	4	5
110	было бы	11	5
111	об этом	11	5
112	изучения сказки	5	5
113	то мы	6	5
114	со стороны	3	5
115	героя в	6	5
116	что он	32	5
117	начинается с	3	5
118	как в	7	5
119	здесь можно	5	5
120	то это	9	5
121	в сказку	2	5
122	к тому	6	5
123	из которых	3	5
124	между тем	2	5
125	в целом	3	5
126	видно что	9	5
127	главным образом	2	5
128	другой стороны	7	5
129	между собой	4	5
130	в точности	3	5
131	на его	2	5
132	тому как	3	5
133	там где	5	5
134	в других	3	5
135	все эти	6	5
136	что они	13	5
137	он не	10	5
138	раньше чем	6	5
139	этот момент	3	5
140	ясно что	2	5
141	сказать что	7	4
142	на самом	3	4
143	его в	15	4
144	три года	2	4
145	сказки по	2	4
146	так же	18	4
147	в то	4	4
148	героя попадает	2	4
149	значит что	2	4
150	можно было	8	4
151	в руки	4	4
152	к этому	2	4
153	на него	7	4
154	есть и	2	4
155	тем что	7	4
156	д но	2	4
157	еще не	14	4
158	могла бы	3	4
159	встречается в	3	4
160	самом деле	2	4
161	показать что	2	4
162	из них	5	4
163	пока же	3	4
164	волшебные сказки	2	4
165	трудные задачи	2	4
166	но в	13	4
167	на котором	5	4
168	но все	9	4
169	и для	5	4
170	как и	5	4
171	оно может	2	4
172	а если	2	4
173	если герой	2	4
174	уже не	3	4
175	этот вопрос	7	4
176	сказки не	4	4
177	на этом	3	4
178	что сказка	10	4
179	того чтобы	3	4
180	трудных задач	2	4
181	на пути	2	4
182	в некоторых	4	4
183	никто не	3	4
184	мы уже	7	4
185	первый взгляд	2	3
186	в таких	4	3
187	руки героя	2	3
188	можно указать	2	3
189	время как	3	3
190	означает что	4	3
191	утверждать что	3	3
192	мы должны	17	3
193	не упоминается	2	3
194	у яги	2	3
195	в сказках	7	3
196	но как	2	3
197	сказки в	3	3
198	здесь не	5	3
199	в которой	2	3
200	сказка с	2	3
201	то ни	2	3
202	это было	2	3
203	даже не	2	3
204	такие случаи	2	3
205	что это	12	3
206	требует чтобы	2	3
207	и их	4	3
208	но есть	3	3
209	друг друга	2	3
210	в животных	3	3
211	если бы	8	3
212	в виде	2	3
213	для наших	2	3
214	на первый	2	3
215	кроме того	3	3
216	связана с	7	3
217	и тем	2	3
218	он должен	3	3
219	же можно	3	3
220	имеется в	3	3
221	не в	11	3
222	то здесь	2	3
223	к ней	3	3
224	в пределах	4	3
225	в какой	4	3
226	так если	2	3
227	того что	6	3
228	из ряда	2	3
229	приводит к	3	3
230	здесь мы	9	3
231	так например	7	3
232	момент когда	4	3
233	как уже	2	3
234	ее в	7	3
235	к нему	3	3
236	сказка знает	2	3
237	они не	8	3
238	на то	6	3
239	а то	2	3
240	ни в	2	3
241	что такое	3	3
242	если это	3	3
243	с того	3	3
244	но мы	2	3
245	с собой	2	3
246	по сюжетам	2	3
247	что при	3	3
