N	2gram	Losev_Dial	Psycholo
1	то что	25	193
2	и в	35	190
3	в том	20	163
4	что в	19	123
5	потому что	23	114
6	том что	18	113
7	и что	17	108
8	может быть	30	107
9	таким образом	5	102
10	в этом	18	100
11	все время	4	86
12	в самом	6	82
13	как бы	19	80
14	для того	2	78
15	что он	16	76
16	не только	26	75
17	на то	5	73
18	и не	51	73
19	что она	18	71
20	самом деле	6	70
21	и т	31	69
22	точки зрения	25	69
23	не может	16	68
24	если мы	3	66
25	так как	24	63
26	так же	6	63
27	было бы	14	56
28	если бы	12	55
29	и мы	8	54
30	то же	21	54
31	о том	8	54
32	при этом	2	52
33	как и	10	51
34	что и	7	50
35	а не	24	50
36	что это	21	49
37	заключается в	4	46
38	только в	7	46
39	в сущности	2	46
40	сказать что	19	46
41	по себе	39	46
42	в искусстве	2	45
43	к тому	6	45
44	говорит что	3	45
45	не в	12	45
46	в этой	3	43
47	ясно что	11	43
48	никогда не	18	42
49	и все	11	42
50	вместе с	3	41
51	как это	8	40
52	но и	17	40
53	как раз	7	39
54	того что	6	39
55	т п	3	38
56	же самое	3	38
57	и это	6	37
58	мы видим	6	37
59	и как	14	36
60	с тем	2	35
61	вовсе не	19	34
62	и если	5	34
63	и его	6	34
64	что все	2	33
65	когда он	2	33
66	все же	9	33
67	тому что	4	33
68	все это	14	32
69	в себе	23	32
70	в ней	4	31
71	в его	4	31
72	он не	5	31
73	никак не	6	30
74	как будто	7	30
75	мы увидим	2	30
76	как в	3	30
77	сейчас же	3	30
78	с одной	4	29
79	и для	2	29
80	с точки	18	29
81	одной стороны	3	29
82	в нас	2	29
83	в нем	25	29
84	что мы	3	28
85	и когда	5	28
86	что они	8	28
87	и то	15	28
88	мы можем	5	28
89	в основе	4	27
90	с другой	10	27
91	а в	8	27
92	на деле	2	27
93	так что	21	26
94	совершенно не	13	26
95	только что	5	25
96	жизни и	9	25
97	указывает на	3	24
98	и совершенно	4	24
99	до сих	4	24
100	тем что	2	24
101	в своем	7	23
102	сих пор	4	23
103	для этого	2	23
104	из этого	2	23
105	что если	4	23
106	могут быть	6	23
107	что оно	9	23
108	один из	3	23
109	и даже	23	22
110	т д	28	22
111	как она	7	22
112	что у	3	22
113	когда мы	3	22
114	с этим	5	22
115	между тем	3	22
116	из них	5	22
117	в своей	9	21
118	как мы	5	21
119	и вот	10	21
120	в конце	5	21
121	но только	6	21
122	ни в	20	21
123	в котором	5	21
124	в которых	2	21
125	что эта	5	21
126	и только	5	21
127	она не	10	20
128	все эти	4	20
129	в то	10	20
130	это не	18	20
131	несмотря на	12	20
132	мы имеем	4	20
133	другой стороны	7	20
134	на этом	4	20
135	мы должны	6	19
136	в ее	3	19
137	в какой	3	19
138	у него	2	19
139	в одном	4	19
140	мы уже	8	19
141	в каком	10	18
142	на самом	5	18
143	перед нами	3	18
144	но в	8	18
145	что с	2	18
