N	3gram	Vinokur_Vv	VLabPisa
1	и т д	39	16
2	в этом отношении	4	14
3	и т п	5	9
4	с другой стороны	5	8
5	не может быть	10	8
6	по отношению к	4	7
7	по этому поводу	3	7
8	в то же	6	5
9	в том что	15	5
10	то же время	6	5
11	в зависимости от	3	5
12	хотя бы и	2	5
13	вместе с тем	3	4
14	можно сказать что	3	4
15	в связи с	2	4
16	не могут быть	2	4
17	подобно тому как	2	3
18	большей или меньшей	3	3
19	для того чтобы	22	3
20	о том что	13	3
21	в значительной мере	2	3
22	по крайней мере	4	2
23	в том отношении	3	2
24	в конце концов	2	2
25	в конечном итоге	3	2
26	с одной стороны	4	2
27	во всяком случае	5	2
28	одной стороны и	3	2
29	таким образом по	2	2
30	т е в	4	2
31	этой точки зрения	2	2
32	в чем же	3	2
33	том отношении что	3	2
34	не только в	4	2
35	до сих пор	7	2
36	не в том	2	2
37	также и в	3	2
38	не могут не	2	2
39	только в том	2	2
40	в другом месте	2	2
41	после того как	2	2
42	в том чтобы	5	2
43	можно было бы	4	2
44	как об этом	2	2
