N	2gram	Tiupa_Narr	TeoriaLi
1	в качестве	21	33
2	в мире	9	26
3	не только	32	24
4	и в	19	24
5	в частности	14	23
6	то есть	19	22
7	состоит в	13	22
8	может быть	25	22
9	в том	18	20
10	при этом	9	20
11	в тексте	16	19
12	тогда как	12	18
13	и не	20	17
14	а в	11	15
15	но и	23	14
16	так и	9	14
17	а не	12	14
18	в себе	8	14
19	в рамках	12	13
20	такого рода	7	13
21	но не	6	13
22	представляет собой	13	13
23	в этом	17	12
24	то же	4	12
25	но в	6	12
26	сводится к	3	12
27	в его	9	12
28	том что	14	11
29	внутреннего зрения	4	11
30	точки зрения	10	11
31	художественного текста	2	11
32	своего рода	12	11
33	и его	5	11
34	по отношению	7	10
35	отношению к	6	10
36	как это	6	10
37	коммуникативного события	12	10
38	что в	3	10
39	в данном	5	9
40	не сводится	2	9
41	не в	14	9
42	с другой	8	9
43	в то	3	9
44	только в	4	9
45	всего лишь	2	8
46	не может	10	8
47	по своей	3	8
48	как бы	4	8
49	присутствия в	3	8
50	же время	4	8
51	или иной	5	7
52	в своем	2	7
53	а также	7	7
54	мы имеем	2	7
55	себя в	5	7
56	отношение к	2	7
57	в принципе	4	7
58	во второй	2	7
59	в области	2	7
60	отличие от	5	7
61	в отличие	5	7
62	однако в	2	7
63	не столько	4	7
64	и т.п	8	7
65	в нем	4	7
66	тем самым	6	6
67	или иного	2	6
68	того или	2	6
69	другой стороны	4	6
70	конечном счете	2	6
71	в конечном	3	6
72	со стороны	9	6
73	не менее	3	6
74	героя и	4	6
75	еще не	7	6
76	то что	11	6
77	или менее	2	6
78	как и	7	6
79	более или	2	6
80	или иначе	3	6
81	картина мира	5	6
82	уже не	5	6
83	приводит к	2	6
84	между ними	2	6
85	в ее	3	6
86	в основе	5	6
87	с его	6	6
88	данном случае	4	5
89	как в	7	5
90	как правило	4	5
91	как к	2	5
92	речевая маска	5	5
93	и одновременно	2	5
94	иначе говоря	6	5
95	ни в	3	5
96	и тем	4	5
97	по сути	2	5
98	кто говорит	2	5
99	не является	8	5
100	в пределах	2	5
101	для него	2	5
102	не случайно	2	5
103	так или	2	5
104	высказывания в	6	5
105	между тем	3	5
106	могут быть	3	5
107	жизни как	3	5
108	не предполагает	5	5
109	того что	2	5
110	он не	3	5
111	в себя	6	5
112	можно сказать	5	5
113	никогда не	3	4
114	сказать что	4	4
115	креативная компетенция	6	4
116	его в	2	4
117	это не	2	4
118	во времени	8	4
119	читателя в	2	4
120	значении этого	3	4
121	и ее	2	4
122	текста как	2	4
123	в форме	5	4
124	в силу	4	4
125	этого слова	2	4
126	и т.д	7	4
127	субъекта и	2	4
128	что он	6	4
129	в литературе	2	4
130	далеко не	5	4
131	говоря словами	2	4
132	к тому	7	4
133	мира и	2	4
134	в свою	3	4
135	личности в	2	4
136	и того	2	4
137	говорить о	2	4
138	или даже	2	4
139	не на	2	4
140	с ее	3	4
141	без исключения	2	4
142	отношения к	2	4
143	хотя и	3	4
144	даже в	2	3
145	перед нами	4	3
146	и потому	2	3
147	авторской позиции	2	3
148	из этих	3	3
149	одной стороны	7	3
150	о чем	2	3
151	не все	5	3
152	в противоположность	2	3
153	и для	2	3
154	в иной	2	3
155	картины мира	5	3
156	это позиция	2	3
157	тем не	3	3
158	и как	5	3
159	к которому	2	3
160	роль в	2	3
161	или в	2	3
162	мира в	5	3
163	подобно тому	2	3
164	художественного высказывания	2	3
165	свою очередь	3	3
166	в культуре	2	3
167	как говорит	3	3
168	в таком	2	3
169	одним из	2	3
170	по мысли	3	3
171	а именно	3	3
172	в эпизоде	3	3
173	между собой	2	3
174	с одной	7	3
175	и др	2	3
176	а с	3	3
177	не с	3	3
178	есть в	2	3
179	сказания или	4	3
180	в произведении	3	3
181	я героя	2	3
182	в роли	2	3
183	столь же	3	3
184	именно в	6	3
185	сути дела	2	3
186	тому как	2	3
187	том числе	6	3
188	во втором	4	3
189	являет собой	2	3
190	говорит и	2	3
191	прежде всего	4	3
192	к содержанию	3	3
193	отнюдь не	5	3
194	мог бы	3	3
195	ценностного центра	2	3
196	не будет	3	3
197	с точки	2	3
198	все эти	2	3
199	о ней	3	3
200	не обязательно	3	3
201	той или	4	3
202	связи с	4	3
203	внутреннего слуха	2	3
204	в связи	2	3
205	в притче	3	3
206	нового времени	2	3
207	во всей	2	3
208	например в	2	3
209	в этой	5	3
210	в организации	2	3
211	имеет место	4	3
212	как раз	2	3
213	текста в	2	3
214	вслед за	4	3
215	между двумя	5	3
216	одного сознания	2	3
217	анекдот не	2	2
218	ключ к	2	2
219	не от	2	2
220	риторический предел	2	2
221	значительной степени	2	2
222	то в	6	2
223	идет о	2	2
224	позицию внутренне	2	2
225	восходит к	3	2
226	так же	2	2
227	если в	3	2
228	но как	2	2
229	с чем	2	2
230	тем более	2	2
231	одну из	2	2
232	не всегда	2	2
233	при всей	4	2
234	вокруг него	2	2
235	включает в	2	2
236	первого эпизода	2	2
237	отличается от	4	2
238	форма авторства	2	2
239	и даже	3	2
240	ситуации рассказывания	2	2
241	таком случае	2	2
242	речевой маски	2	2
243	коммуникативным событием	2	2
244	индивидуального речевого	2	2
245	это и	3	2
246	коммуникативные стратегии	2	2
247	события в	2	2
248	адресата в	2	2
249	времени и	7	2
250	жизни в	3	2
251	в значительной	2	2
252	стороны адресата	2	2
253	ни было	3	2
254	может оказаться	2	2
255	или напротив	4	2
256	у него	4	2
257	самом деле	2	2
258	этического выбора	2	2
259	в рассказе	4	2
260	вокруг я	2	2
261	к сообщаемому	2	2
262	коммуникативное событие	3	2
263	известном смысле	2	2
264	м.м бахтин	2	2
265	не могло	2	2
266	в какой	2	2
267	при всем	2	2
268	в аспекте	2	2
269	с человеком	2	2
270	в структуре	2	2
271	по характеристике	4	2
272	одной из	4	2
273	жизни но	2	2
274	к нему	5	2
275	биографического дискурса	2	2
276	с.с аверинцева	2	2
277	в сказании	2	2
278	ни для	7	2
279	ни столь	2	2
280	всей своей	2	2
281	числе и	4	2
282	но от	2	2
283	всей его	2	2
284	от всех	2	2
285	о том	6	2
286	зрения и	2	2
287	референтная компетенция	3	2
288	или притчи	3	2
289	в анекдоте	2	2
290	или иную	2	2
291	маска такого	2	2
292	которая в	2	2
293	оно не	2	2
294	следует признать	2	2
295	и на	3	2
296	на себя	3	2
297	этой точки	2	2
298	и соответственно	2	2
299	и возможность	2	2
300	из которых	4	2
301	участок текста	2	2
302	в известном	2	2
303	или субъектом	2	2
304	один из	3	2
305	по себе	5	2
306	речь идет	4	2
307	несмотря на	2	2
308	здесь не	4	2
309	или анекдота	3	2
310	жизни а	2	2
311	и рецептивная	3	2
312	в той	6	2
313	по бахтину	3	2
314	речевого замысла	2	2
315	ту или	2	2
316	в случае	7	2
317	для автора	2	2
318	к другому	2	2
319	коммуникативной стратегии	3	2
320	статус знания	2	2
321	притча не	2	2
322	высказывания и	3	2
323	то ни	3	2
324	себя и	2	2
325	в присутствии	3	2
326	в пространстве	4	2
327	более не	2	2
328	только о	2	2
329	что они	3	2
330	времени в	2	2
331	как будто	3	2
332	в первом	3	2
333	во внешнем	2	2
334	совершенно иной	2	2
335	коммуникативную стратегию	2	2
336	бы то	3	2
337	который в	2	2
338	имеем дело	2	2
339	возможность иного	2	2
340	основе своей	4	2
341	коммуникативный статус	2	2
