N	2gram	Vinokur_Ku	RusskieA
1	и в	44	79
2	в том	47	64
3	том что	30	59
4	что в	25	57
5	т е	54	54
6	не только	29	41
7	а а	4	40
8	так как	16	34
9	в этом	31	33
10	состоит в	4	32
11	как бы	11	31
12	но и	13	31
13	п в	3	30
14	как и	3	28
15	может быть	25	28
16	и на	8	28
17	и т	62	23
18	о том	10	23
19	при этом	6	22
20	т д	21	21
21	это не	13	20
22	е в	3	20
23	как мы	2	20
24	а в	7	20
25	из них	4	19
26	все это	10	18
27	с тем	5	17
28	потому что	40	17
29	то что	14	17
30	об этом	4	17
31	таким образом	17	17
32	вместе с	8	17
33	во многих	3	16
34	один из	8	15
35	будто бы	3	15
36	у нас	19	14
37	мы видели	3	14
38	для нас	6	14
39	не менее	12	14
40	в них	10	14
41	как это	6	14
42	тем не	10	14
43	и не	23	14
44	и с	11	14
45	и что	11	14
46	так что	5	13
47	и по	4	13
48	к этому	4	13
49	не может	13	13
50	еще не	10	13
51	как в	6	13
52	уже не	13	13
53	в которых	8	13
54	в день	2	13
55	этом случае	4	12
56	мы имеем	11	12
57	тем что	9	12
58	что на	2	11
59	а на	3	11
60	но это	4	11
61	мы увидим	3	11
62	не имеет	6	11
63	далеко не	2	11
64	так и	10	10
65	по существу	9	10
66	так например	3	10
67	между тем	11	10
68	все же	17	10
69	что и	5	10
70	а также	3	10
71	том чтобы	9	10
72	или в	5	10
73	данном случае	2	9
74	о чем	2	9
75	том же	3	9
76	но в	11	9
77	к жизни	2	9
78	и все	4	9
79	что они	5	9
80	того как	6	9
81	то же	12	9
82	в г	3	9
83	но не	11	9
84	видно что	2	9
85	в русском	14	9
86	так же	8	8
87	того что	11	8
88	одно из	3	8
89	в данном	8	8
90	на себя	3	8
91	того чтобы	25	8
92	же в	5	8
93	связи с	8	8
94	представление о	3	8
95	что это	11	8
96	как например	3	8
97	не все	4	8
98	ее в	2	8
99	для того	23	8
100	в этих	5	8
101	в своем	4	7
102	мы должны	2	7
103	ничего не	6	7
104	в настоящее	2	7
105	не в	18	7
106	главным образом	3	7
107	а с	3	7
108	предположить что	2	7
109	настоящее время	2	7
110	было бы	28	7
111	до конца	3	7
112	для этого	6	7
113	из этих	5	7
114	в это	3	7
115	и как	3	7
116	только в	15	7
117	связанные с	3	7
118	как будто	2	7
119	а не	17	7
120	в этой	8	6
121	и их	2	6
122	и у	3	6
123	на этом	4	6
124	в их	3	6
125	не всегда	4	6
126	тому что	3	6
127	к тому	8	6
128	что этот	2	6
129	в нем	7	6
130	так в	2	6
131	в году	3	6
132	же как	3	6
133	с ними	6	6
134	все эти	17	6
135	в качестве	12	6
136	чем в	3	6
137	в одном	4	6
138	что она	5	6
139	и о	3	6
140	в первый	2	6
141	после того	3	6
142	и пр	23	6
143	и более	3	6
144	приводит к	3	6
145	после чего	2	6
146	в таком	3	6
147	на самом	3	5
148	вопрос о	11	5
149	и потому	6	5
150	за этим	2	5
151	в тех	4	5
152	к себе	4	5
153	но если	2	5
154	или же	3	5
155	тогда когда	7	5
156	что он	7	5
157	в москве	2	5
158	прежде всего	14	5
159	в разных	2	5
160	к ним	2	5
161	в свою	4	5
162	с этим	6	5
163	в то	4	5
164	в целом	5	5
165	для них	2	5
166	тогда как	2	5
167	в связи	4	5
168	там где	7	5
169	не было	6	5
170	например в	5	5
171	тот же	7	5
172	в его	16	5
173	по поводу	2	5
174	то и	4	5
175	такие же	2	5
176	можно было	14	5
177	как правило	2	5
178	в особенности	6	5
179	только для	3	5
180	ничего общего	2	5
181	стоит в	5	5
182	чаще всего	2	5
183	в целях	2	5
184	не с	4	5
185	и для	3	5
186	с другой	14	5
187	отнюдь не	5	5
188	или даже	2	5
189	с ним	5	5
190	этих случаях	2	5
191	в таких	7	4
192	как можно	2	4
193	которые в	2	4
194	если в	2	4
195	иное как	3	4
196	не был	2	4
197	и а	2	4
198	но есть	2	4
199	не что	2	4
200	и при	3	4
201	всякого рода	2	4
202	связано с	3	4
203	здесь мы	2	4
204	только тогда	4	4
205	своего рода	4	4
206	и там	2	4
207	отличие от	3	4
208	не столько	2	4
209	могут быть	5	4
210	и под	3	4
211	и тогда	4	4
212	не на	4	4
213	этого слова	8	4
214	во всяком	8	4
215	и от	2	4
216	связанных с	2	4
217	дело не	4	4
218	несмотря на	6	4
219	и здесь	8	4
220	не просто	7	4
221	кроме того	2	4
222	что иное	2	4
223	в отличие	3	4
224	но все	5	4
225	переход от	4	4
226	можно встретить	2	4
227	что у	3	4
228	что для	3	4
229	именно в	7	4
230	в котором	4	4
231	в своих	2	4
232	как они	2	4
233	этот вопрос	7	4
234	уже в	5	4
235	в ней	6	4
236	которое в	2	4
237	всяком случае	8	4
238	вряд ли	5	4
239	на этой	4	4
240	на основе	2	4
241	но он	2	4
242	никогда не	2	3
243	всех этих	4	3
244	очевидно что	4	3
245	но можно	2	3
246	его к	5	3
247	том как	3	3
248	в форме	3	3
249	с той	2	3
250	это и	6	3
251	в виду	7	3
252	на все	3	3
253	в одно	2	3
254	или менее	3	3
255	мы знаем	3	3
256	что все	6	3
257	и это	3	3
258	более или	3	3
259	тех пор	2	3
260	точки зрения	25	3
261	к слову	2	3
262	большинстве случаев	3	3
263	в области	15	3
264	в какой	7	3
265	в ее	2	3
266	что с	2	3
267	сюда же	3	3
268	в своей	4	3
269	до того	2	3
270	свою очередь	4	3
271	значение и	2	3
272	вся эта	2	3
273	хотя и	7	3
274	именно с	3	3
275	также что	2	3
276	увидим что	2	3
277	и то	7	3
278	по отношению	9	3
279	и еще	4	3
280	в которой	7	3
281	от этого	4	3
282	если бы	21	3
283	для этой	2	3
284	так называемой	2	3
285	можно говорить	4	3
286	а именно	4	3
287	между собою	3	3
288	отношению к	9	3
289	сих пор	5	3
290	что касается	4	3
291	с одной	3	3
292	это конечно	2	3
293	есть в	6	3
294	на этот	4	3
295	на то	6	3
296	слова в	7	3
297	когда он	4	3
298	из которых	3	3
299	находится в	2	3
300	с точки	16	3
301	сводится к	3	3
302	здесь не	5	3
303	только как	3	3
304	и его	8	3
305	же и	4	3
306	как на	4	3
307	как только	2	3
308	что именно	2	3
309	тому же	2	3
310	в большинстве	3	3
311	до сих	5	3
312	в область	2	2
313	в иных	3	2
314	что их	2	2
315	во все	2	2
316	о характере	2	2
317	следовательно и	2	2
318	в память	3	2
319	и следовательно	2	2
320	в европе	2	2
321	не имеют	3	2
322	в себе	4	2
323	на эту	2	2
324	перед нами	4	2
325	в духе	3	2
326	но даже	3	2
327	не как	2	2
328	в силу	16	2
329	в конце	5	2
330	отношение к	2	2
331	что между	2	2
332	за счет	2	2
333	должен быть	8	2
334	одним из	2	2
335	подобного рода	4	2
336	и тем	7	2
337	он должен	2	2
338	между ними	2	2
339	так называемая	2	2
340	в частности	6	2
341	же из	2	2
342	самом деле	17	2
343	т п	39	2
344	которые можно	3	2
345	показать что	2	2
346	подойти к	3	2
347	себе в	3	2
348	образом в	3	2
349	может иметь	3	2
350	не так	2	2
351	но так	2	2
352	к этой	3	2
353	есть несколько	2	2
354	они не	4	2
355	мы наблюдаем	2	2
356	в более	2	2
357	какие же	2	2
358	ряду с	2	2
359	на улице	2	2
360	ту же	6	2
361	тех случаях	2	2
362	и без	2	2
363	состоит не	2	2
364	одной стороны	2	2
365	ответ на	2	2
366	между прочим	4	2
367	очень много	3	2
368	прав когда	2	2
369	когда в	4	2
370	и когда	2	2
371	и дело	2	2
372	в числе	2	2
373	под влиянием	3	2
374	случаях когда	2	2
375	что эти	4	2
376	можно сказать	6	2
377	для обозначения	2	2
378	для него	2	2
379	относится к	3	2
380	так называемых	3	2
381	на ту	3	2
382	с его	4	2
383	сказать что	5	2
384	который по	2	2
385	он не	4	2
386	нет в	2	2
387	что если	4	2
388	когда мы	3	2
389	другой стороны	12	2
390	и он	4	2
391	тем более	2	2
392	дело в	2	2
393	в каждом	3	2
394	должно быть	6	2
395	и даже	5	2
396	мы можем	2	2
397	случаи когда	3	2
398	целый ряд	8	2
399	чтобы получить	2	2
400	общего с	2	2
401	как не	4	2
402	д и	3	2
403	к вопросу	4	2
404	этом отношении	8	2
405	не является	2	2
406	он есть	3	2
407	с этой	4	2
408	совершенно не	4	2
409	как у	2	2
410	не составляет	2	2
411	в пределах	8	2
412	быть только	3	2
413	борьбы с	2	2
414	почти целиком	2	2
415	можно считать	2	2
416	этот не	2	2
417	и является	4	2
418	не случайно	7	2
419	этой цели	2	2
420	в чем	2	2
421	что такое	8	2
422	в ряде	2	2
423	был в	2	2
424	не значит	2	2
425	и если	4	2
426	оно не	5	2
427	быть не	2	2
428	это так	2	2
429	но что	3	2
430	по себе	10	2
431	чтобы быть	2	2
432	в стороне	2	2
433	на лицо	2	2
434	в противном	2	2
435	говорить о	5	2
