N	2gram	Trubetskoy	VerxiiNi
1	и в	14	26
2	таким образом	11	22
3	с тем	6	18
4	русской культуры	2	15
5	в этом	17	15
6	вместе с	4	15
7	точки зрения	11	13
8	как бы	4	12
9	в том	17	11
10	не только	9	10
11	из этих	3	10
12	и с	7	10
13	может быть	9	10
14	что в	4	9
15	так как	4	9
16	в области	2	9
17	связи с	3	9
18	но и	10	9
19	но не	4	8
20	главным образом	3	8
21	и не	19	8
22	как на	8	8
23	к нему	2	7
24	потому что	5	7
25	из них	3	7
26	то что	13	7
27	но в	2	7
28	том что	9	7
29	а с	2	7
30	все же	4	6
31	к тому	7	6
32	о том	7	6
33	мы должны	7	6
34	в себе	9	6
35	в конце	3	6
36	несмотря на	3	6
37	всяком случае	6	6
38	что и	3	6
39	с точки	9	6
40	и т.д	4	6
41	все эти	2	6
42	все это	6	6
43	и потому	3	6
44	во всяком	9	6
45	никогда не	5	5
46	в мире	4	5
47	одной из	3	5
48	и для	6	5
49	более или	4	5
50	так же	2	5
51	и к	6	5
52	в силу	2	5
53	друг с	14	5
54	того чтобы	8	5
55	лишь в	3	5
56	в его	4	5
57	тем чтобы	3	5
58	для того	6	5
59	с другом	14	5
60	а не	2	5
61	сих пор	5	5
62	до сих	5	5
63	или менее	4	5
64	и от	2	4
65	что все	3	4
66	а в	5	4
67	в котором	2	4
68	в самом	3	4
69	в нем	5	4
70	не может	22	4
71	и тогда	2	4
72	что оно	3	4
73	и вместе	2	4
74	из которых	5	4
75	целый ряд	2	4
76	в виде	3	4
77	то же	11	4
78	и что	2	4
79	и по	3	4
80	в этих	2	4
81	только в	5	4
82	что он	6	4
83	и только	5	4
84	он не	5	4
85	во время	2	4
86	в течение	2	4
87	в этой	4	4
88	в то	10	4
89	к богу	7	3
90	что это	3	3
91	в своем	6	3
92	из всех	2	3
93	европейской культуры	2	3
94	если в	6	3
95	точно так	2	3
96	и если	7	3
97	уже не	2	3
98	хотя бы	5	3
99	путь к	4	3
100	в результате	2	3
101	в значительной	3	3
102	и даже	2	3
103	и как	3	3
104	если бы	6	3
105	и те	2	3
106	в других	2	3
107	при этом	5	3
108	конце концов	3	3
109	в качестве	3	3
110	и при	6	3
111	в таком	2	3
112	так что	2	3
113	ясно что	2	3
114	и о	2	3
115	того что	3	3
116	для него	6	3
117	культуры и	2	3
118	для этого	3	2
119	о котором	3	2
120	смотреть на	4	2
121	и является	2	2
122	из этого	3	2
123	или иной	5	2
124	не могут	4	2
125	в россии	6	2
126	на то	5	2
127	для всех	6	2
128	ли это	4	2
129	и сейчас	3	2
130	состоит в	2	2
131	мы можем	2	2
132	в начале	2	2
133	больше чем	2	2
134	между тем	5	2
135	благодаря этому	2	2
136	значительной части	2	2
137	именно в	3	2
138	конечно не	5	2
139	отличается от	2	2
140	если не	2	2
141	приводит к	4	2
142	тогда когда	4	2
143	но если	3	2
144	и на	5	2
145	еще не	3	2
146	все что	4	2
147	так чтобы	3	2
148	жизни и	4	2
149	пути к	2	2
150	не было	3	2
151	не в	4	2
152	только для	2	2
153	и наконец	2	2
154	то ни	4	2
155	той или	3	2
156	значительной мере	2	2
157	же время	10	2
158	русской интеллигенции	8	2
159	не к	2	2
160	к культуре	2	2
161	людей и	2	2
162	прежде всего	8	2
163	признать что	6	2
164	бы то	4	2
165	в глазах	2	2
166	во всех	5	2
167	в другое	4	2
168	быть и	2	2
169	по существу	5	2
