N	3gram	Bakhtin_Pr	Analitik
1	в том что	6	25
2	не может быть	8	19
3	по отношению к	12	18
4	в то же	13	16
5	о том что	2	15
6	в данном случае	2	14
7	то же время	13	14
8	в отличие от	4	14
9	к тому же	2	13
10	подобно тому как	3	9
11	с другой стороны	6	9
12	по крайней мере	2	9
13	в этом отношении	3	8
14	не только в	2	8
15	как и в	3	8
16	с точки зрения	21	8
17	во всяком случае	4	7
18	тем не менее	2	6
19	но и не	2	5
20	не только не	2	5
21	в самом деле	6	4
22	большей или меньшей	2	4
23	том что он	5	4
24	и в этом	5	4
25	и не может	6	4
26	в этом смысле	12	4
27	сама по себе	5	4
28	то ни было	2	3
29	бы то ни	3	3
30	и т п	10	3
31	как раз и	5	3
32	сам по себе	2	3
33	как нам кажется	3	3
34	хотя бы и	3	3
35	между тем как	5	3
36	можно сказать что	2	3
37	сами по себе	4	3
38	в зависимости от	5	3
39	как если бы	3	2
40	на этот вопрос	2	2
41	более или менее	4	2
42	а в то	2	2
43	с самим собою	2	2
44	но в то	7	2
45	того и другого	2	2
46	можно было бы	3	2
47	от автора и	2	2
48	друг с другом	3	2
49	в том и	2	2
50	этой точки зрения	2	2
51	в этих случаях	2	2
52	до сих пор	9	2
53	и в сущности	2	2
54	на то что	2	2
