N	2gram	Savitsky_E	VrazhdaK
1	не только	18	9
2	и что	2	8
3	в этом	12	8
4	и в	37	8
5	что в	21	7
6	но и	14	7
7	и все	2	7
8	то что	6	7
9	но в	14	6
10	как и	7	6
11	в котором	2	6
12	и с	2	6
13	и даже	6	6
14	и не	14	5
15	в россии	5	5
16	то же	15	5
17	в то	16	5
18	же время	14	5
19	между тем	8	5
20	для нас	4	4
21	целый ряд	2	4
22	несмотря на	4	4
23	во многом	2	4
24	в своих	2	4
25	о том	3	4
26	в ней	4	4
27	как бы	6	4
28	так же	9	4
29	в истории	2	4
30	может быть	6	4
31	т е	9	3
32	в том	11	3
33	далеко не	2	3
34	и во	2	3
35	в своем	14	3
36	том что	6	3
37	в его	2	3
38	и как	2	3
39	он не	2	3
40	на то	6	3
41	наряду с	2	3
42	по нашему	3	3
43	тем что	3	3
44	никогда не	3	2
45	и то	2	2
46	в них	3	2
47	в мире	2	2
48	к ним	3	2
49	начиная с	2	2
50	место в	3	2
51	в той	5	2
52	что к	2	2
53	при помощи	2	2
54	с точки	17	2
55	как же	2	2
56	а в	2	2
57	а также	7	2
58	он сам	2	2
59	в этой	2	2
60	столь же	5	2
61	в своей	8	2
62	же в	2	2
63	но как	2	2
64	в себе	9	2
65	точки зрения	23	2
66	же как	5	2
67	тем более	4	2
68	таким образом	2	2
69	россии в	4	2
70	в свою	3	2
71	в эту	2	2
72	не может	9	2
73	из них	3	2
74	его на	2	2
75	отнюдь не	9	2
76	на основе	2	2
77	вместе с	2	2
78	в известном	3	2
