N	2gram	Tiupa_Disk	Freidism
1	и не	25	34
2	таким образом	4	34
3	точки зрения	6	31
4	не может	17	30
5	может быть	29	28
6	и в	27	28
7	в этом	29	28
8	прежде всего	17	26
9	в его	9	25
10	и его	4	22
11	как бы	9	19
12	как мы	2	18
13	то что	10	17
14	точка зрения	3	15
15	с точки	3	15
16	все эти	2	15
17	самом деле	2	14
18	так и	14	14
19	в своей	10	14
20	во всех	6	13
21	и все	5	13
22	но в	15	13
23	как и	27	13
24	по отношению	13	13
25	и потому	3	12
26	том что	27	12
27	то же	12	12
28	что он	6	12
29	ни в	7	12
30	в самом	4	12
31	и наконец	2	12
32	для него	9	12
33	все это	2	12
34	сказать что	4	11
35	отношению к	13	11
36	только в	9	11
37	никогда не	3	10
38	и с	2	10
39	за пределы	2	10
40	не только	36	10
41	но и	22	10
42	не в	8	10
43	он не	4	10
44	в том	29	10
45	один из	3	10
46	что же	4	10
47	могут быть	5	9
48	к этому	4	9
49	и др	3	9
50	в чем	2	9
51	уже не	7	9
52	и на	8	9
53	мы не	2	9
54	а не	35	9
55	во всяком	3	9
56	с его	9	9
57	все же	8	8
58	с этим	3	8
59	еще не	20	8
60	а в	5	8
61	в ней	2	8
62	на этом	3	8
63	всяком случае	2	8
64	при этом	22	8
65	так сказать	3	7
66	не могут	2	7
67	до конца	2	7
68	в жизни	2	7
69	в то	8	7
70	в себе	22	7
71	что в	8	7
72	и ее	5	7
73	хотя бы	3	7
74	отношение к	6	7
75	быть и	2	7
76	роль в	10	7
77	я и	3	7
78	не является	5	7
79	того что	4	7
80	на протяжении	2	7
81	но не	17	7
82	более того	2	7
83	с самого	2	7
84	об этом	3	7
85	в нем	16	7
86	и к	4	7
87	из них	6	7
88	и прежде	2	7
89	сознания с	2	7
90	жизни и	2	7
91	в этой	5	7
92	одно из	4	6
93	мы имеем	4	6
94	из этих	3	6
95	не менее	6	6
96	и о	4	6
97	в пределах	4	6
98	к тому	6	6
99	можно сказать	7	6
100	ни о	2	6
101	в свою	3	6
102	зрения на	3	6
103	большинстве случаев	2	6
104	здесь в	4	6
105	и что	2	6
106	же время	9	6
107	в основе	11	6
108	со стороны	17	5
109	с их	3	5
110	в которой	2	5
111	и по	2	5
112	в этих	4	5
113	чем не	3	5
114	как это	2	5
115	не знает	4	5
116	самого начала	2	5
117	внутренней речи	5	5
118	что и	5	5
119	далеко не	10	5
120	в своих	6	5
121	в большинстве	3	5
122	только то	2	5
123	это не	5	5
124	той же	2	5
125	в процессе	6	5
126	отнюдь не	11	5
127	не было	9	5
128	в ее	4	5
129	он сам	2	5
130	и до	2	5
131	говорить о	3	5
