N	3gram	Vygotskiy_	TeoriaLi
1	в том что	21	10
2	в то же	2	8
3	то же время	2	8
4	в отличие от	4	7
5	в конечном счете	6	6
6	состоит в том	3	6
7	с другой стороны	7	6
8	более или менее	3	6
9	для того чтобы	11	5
10	не может быть	14	5
11	с точки зрения	12	3
12	с одной стороны	6	3
13	в этом смысле	3	3
14	тем не менее	6	3
15	подобно тому как	7	3
16	можно сказать что	2	3
17	тех или иных	2	3
18	в связи с	2	3
19	в свою очередь	3	3
20	бы то ни	2	2
21	в области искусства	2	2
22	не только не	4	2
23	тем или иным	2	2
24	в таком случае	3	2
25	что в основе	4	2
26	этой точки зрения	7	2
27	в самом деле	13	2
28	том что он	2	2
29	к тому что	2	2
30	с этой точки	5	2
31	и в самом	3	2
32	как и в	5	2
33	сама по себе	2	2
34	приводит к тому	2	2
35	в основе своей	2	2
36	в отношении к	3	2
37	не могут быть	2	2
