N	2gram	Berdyaev_V	Istorich
1	и в	16	181
2	и т	2	160
3	т д	2	142
4	не только	2	114
5	что он	4	111
6	что в	3	90
7	но и	5	85
8	в этом	4	81
9	так как	9	75
10	то что	9	73
11	и не	20	67
12	в этих	3	64
13	еще не	8	63
14	никогда не	3	56
15	в том	3	53
16	том что	2	53
17	а в	2	52
18	потому что	4	52
19	что и	3	51
20	и что	3	51
21	а не	7	48
22	не в	3	47
23	превращается в	3	45
24	но в	3	44
25	это не	2	43
26	в нем	4	42
27	только в	2	42
28	в его	4	38
29	для нас	2	38
30	тем что	2	38
31	так и	4	37
32	уже не	2	37
33	как и	4	37
34	с тем	2	35
35	что они	7	35
36	все эти	3	35
37	мы не	2	35
38	но не	2	34
39	прежде всего	2	31
40	один из	2	31
41	то это	3	31
42	но это	3	29
43	в образе	4	27
44	того что	5	27
45	могут быть	2	27
46	в ней	4	26
47	что мы	4	24
48	все это	5	23
49	их в	3	23
50	и это	2	23
51	как бы	5	23
52	с ним	2	22
53	ее в	2	21
54	к тому	3	21
55	одна из	2	20
56	на том	2	19
57	в них	3	17
58	и они	3	16
59	и все	4	16
60	в котором	4	16
61	во всех	3	16
62	в своей	3	15
63	и то	2	15
64	его и	2	15
65	тот кто	2	15
66	от него	2	14
67	но мы	2	14
68	должна быть	3	14
69	можно было	2	14
70	и есть	4	14
71	на себя	5	14
72	и для	3	13
73	все что	4	13
74	его не	2	13
75	не имеет	3	13
76	в форме	2	13
77	хотя бы	3	12
78	за ним	3	12
79	что не	4	12
80	от этого	3	11
81	хотя и	5	11
82	вслед за	2	10
83	если не	3	10
84	на земле	7	10
85	а с	2	10
86	ни в	3	10
87	его к	2	10
88	не было	3	10
89	в истории	8	9
90	тот же	3	9
91	в себя	2	9
92	не могут	2	9
93	по этому	3	9
94	жизни и	3	9
95	ты не	5	9
96	не будет	2	9
97	в чем	3	9
98	вот почему	2	9
99	с его	3	9
100	во всяком	2	8
101	в жизни	3	8
102	что ты	3	8
103	и потому	7	8
104	не так	2	8
105	и сам	2	8
106	не с	2	8
107	конечно не	2	8
108	в конце	3	7
109	того чтобы	2	7
110	тому что	3	7
111	что я	3	7
112	это мы	2	7
113	между тем	2	7
114	ее и	2	7
115	не есть	6	7
116	земли и	2	7
117	превращаются в	2	7
118	для него	2	7
119	почему в	2	6
120	нет ничего	3	6
121	и за	2	6
122	это еще	4	6
123	от которого	3	6
124	что все	4	6
125	уже на	2	6
126	до того	2	6
127	они и	2	6
128	и тогда	2	6
129	к чему	3	6
130	для них	2	5
131	что во	3	5
132	что от	2	5
133	оно не	3	5
134	мы и	2	5
135	мы это	2	5
136	да и	2	5
137	и мы	3	5
138	которые не	2	5
139	это дело	2	4
140	людей и	2	4
141	и во	2	4
142	люди не	2	4
143	с тобой	2	4
144	что есть	5	4
145	в человека	2	4
146	что было	2	4
147	человека и	6	4
148	как не	3	4
149	над ними	2	4
150	за то	3	4
151	что их	2	4
152	и новые	2	4
153	вера в	2	4
154	когда в	2	4
155	тех которые	3	4
156	под этим	2	4
157	их от	3	4
158	так много	2	4
159	они в	3	4
160	не могли	2	3
161	а есть	2	3
162	этого мира	3	3
163	духа и	2	3
164	является в	2	3
165	и я	4	3
166	нет у	4	3
167	должно быть	3	3
168	о смысле	4	3
169	бога и	5	3
170	всего в	2	3
171	всех людей	3	3
172	все равно	2	3
173	это все	2	3
174	нет еще	2	3
175	превратились в	2	3
176	не имел	2	2
177	лишь в	3	2
178	по пути	5	2
179	к нам	2	2
180	есть уже	2	2
181	по которым	2	2
182	те которые	2	2
183	к богу	8	2
184	вместо того	2	2
185	они будут	4	2
186	в прошлом	2	2
187	не создает	2	2
188	самого себя	2	2
189	в мире	5	2
190	чтобы овладеть	2	2
191	же ты	3	2
192	более чем	2	2
193	не к	2	2
194	для людей	2	2
195	которой они	2	2
196	во главе	2	2
197	мы хотим	4	2
198	людей он	3	2
199	этих трех	3	2
200	в последнем	2	2
201	от этих	2	2
202	земного и	4	2
203	нет и	2	2
204	говорить о	4	2
