N	2gram	Nazirov_Tr	Psycholo
1	то что	4	193
2	и в	18	190
3	в том	2	163
4	что в	4	123
5	потому что	2	114
6	том что	4	113
7	и что	4	108
8	может быть	7	107
9	в этом	9	100
10	то есть	3	97
11	в самом	2	82
12	как бы	7	80
13	что он	6	76
14	не только	8	75
15	и не	7	73
16	что она	2	71
17	не может	5	68
18	так же	4	63
19	то же	5	54
20	о том	2	54
21	при этом	3	52
22	как и	5	51
23	что и	2	50
24	что это	5	49
25	к тому	2	45
26	говорит что	2	45
27	не в	2	45
28	в этой	4	43
29	никогда не	2	42
30	и все	4	42
31	как это	3	40
32	но и	4	40
33	и это	2	37
34	и как	3	36
35	с тем	2	35
36	и его	6	34
37	что все	2	33
38	все же	5	33
39	все это	4	32
40	в себе	4	32
41	в его	3	31
42	он не	2	31
43	как будто	3	30
44	как в	3	30
45	в нем	4	29
46	и то	2	28
47	и на	7	27
48	так что	2	26
49	и здесь	2	25
50	до конца	2	24
51	в целом	4	24
52	тем что	2	24
53	в своем	3	23
54	один из	3	23
55	и даже	4	22
56	в конце	3	21
57	ни в	2	21
58	все эти	3	20
59	в то	5	20
60	это не	5	20
61	несмотря на	5	20
62	в ее	2	19
63	у него	6	19
64	в одном	2	19
65	перед нами	2	18
66	но в	6	18
67	что с	3	18
68	одна из	2	17
69	но это	4	17
70	так и	5	16
71	не имеет	2	16
72	говорит о	2	16
73	в таком	2	16
74	как говорит	2	15
75	еще не	4	15
76	не могут	2	15
77	в частности	2	15
78	для него	3	15
79	не просто	2	15
80	столь же	2	14
81	с ним	3	14
82	прежде всего	4	14
83	отнюдь не	3	13
84	и он	3	13
85	что этот	2	12
86	в рассказе	2	12
87	ничего не	2	12
88	и до	2	12
89	что эти	2	12
90	я не	4	12
91	об этом	4	12
92	и с	7	12
93	отличие от	2	11
94	его в	2	11
95	по поводу	2	11
96	с его	2	11
97	уже в	3	11
98	данном случае	2	10
99	не так	2	10
100	в данном	2	10
101	должно быть	3	10
102	по мнению	2	10
103	вопрос о	2	9
104	тем самым	3	9
105	и ее	2	9
106	под влиянием	2	9
107	но все	2	9
108	о чем	3	9
109	в виде	2	9
110	точно так	2	9
111	с ее	3	9
112	в отличие	2	9
113	бы и	2	8
114	к нему	3	8
115	жизнь и	3	8
116	еще раз	2	7
117	а как	2	7
118	в глаза	2	7
119	но при	2	7
120	к жизни	5	7
121	отношение к	2	6
122	из самых	2	6
123	что за	3	6
124	она должна	2	6
125	она как	2	6
126	имеет в	2	6
127	ничем не	2	6
128	о его	2	6
129	он был	2	6
130	то и	2	6
131	никто не	3	6
132	что я	4	6
133	уже не	2	6
134	в русском	2	6
135	знает что	2	5
136	в душе	2	5
137	а я	5	5
138	это очень	5	5
139	но они	2	5
140	не мог	2	5
141	в романе	10	5
142	только о	2	5
143	и сам	3	5
144	и за	2	5
145	одном из	2	4
146	любви и	2	4
147	в глазах	2	4
148	в первом	2	4
149	который в	2	4
150	как у	2	4
151	что образ	3	4
152	в это	2	4
153	но эта	2	4
154	к области	2	4
155	во сне	2	4
156	в мире	3	4
157	мог бы	3	4
158	же время	6	4
159	эпизод с	3	3
160	как же	2	3
161	даже на	2	3
162	по словам	2	3
163	состоит из	2	3
164	с первого	2	3
165	создается впечатление	2	3
166	бросается в	2	3
167	этого романа	2	3
168	личности и	2	3
169	еще в	2	3
170	для искусства	2	3
171	что говорит	2	3
172	было в	2	3
173	и я	2	3
174	он сам	7	3
175	ребенка и	2	3
176	он и	2	3
177	чем он	2	3
178	на всем	2	2
179	к людям	3	2
180	времени в	2	2
181	только к	2	2
182	но этого	2	2
183	отца и	2	2
184	романа и	3	2
185	это был	2	2
186	не был	2	2
187	нет в	2	2
188	тут же	2	2
189	этим объясняется	2	2
190	между этими	2	2
191	не за	2	2
192	раз он	2	2
193	впечатление что	2	2
194	из своих	2	2
195	его за	2	2
196	она все	2	2
197	этими двумя	2	2
198	друг друга	2	2
