N	2gram	Losev_Vlad	Problema
1	и в	56	182
2	то есть	5	165
3	и не	33	152
4	вовсе не	8	145
5	то что	30	144
6	не есть	4	113
7	не только	35	104
8	потому что	16	89
9	в этом	30	88
10	может быть	12	82
11	том что	22	81
12	в том	26	81
13	только в	11	73
14	сказать что	14	72
15	но и	26	70
16	в виде	4	69
17	у нас	11	68
18	также и	13	68
19	и даже	23	66
20	по себе	3	64
21	даже и	12	63
22	не менее	9	58
23	о том	13	57
24	так и	11	56
25	тем не	8	56
26	а не	5	56
27	но в	19	55
28	так что	13	52
29	ни в	4	51
30	для нас	9	50
31	и вообще	12	48
32	отнюдь не	3	48
33	в себе	5	48
34	было бы	7	46
35	в своей	7	45
36	прежде всего	5	45
37	что в	24	44
38	в его	18	44
39	все эти	6	43
40	не в	12	43
41	таким образом	6	42
42	как раз	7	42
43	то же	10	42
44	а именно	4	42
45	так как	11	40
46	что мы	2	40
47	и то	13	40
48	что он	22	40
49	и что	11	40
50	не может	12	39
51	в этой	4	39
52	такого рода	4	39
53	и тем	2	39
54	во всяком	8	39
55	как бы	5	39
56	в стихотворении	3	38
57	никак не	6	37
58	хотя бы	5	37
59	того что	6	37
60	в нем	7	37
61	еще не	2	36
62	есть нечто	2	36
63	точки зрения	4	36
64	и все	8	36
65	и т	3	35
66	когда мы	2	35
67	и с	27	34
68	указывает на	2	34
69	как и	7	34
70	уже не	6	34
71	в таком	2	33
72	т д	3	33
73	в то	15	32
74	здесь не	6	32
75	едва ли	3	32
76	но не	5	32
77	в своем	10	31
78	в конце	22	31
79	связи с	7	31
80	все это	7	31
81	что такое	3	31
82	так же	4	31
83	но это	6	31
84	ясно что	2	30
85	с другой	3	30
86	и для	4	30
87	в настоящее	2	30
88	настоящее время	2	30
89	некоторого рода	2	29
90	как мы	17	29
91	все же	11	29
92	об этом	13	29
93	в связи	9	29
94	можно сказать	10	29
95	и о	6	28
96	что же	11	28
97	мы не	2	28
98	а в	20	28
99	и как	7	27
100	ничего не	4	27
101	и это	4	27
102	хотя и	9	27
103	еще и	10	26
104	в результате	6	26
105	как будто	2	26
106	вместе с	9	26
107	это не	3	26
108	да и	6	26
109	другой стороны	3	26
110	и его	12	26
111	тем самым	2	25
112	и на	7	25
113	всяком случае	8	25
114	тем более	4	24
115	не имеет	2	24
116	с тем	4	24
117	и вполне	4	24
118	в нашем	5	24
119	и притом	5	23
120	тут же	7	23
121	мы находим	2	23
122	на то	7	23
123	при этом	5	23
124	конце концов	6	23
125	в качестве	7	23
126	по своему	5	23
127	то и	3	23
128	никогда не	15	22
129	и если	8	22
130	его в	3	22
131	и есть	2	22
132	только на	3	22
133	что и	6	22
134	и от	6	22
135	раз и	4	22
136	всех этих	3	22
