N	2gram	Bakhtin_Fr	Hudozhes
1	в качестве	2	31
2	то есть	31	26
3	в мире	6	24
4	и в	68	23
5	не только	21	20
6	в том	12	20
7	может быть	10	19
8	при этом	5	19
9	в частности	4	18
10	и не	25	16
11	но и	17	14
12	а в	3	13
13	в себе	5	13
14	но не	4	13
15	а не	6	13
16	то же	14	12
17	такого рода	5	12
18	в этом	28	12
19	и его	26	12
20	так и	8	12
21	как бы	7	11
22	точки зрения	8	11
23	в его	21	11
24	но в	20	10
25	по отношению	3	10
26	отношению к	2	10
27	не в	2	9
28	или иной	2	9
29	том что	6	9
30	не может	5	9
31	с другой	8	9
32	своего рода	5	9
33	в то	14	8
34	себя в	2	8
35	в области	5	8
36	в самом	6	7
37	и т.п	17	7
38	по своей	4	7
39	отношение к	11	7
40	лишь в	3	7
41	в своей	11	7
42	только в	9	7
43	же время	13	7
44	что в	14	7
45	отличие от	3	7
46	в отличие	3	7
47	в основе	7	7
48	мы имеем	2	6
49	уже не	2	6
50	другой стороны	5	6
51	а также	6	6
52	в нем	12	6
53	можно сказать	2	6
54	в ее	5	6
55	с его	6	6
56	ни в	6	5
57	той или	2	5
58	в художественном	3	5
59	между ними	4	5
60	и одновременно	3	5
61	для того	5	5
62	того чтобы	6	5
63	в виду	8	5
64	со стороны	2	5
65	в их	6	5
66	что он	7	5
67	не на	2	5
68	то что	11	5
69	не менее	2	5
70	прежде всего	23	5
71	того что	3	5
72	для него	7	5
73	в слове	2	4
74	и то	2	4
75	сказать что	3	4
76	в отношении	3	4
77	его в	7	4
78	далеко не	3	4
79	это не	5	4
80	так в	4	4
81	речи и	2	4
82	между тем	3	4
83	входит в	2	4
84	в данном	5	4
85	жизни как	2	4
86	в форме	3	4
87	в другом	3	4
88	и как	5	4
89	еще не	3	4
90	к которому	2	4
91	и что	2	4
92	в этих	8	4
93	он не	11	4
94	и о	5	4
95	отношения к	2	4
96	например в	2	4
97	в себя	2	4
98	в своем	11	4
99	хотя и	2	4
100	даже в	4	3
101	к нему	4	3
102	и для	6	3
103	по своему	3	3
104	в произведении	3	3
105	и ее	3	3
106	в романе	24	3
107	как и	17	3
108	того же	4	3
109	их в	7	3
110	культуры в	3	3
111	потому что	3	3
112	о чем	3	3
113	одной стороны	4	3
114	по преимуществу	3	3
115	слова в	3	3
116	том числе	4	3
117	в целом	3	3
118	в противоположность	2	3
119	имеем в	2	3
120	в свою	3	3
121	и к	4	3
122	во всех	8	3
123	в культуре	4	3
124	из этих	2	3
125	связи с	8	3
126	и на	16	3
127	тому как	2	3
128	если бы	3	3
129	в той	7	3
130	и прежде	4	3
131	как раз	8	3
132	с точки	4	3
133	подобно тому	2	3
134	в связи	7	3
135	таким образом	22	3
136	в таком	2	3
137	и сам	5	3
138	в которой	6	3
139	во всей	3	3
140	принадлежит к	2	3
141	в узком	3	3
142	на языке	2	3
143	в одном	7	3
144	с одной	5	3
145	перед лицом	2	3
146	но он	9	3
147	в системе	3	3
148	никогда не	2	2
149	о том	5	2
150	одной из	3	2
151	для понимания	5	2
152	в литературе	10	2
153	одна из	3	2
154	как в	4	2
155	начиная с	3	2
156	и др	9	2
157	одно из	3	2
158	право на	2	2
159	и это	5	2
160	и потому	6	2
161	значительной степени	2	2
162	то в	2	2
163	вследствие этого	2	2
164	еще и	6	2
165	в чем	3	2
166	или в	3	2
167	именно в	5	2
168	но как	5	2
169	все эти	16	2
170	мира и	4	2
171	времени и	5	2
172	образом и	2	2
173	или иных	2	2
174	с их	5	2
175	быть и	2	2
176	включает в	2	2
177	для которого	2	2
178	не входит	2	2
179	дело не	3	2
180	так же	3	2
181	об этом	3	2
182	свою очередь	2	2
183	и по	4	2
184	всякий раз	2	2
185	он и	10	2
186	тех или	2	2
187	один из	9	2
188	на котором	2	2
189	в них	19	2
190	на мир	2	2
191	роль в	7	2
192	к жизни	2	2
193	на этом	3	2
194	это и	4	2
195	слова и	3	2
196	мира в	2	2
197	все это	6	2
198	с ними	4	2
199	о его	2	2
200	из этого	3	2
201	числе и	3	2
202	что и	3	2
203	в значительной	3	2
204	к нашему	2	2
205	в году	11	2
206	и особенно	2	2
207	xix века	5	2
208	одним из	2	2
209	и другие	4	2
210	нового времени	2	2
211	своей жизни	3	2
212	а затем	2	2
213	самом деле	5	2
214	и более	2	2
215	этого слова	3	2
216	в нашем	5	2
217	в этой	15	2
218	но только	2	2
219	с ним	3	2
220	превращается в	4	2
221	который в	2	2
222	ни для	4	2
223	вовсе не	18	2
224	основе своей	2	2
225	на основе	3	2
226	у него	14	2
227	здесь не	5	2
