N	2gram	Losev_Vesc	Istorich
1	и в	44	181
2	и т	37	160
3	т д	36	142
4	т е	79	133
5	может быть	37	115
6	не только	48	114
7	что он	7	111
8	мы имеем	8	102
9	что в	11	90
10	но и	19	85
11	в этом	17	81
12	так как	17	75
13	то что	47	73
14	таким образом	16	72
15	вместе с	4	71
16	и не	57	67
17	все же	18	65
18	мы видим	5	65
19	еще не	12	63
20	не может	44	61
21	так же	4	57
22	то же	12	56
23	никогда не	5	56
24	в том	15	53
25	том что	13	53
26	с другой	8	52
27	а в	6	52
28	потому что	25	52
29	что и	11	51
30	и что	22	51
31	и здесь	5	51
32	мы видели	3	49
33	о том	11	48
34	а не	34	48
35	его в	8	47
36	не в	14	47
37	другой стороны	3	46
38	превращается в	3	45
39	мы должны	5	44
40	но в	8	44
41	и пр	10	44
42	это не	9	43
43	и его	4	43
44	в нем	6	42
45	только в	23	42
46	как в	3	42
47	или в	3	39
48	в его	5	38
49	для нас	2	38
50	тем что	7	38
51	и на	2	38
52	что здесь	2	37
53	так и	4	37
54	он не	4	37
55	уже не	15	37
56	как и	15	37
57	мы уже	3	37
58	мы можем	4	36
59	с тем	8	35
60	что они	12	35
61	все эти	5	35
62	мы не	8	35
63	что это	18	34
64	но не	9	34
65	видим что	2	34
66	у него	3	34
67	же как	3	33
68	об этом	5	33
69	в качестве	4	32
70	ничего не	12	31
71	прежде всего	17	31
72	один из	5	31
73	то это	5	31
74	при помощи	4	30
75	с этим	4	30
76	с одной	3	30
77	к нему	3	30
78	но все	3	29
79	как мы	6	29
80	одной стороны	3	29
81	но это	14	29
82	что она	23	28
83	и другие	2	28
84	и с	11	28
85	как он	2	27
86	так что	9	27
87	того что	16	27
88	в ней	14	26
89	как это	4	26
90	на него	3	26
91	вопрос о	6	25
92	было бы	24	24
93	если бы	8	24
94	в виде	3	24
95	что мы	17	24
96	к этому	2	24
97	не менее	11	24
98	все это	7	23
99	когда он	2	23
100	тем не	11	23
101	в частности	3	23
102	в этой	4	23
103	их в	6	23
104	и это	17	23
105	как бы	19	23
106	с ним	8	22
107	совершенно ясно	2	21
108	в одном	6	21
109	сказать что	21	21
110	в другом	3	21
111	к тому	3	21
112	здесь не	2	21
113	другими словами	9	20
114	она не	9	20
115	одна из	6	20
116	в свете	8	20
117	из них	7	20
118	в силу	4	20
119	наряду с	2	20
120	видели что	3	20
121	а затем	2	19
122	и как	12	19
123	что у	5	19
124	все еще	3	19
125	с собой	2	19
126	есть и	13	19
127	на то	9	19
128	но он	2	19
129	не все	3	18
130	в данном	6	18
131	вовсе не	11	18
132	в то	11	18
133	по существу	3	17
134	то и	7	17
135	и только	11	17
136	том как	4	17
137	дело не	4	17
138	то мы	3	16
139	и они	2	16
140	не вполне	2	16
141	со стороны	9	16
142	и она	3	16
143	перед нами	3	16
144	и все	6	16
145	в котором	4	16
146	этот вопрос	6	16
147	во всех	5	16
148	данном случае	2	15
149	в целом	3	15
150	в своей	6	15
151	и то	14	15
152	в особенности	3	15
153	его и	4	15
154	и эти	3	15
155	и даже	12	15
156	как будто	2	15
157	и тем	7	15
158	отношение к	4	14
159	у нас	9	14
160	должна быть	8	14
161	с этой	6	14
162	мы еще	2	14
163	на вопрос	2	14
164	можно было	6	14
165	с ней	2	14
166	из которых	3	14
167	и есть	40	14
168	его на	4	14
169	и ее	19	14
170	но они	2	14
171	находится в	4	14
172	на себя	5	14
173	что иное	12	13
174	и для	13	13
175	все что	3	13
176	и от	4	13
177	в руки	2	13
178	тогда как	3	13
179	на этом	4	13
180	в своем	9	13
181	время как	4	13
182	и у	4	13
183	не имеет	2	13
184	и если	5	13
185	в себе	23	13
186	с ними	4	13
187	не просто	23	13
188	по себе	22	13
189	то время	4	13
190	а потом	3	12
191	кроме того	5	12
192	во всем	2	12
193	в их	4	12
194	как только	6	12
195	и их	11	12
196	в более	2	12
197	между прочим	4	12
198	утверждать что	2	12
199	хотя бы	9	12
200	к себе	4	12
201	что не	11	12
202	на более	2	12
203	к ней	4	12
204	и вот	4	11
205	же мы	2	11
206	от этого	3	11
207	е в	7	11
208	и более	4	11
209	если он	3	11
210	относится к	6	11
211	главным образом	3	11
212	только с	3	11
213	точки зрения	10	11
