N	2gram	Vinokur_Vv	Vvedenie
1	при этом	3	43
2	не только	26	32
3	но и	7	31
4	а не	5	31
5	в этом	35	27
6	может быть	30	25
7	и не	13	24
8	такого рода	3	23
9	что такое	12	23
10	состоит в	2	23
11	и в	35	23
12	в данном	11	22
13	в том	38	21
14	как и	7	21
15	своего рода	3	20
16	в частности	3	19
17	представляет собой	14	18
18	в качестве	8	18
19	том что	30	16
20	тогда как	2	16
21	данном случае	5	15
22	в себе	4	15
23	со стороны	16	15
24	а в	6	15
25	не может	19	14
26	так и	2	14
27	но в	10	14
28	а также	3	12
29	не в	10	12
30	по отношению	4	11
31	прежде всего	10	11
32	отличие от	4	11
33	в котором	4	11
34	в тексте	4	11
35	отношению к	4	11
36	в отличие	4	11
37	все же	9	10
38	если бы	3	10
39	с другой	8	10
40	в своей	4	10
41	хотя и	5	10
42	в его	12	9
43	в своем	3	9
44	одной стороны	4	9
45	то что	19	9
46	с одной	4	9
47	к тому	4	9
48	в нем	13	9
49	но не	9	9
50	однако в	3	9
51	и его	6	9
52	только в	16	9
53	в соответствии	2	8
54	мы имеем	4	8
55	то же	11	8
56	еще не	4	8
57	как в	3	8
58	и для	4	8
59	как бы	7	8
60	соответствии с	2	8
61	жизни и	2	8
62	этом отношении	4	7
63	это не	8	7
64	времени и	4	7
65	о том	16	7
66	потому что	18	7
67	уже не	6	7
68	того что	12	7
69	никогда не	3	6
70	и т.д	5	6
71	самом деле	7	6
72	что в	13	6
73	также и	20	6
74	в самом	13	6
75	истории в	2	6
76	что же	3	6
77	что и	5	6
78	мы не	2	6
79	таким образом	21	6
80	как будто	3	6
81	можно сказать	4	6
82	до конца	3	5
83	одна из	3	5
84	или иной	3	5
85	в ней	3	5
86	из этих	9	5
87	в результате	4	5
88	той или	3	5
89	отношение к	3	5
90	в области	4	5
91	в той	10	5
92	об этом	6	5
93	свою очередь	2	5
94	одним из	5	5
95	в этих	3	5
96	о котором	8	5
97	в своих	2	5
98	в свою	2	5
