N	2gram	Losev_Prob	VelikijI
1	и не	63	20
2	и в	64	16
3	так как	16	9
4	то что	72	9
5	еще не	18	8
6	в истории	6	8
7	и потому	3	7
8	что они	5	7
9	а не	21	7
10	не есть	49	6
11	как бы	18	5
12	на себя	2	5
13	но и	23	5
14	все это	11	5
15	хотя и	8	5
16	того что	18	5
17	что все	9	4
18	и все	9	4
19	как и	7	4
20	в котором	5	4
21	потому что	24	4
22	все что	2	4
23	в нем	14	4
24	что не	8	4
25	мы хотим	3	4
26	что мы	23	4
27	в его	12	4
28	говорить о	14	4
29	в этом	30	4
30	что он	11	4
31	и есть	7	4
32	так и	17	4
33	никогда не	8	3
34	в жизни	3	3
35	что в	21	3
36	в том	19	3
37	и для	10	3
38	от этого	2	3
39	не имеет	8	3
40	тому что	6	3
41	но в	19	3
42	к тому	5	3
43	ни в	13	3
44	их в	6	3
45	нет ничего	12	3
46	то это	3	3
47	но это	11	3
48	бы и	5	3
49	должно быть	3	3
50	оно не	6	3
51	хотя бы	15	3
52	и будет	2	3
53	в своей	8	3
54	во всех	9	3
55	в конце	13	3
56	по этому	6	3
57	в них	8	3
58	что и	2	3
59	не было	7	3
60	лишь в	4	3
61	если не	6	3
62	и что	21	3
63	не в	6	3
64	все эти	15	3
65	в этих	7	3
66	должна быть	2	3
67	в чем	3	3
68	тот же	4	3
69	его во	2	3
70	с его	3	3
71	которой они	2	2
72	под этим	4	2
73	и то	15	2
74	с тем	6	2
75	да и	11	2
76	самого себя	2	2
77	одна из	4	2
78	но не	13	2
79	нет и	5	2
80	что их	4	2
81	тот кто	2	2
82	и это	13	2
83	это не	7	2
84	ее в	2	2
85	не только	37	2
86	не могут	6	2
87	является в	3	2
88	а в	7	2
89	том что	26	2
90	на том	5	2
91	но мы	3	2
92	и во	4	2
93	во всяком	18	2
94	и тогда	2	2
95	уже не	9	2
96	зачем же	3	2
97	мы это	3	2
98	могут быть	2	2
99	которые не	5	2
100	значения и	11	2
101	один из	7	2
102	т д	12	2
103	ничего и	2	2
104	не будет	11	2
105	для них	5	2
106	не имел	2	2
107	того чтобы	10	2
108	мира в	2	2
109	тем что	10	2
110	мы не	6	2
111	конечно не	3	2
112	что было	2	2
113	можно было	8	2
114	уже на	3	2
115	только в	19	2
116	а есть	4	2
117	и сам	3	2
118	все равно	7	2
119	для нас	11	2
120	прежде всего	17	2
121	и т	13	2
122	с ним	4	2
123	это мы	2	2
124	между тем	3	2
125	мы и	8	2
126	для него	2	2
