N	3gram	Propp_Isto	FransuaR
1	до сих пор	7	27
2	в том что	8	27
3	в средние века	2	25
4	в большинстве случаев	2	22
5	о том что	3	17
6	как мы видели	7	16
7	в связи с	5	16
8	но и в	2	15
9	не может быть	4	13
10	с одной стороны	2	13
11	с другой стороны	10	12
12	можно сказать что	2	11
13	таким образом и	2	10
14	в данном случае	6	10
15	как и в	2	10
16	не только в	3	10
17	по отношению к	2	9
18	мы видим что	6	9
19	мы видели что	6	8
20	после того как	3	8
21	можно было бы	2	7
22	и в других	3	7
23	подобно тому как	3	7
24	в то время	2	7
25	к тому же	4	6
26	но все же	5	6
27	мы имеем в	4	5
28	во всяком случае	2	5
29	это и есть	2	5
30	друг с другом	2	5
31	по сравнению с	2	5
32	одной и той	2	4
33	как мы увидим	2	4
34	что и в	3	4
35	в одном из	2	4
36	так же как	7	4
37	и той же	2	4
38	том что в	2	4
39	и то что	4	4
40	содержит в себе	2	3
41	с одним из	2	3
42	не только не	2	3
43	есть не что	2	3
44	что иное как	6	3
45	не что иное	6	3
46	смысле этого слова	3	3
47	мы видели как	3	2
48	совершенно так же	4	2
49	в главе о	2	2
50	в таких случаях	2	2
51	то что было	2	2
52	мы знаем что	8	2
53	в этом случае	8	2
54	дает нам право	2	2
55	мы здесь не	2	2
56	мы уже знаем	3	2
57	же как и	3	2
58	мы не будем	2	2
59	свою связь с	2	2
60	между человеком и	2	2
61	но этот же	2	2
62	в другом случае	3	2
63	мы уже видели	3	2
