N	2gram	Tiupa_Lite	NovoeSre
1	а не	28	17
2	и в	26	16
3	не может	10	16
4	во имя	3	15
5	нового времени	2	12
6	и не	19	11
7	и есть	3	10
8	что в	7	9
9	жизни и	6	8
10	в том	22	8
11	он не	4	8
12	может быть	24	7
13	как и	13	7
14	в этом	19	7
15	культуры и	2	7
16	никогда не	5	6
17	лишь в	4	6
18	не в	11	6
19	не знает	3	6
20	но это	2	6
21	с его	5	6
22	не только	29	5
23	в жизни	7	5
24	должен быть	2	5
25	в нем	4	5
26	с ее	3	5
27	в ней	4	5
28	культуры в	5	5
29	xix века	6	5
30	есть лишь	2	4
31	не имеет	2	4
32	прежде всего	14	4
33	не менее	11	4
34	не было	5	4
35	и мы	2	4
36	перестает быть	5	4
37	то что	14	4
38	о том	3	4
39	это не	4	4
40	потому что	5	4
41	быть может	2	4
42	в мире	9	3
43	тому как	4	3
44	но и	25	3
45	к жизни	2	3
46	подобно тому	4	3
47	с другой	11	3
48	к тому	3	3
49	в россии	2	3
50	что такое	2	3
51	жизни в	5	3
52	в своей	5	3
53	еще не	4	3
54	жизни не	2	3
55	человека и	2	3
56	должна быть	3	3
57	как в	5	3
58	не есть	2	3
59	за пределы	3	3
60	во всех	4	3
61	в основе	5	3
62	с тем	2	3
63	в себе	8	2
64	как будто	2	2
65	все они	2	2
66	и с	4	2
67	одна из	8	2
68	для этого	5	2
69	себя в	7	2
70	но не	8	2
71	и т.п	14	2
72	нашего времени	2	2
73	роль в	2	2
74	культуры нового	3	2
75	хотя бы	3	2
76	в духовной	2	2
77	же как	3	2
78	а в	5	2
79	но в	5	2
80	том что	19	2
81	не к	3	2
82	нового типа	2	2
83	мир и	2	2
84	и на	5	2
85	и что	2	2
86	все эти	2	2
87	мы не	5	2
88	можно было	3	2
89	у него	5	2
90	и культуры	3	2
91	уже не	9	2
92	по существу	4	2
93	с их	3	2
94	как это	9	2
95	другой стороны	5	2
96	права на	4	2
97	так и	7	2
98	такого рода	18	2
99	могут быть	4	2
100	жизни как	3	2
101	одной стороны	8	2
102	такой же	3	2
103	должно стать	2	2
104	в то	12	2
105	который в	2	2
106	с одной	9	2
107	духовной жизни	4	2
108	свободы от	4	2
109	xviii века	2	2
110	и даже	9	2
111	более не	2	2
112	вместе с	5	2
113	я не	8	2
