N	2gram	Vinokur_Ku	VrazhdaK
1	в году	3	18
2	не только	29	9
3	и что	11	8
4	в этом	31	8
5	и в	44	8
6	что в	25	7
7	но и	13	7
8	и все	4	7
9	достоевского и	2	7
10	то что	14	7
11	но в	11	6
12	как и	3	6
13	в котором	4	6
14	в нем	7	6
15	и с	11	6
16	о нем	2	6
17	все же	17	6
18	и даже	5	6
19	и не	23	5
20	не было	6	5
21	об этом	4	5
22	то же	12	5
23	в то	4	5
24	же время	4	5
25	у него	3	5
26	между тем	11	5
27	для нас	6	4
28	уже в	5	4
29	целый ряд	8	4
30	несмотря на	6	4
31	у достоевского	2	4
32	во многом	2	4
33	в своих	2	4
34	это не	13	4
35	в виду	7	4
36	все это	10	4
37	при этом	6	4
38	о том	10	4
39	в ней	6	4
40	как бы	11	4
41	так же	8	4
42	что он	7	4
43	в истории	3	4
44	письме к	2	4
45	с ним	5	4
46	может быть	25	4
47	т е	54	3
48	давно уже	2	3
49	и у	3	3
50	в том	47	3
51	в чем	2	3
52	одним из	2	3
53	далеко не	2	3
54	что у	3	3
55	и уже	2	3
56	в своем	4	3
57	том что	30	3
58	в его	16	3
59	в связи	4	3
60	и о	3	3
61	и его	8	3
62	и как	3	3
63	он не	4	3
64	речь идет	4	3
65	связи с	8	3
66	к этому	4	3
67	но он	2	3
68	на то	6	3
69	я не	5	3
70	наряду с	2	3
71	в конце	5	3
72	с его	4	3
73	тем что	9	3
74	никогда не	2	2
75	и то	7	2
76	в них	10	2
77	за год	2	2
78	уже не	13	2
79	к ним	2	2
80	в той	6	2
81	для него	2	2
82	и это	3	2
83	с точки	16	2
84	мы знаем	3	2
85	а в	7	2
86	а также	3	2
87	в этой	8	2
88	тогда как	2	2
89	столь же	2	2
90	том же	3	2
91	в нашей	4	2
92	в своей	4	2
93	как раз	10	2
94	же в	5	2
95	но как	2	2
96	и он	4	2
97	в себе	4	2
98	еще не	10	2
99	и а	2	2
100	точки зрения	25	2
101	о чем	2	2
102	же как	3	2
103	тем более	2	2
104	таким образом	17	2
105	что я	4	2
106	отношения к	2	2
107	п в	3	2
108	в свою	4	2
109	на это	3	2
110	так в	2	2
111	рядом с	7	2
112	печати и	2	2
113	не может	13	2
114	из них	4	2
115	ответ на	2	2
116	в это	3	2
117	не менее	12	2
118	но это	4	2
119	к себе	4	2
120	отнюдь не	5	2
121	а с	3	2
122	не мог	2	2
123	на основе	2	2
124	вместе с	8	2
125	в известном	2	2
126	он тоже	2	2
127	и далее	3	2
128	отношение к	2	2
