N	3gram	Bakhtin_sl	Problemy
1	то же время	15	26
2	в то же	15	26
3	с точки зрения	11	25
4	по отношению к	2	18
5	и т п	49	18
6	не может быть	11	14
7	в большинстве случаев	11	12
8	в пределах одного	8	11
9	но в то	6	11
10	до сих пор	4	10
11	в отношении к	9	10
12	во всяком случае	7	9
13	с другой стороны	5	9
14	и не может	2	8
15	друг с другом	2	8
16	в том что	4	8
17	и в то	6	7
18	сама по себе	2	7
19	и в этом	2	7
20	и т д	7	7
21	с чужим словом	15	6
22	в отличие от	12	6
23	к чужому слову	6	6
24	а не как	2	5
25	той или иной	13	5
26	в зависимости от	4	5
27	хотя бы и	5	5
28	можно было бы	2	5
29	в той или	12	5
30	тем не менее	2	4
31	более или менее	5	4
32	может быть и	2	4
33	о том что	2	4
34	так и в	5	4
35	и наконец в	2	4
36	как мы сказали	6	4
37	как и в	2	4
38	зрения на мир	6	4
39	а между тем	2	4
40	а вовсе не	4	4
41	в этом отношении	2	4
42	в большей или	3	3
43	и то же	2	3
44	как мы видели	2	3
45	большей или меньшей	5	3
46	в то время	2	3
47	чужого слова в	5	3
48	в данном случае	3	3
49	как мы уже	4	3
50	в самом предмете	3	3
51	одно и то	2	3
52	к своему предмету	5	3
53	в узком смысле	13	3
54	не только не	2	3
55	или меньшей степени	3	3
56	то время как	2	3
57	выходит за пределы	3	3
58	это не значит	2	3
59	в этом случае	4	3
60	чужого слова и	3	3
61	чужим словом в	4	3
62	в том и	2	3
63	и его слово	14	3
64	можно прямо сказать	3	2
65	у него нет	2	2
66	отношение к чужому	2	2
67	точка зрения на	3	2
68	от автора и	2	2
69	ту же тему	2	2
70	не укладывается в	2	2
71	никогда не может	2	2
72	и в том	2	2
73	с авторским словом	2	2
74	рано или поздно	2	2
75	но в этом	2	2
76	или иной степени	12	2
77	и в другом	2	2
78	и в романе	2	2
79	в лучшем случае	3	2
80	не только в	3	2
81	в их основе	2	2
82	к тому что	2	2
83	а следовательно и	2	2
84	том и в	2	2
85	человека и его	2	2
86	в пределах того	4	2
87	как бы ни	2	2
88	значит конечно что	2	2
89	в значительной степени	6	2
90	бы ни были	2	2
91	со всею ясностью	2	2
92	не значит конечно	2	2
93	и в сущности	4	2
94	о том же	2	2
95	в свою очередь	3	2
