N	2gram	Losev_Prob	RusskieA
1	и в	62	79
2	в том	35	64
3	том что	25	59
4	что в	11	57
5	не только	33	41
6	во время	3	38
7	так как	14	34
8	в этом	25	33
9	и другие	4	33
10	как бы	11	31
11	но и	20	31
12	в других	2	30
13	как и	15	28
14	может быть	39	28
15	и на	4	28
16	и т	20	23
17	о том	14	23
18	при этом	9	22
19	т д	20	21
20	это не	10	20
21	как мы	12	20
22	а в	9	20
23	из них	4	19
24	все это	9	18
25	с тем	9	17
26	потому что	40	17
27	то что	42	17
28	об этом	7	17
29	таким образом	13	17
30	вместе с	3	17
31	мы не	15	16
32	будто бы	7	15
33	у нас	17	14
34	мы видели	2	14
35	для нас	23	14
36	не менее	24	14
37	в них	6	14
38	как это	4	14
39	тем не	23	14
40	и не	56	14
41	и с	11	14
42	и что	9	14
43	так что	21	13
44	и по	3	13
45	к этому	2	13
46	не может	14	13
47	еще не	12	13
48	как в	10	13
49	уже не	12	13
50	в которых	3	13
51	в виде	20	12
52	между собой	3	12
53	этом случае	8	12
54	мы имеем	7	12
55	тем что	8	12
56	что на	2	11
57	но это	13	11
58	не имеет	12	11
59	его в	4	10
60	так и	16	10
61	по существу	2	10
62	все же	10	10
63	что и	11	10
64	а также	6	10
65	или в	7	10
66	данном случае	12	9
67	о чем	4	9
68	но в	17	9
69	и все	13	9
70	что они	8	9
71	с ней	5	9
72	то же	23	9
73	но не	6	9
74	так же	11	8
75	того что	10	8
76	в данном	14	8
77	того чтобы	4	8
78	их в	2	8
79	же в	6	8
80	связи с	10	8
81	что это	3	8
82	во всех	4	8
83	подобно тому	3	8
84	ее в	2	8
85	для того	5	8
86	в этих	6	8
87	тому как	2	8
88	в своем	7	7
89	мы должны	13	7
90	а и	2	7
91	ничего не	4	7
92	в настоящее	4	7
93	в свете	4	7
94	не в	21	7
95	а с	2	7
96	к нему	3	7
97	настоящее время	4	7
98	было бы	14	7
99	для этого	9	7
100	и как	4	7
101	не можем	5	7
102	только в	33	7
103	связанные с	2	7
104	как будто	11	7
105	а не	28	7
106	с собой	6	6
107	в этой	10	6
108	как знак	5	6
109	не будем	4	6
110	и у	2	6
111	друг друга	5	6
112	в их	2	6
113	только на	6	6
114	тому что	5	6
115	она не	3	6
116	к тому	4	6
117	в нем	13	6
118	же как	5	6
119	с ними	2	6
120	все эти	14	6
121	в качестве	10	6
122	чем в	2	6
123	но она	2	6
124	в одном	4	6
125	что она	5	6
