N	2gram	Tiupa_Anal	DiskursI
1	в качестве	22	72
2	а не	16	60
3	может быть	19	56
4	не только	40	49
5	и в	36	49
6	как и	27	47
7	тогда как	37	47
8	при этом	19	46
9	в том	16	44
10	и не	14	44
11	то есть	15	41
12	представляет собой	7	41
13	том что	19	40
14	в этом	19	38
15	в себе	7	37
16	состоит в	14	37
17	в частности	19	36
18	но и	26	35
19	своего рода	17	32
20	и т.п	7	32
21	но не	13	31
22	со стороны	12	28
23	так и	19	28
24	отличие от	5	28
25	но в	8	28
26	не может	3	27
27	в отличие	5	27
28	по своей	5	26
29	как в	9	25
30	такого рода	11	24
31	коммуникативного события	14	24
32	в рамках	10	23
33	еще не	7	23
34	отнюдь не	7	23
35	а также	5	20
36	все же	6	19
37	прежде всего	7	19
38	в нем	3	19
39	в своей	12	19
40	лирического героя	6	18
41	лирического дискурса	2	18
42	в основе	2	18
43	далеко не	8	18
44	по отношению	9	17
45	в данном	12	17
46	то же	7	17
47	с другой	10	17
48	отношению к	9	17
49	в мире	17	17
50	точки зрения	3	16
51	только в	9	16
52	роль в	5	15
53	в его	12	15
54	то что	5	15
55	о том	9	15
56	это не	4	14
57	или иной	9	14
58	картины мира	5	14
59	не в	9	14
60	не менее	9	14
61	одной стороны	3	14
62	можно сказать	5	14
63	не является	5	14
64	ни к	3	14
65	с одной	3	14
66	в целом	8	13
67	для него	8	13
68	как бы	14	13
69	данном случае	11	12
70	в своем	7	12
71	и все	3	12
72	того же	7	12
73	являет собой	3	12
74	при всей	2	12
75	природе своей	4	12
76	ведет к	2	12
77	в своих	3	12
78	и на	5	12
79	что в	15	11
80	в тексте	16	11
81	по природе	3	11
82	с его	15	11
83	и как	5	11
84	как правило	6	11
85	столь же	7	11
86	не было	3	11
87	для себя	2	10
88	в лирике	3	10
89	а в	17	10
90	а с	2	10
91	не столько	4	10
92	по сути	2	10
93	той или	6	10
94	и т.д	3	10
95	же время	7	10
96	тем самым	8	9
97	в то	8	9
98	в силу	2	9
99	коммуникативное событие	2	9
100	между тем	8	9
