N	3gram	Ircho_Kome	slovoVRo
1	и т п	7	72
2	в то же	5	18
3	то же время	5	18
4	в отличие от	3	14
5	в большинстве случаев	2	11
6	с одной стороны	5	11
7	и т д	4	10
8	во всяком случае	4	8
9	с другой стороны	6	6
10	в том что	13	5
11	в этом отношении	3	5
12	по отношению к	5	5
13	для того чтобы	3	4
14	в новое время	2	4
15	таким образом в	2	4
16	до сих пор	3	4
17	к тому что	3	3
18	а затем и	2	3
19	как и в	2	3
20	в связи с	3	3
21	о том что	6	2
22	можно было бы	3	2
23	на протяжении всего	3	2
24	в то время	8	2
25	с самого начала	2	2
26	но и в	2	2
27	то время как	6	2
28	тем не менее	2	2
