N	2gram	Tiupa_Narr	Mirosoze
1	и в	22	97
2	может быть	24	64
3	не только	50	63
4	в этом	23	55
5	но и	39	54
6	он не	8	53
7	а не	27	53
8	в нем	9	49
9	не может	16	49
10	у него	13	47
11	и не	34	39
12	никогда не	8	38
13	потому что	7	37
14	в ней	5	37
15	не было	3	36
16	не в	12	34
17	для него	8	31
18	человека в	2	30
19	но он	2	30
20	прежде всего	7	29
21	как и	15	29
22	но в	10	27
23	и он	8	27
24	в мире	8	27
25	в своей	8	25
26	и все	7	24
27	у нас	4	24
28	в своем	7	23
29	ведет к	3	23
30	что в	6	23
31	что он	7	22
32	достоевского и	2	21
33	в самом	8	21
34	в себе	14	20
35	отношение к	2	20
36	до конца	2	19
37	как бы	11	19
38	в его	12	18
39	и потому	2	17
40	того что	7	17
41	в том	20	16
42	том что	15	16
43	то что	14	16
44	было бы	2	16
45	и его	12	16
46	в этой	8	15
47	не знает	2	15
48	в котором	3	15
49	в конце	4	14
50	она не	2	14
51	человек в	3	14
52	та же	2	13
53	и вот	2	13
54	друг друга	2	13
55	и на	5	13
56	это не	6	12
57	в человеке	2	12
58	и у	4	12
59	к нему	5	12
60	но не	7	12
61	он сам	4	12
62	но это	2	11
63	хотя бы	4	11
64	в которой	2	11
65	только в	23	11
66	как в	9	11
67	и для	4	11
68	в русской	3	11
69	уже не	11	11
70	и к	7	11
71	жизни и	7	11
72	так же	2	10
73	это и	2	10
74	один из	8	10
75	должна быть	2	10
76	то же	12	10
77	не имеет	3	10
78	а в	19	9
79	к тому	13	9
80	не будет	2	9
81	что и	3	9
82	я не	5	9
83	то есть	15	9
84	он уже	3	9
85	все что	4	9
86	в свою	4	9
87	человек и	2	9
88	с ним	6	9
89	лишь в	3	9
90	не мог	7	9
91	вместе с	3	9
92	ничего не	8	8
93	в этих	3	8
94	они не	3	8
95	мира и	2	8
96	человека есть	2	8
97	что не	2	8
98	того чтобы	7	8
99	с его	6	8
100	себя в	4	8
101	для того	4	8
102	о том	5	8
103	и с	3	8
104	еще в	4	8
105	как он	3	7
106	более чем	2	7
107	точки зрения	8	7
108	что она	3	7
109	жизни в	7	7
110	в жизни	9	7
111	также и	4	7
112	не существует	3	7
113	в нашем	4	7
114	не могу	2	7
115	людей и	2	6
116	в ее	4	6
117	быть и	3	6
118	и от	3	6
119	что это	4	6
120	можно было	2	6
121	к ней	3	6
122	если бы	9	6
123	с этой	3	6
124	по своей	3	6
125	к чему	3	6
126	и более	2	6
127	что у	6	6
128	на то	4	6
129	и здесь	3	6
130	в смысл	2	6
131	не к	4	6
132	оно не	4	5
133	с собой	2	5
134	в то	9	5
135	жизни это	2	5
136	так и	12	5
137	все время	2	5
138	они и	2	5
139	тот кто	2	5
140	связано с	2	5
141	как у	6	5
142	сказать что	5	5
143	интерес к	3	5
144	во всяком	2	5
145	да и	5	5
146	одно из	2	5
147	и как	4	5
148	бы в	2	5
149	еще не	6	5
150	его и	2	5
151	как будто	4	5
152	сих пор	3	5
153	на протяжении	12	5
154	в самую	2	5
155	личности в	2	5
156	до сих	3	5
157	той же	2	5
158	по отношению	5	4
159	как о	2	4
160	и через	2	4
161	к себе	11	4
162	как к	3	4
163	не всегда	4	4
164	к другому	2	4
165	потому не	2	4
166	а с	2	4
167	по своему	3	4
168	в чем	3	4
169	в него	2	4
170	только с	2	4
171	а для	4	4
172	тому что	4	4
173	в центре	4	4
174	место в	3	4
175	себе и	2	4
176	человеческой жизни	3	4
177	для них	2	4
178	в начале	4	4
179	все эти	3	4
180	и тогда	2	4
181	не все	2	4
182	истории он	2	4
183	к миру	2	4
184	сознания и	2	4
185	и даже	4	4
186	и по	3	4
187	стало быть	4	4
188	заключает в	2	4
189	человека как	2	4
190	и только	2	4
191	все равно	2	4
192	особенно в	3	4
193	мы не	5	4
194	отношению к	5	4
195	нас в	2	4
196	от его	2	4
197	не случайно	2	4
198	это была	3	4
199	в той	4	4
200	в своих	2	4
201	будто бы	2	4
202	человеческого сознания	2	3
203	к его	5	3
204	и сама	2	3
205	о чем	6	3
206	и мира	4	3
207	для себя	3	3
208	давно уже	2	3
209	одним из	2	3
210	и тем	9	3
211	все же	10	3
212	она может	2	3
213	это уже	3	3
214	на том	2	3
215	все его	4	3
216	между тем	5	3
217	в виду	2	3
218	же как	2	3
219	когда в	4	3
220	и когда	3	3
221	ли он	2	3
222	всю свою	2	3
223	хотя и	8	3
224	и то	3	3
225	обратиться к	2	3
226	а к	3	3
227	и еще	2	3
228	в душе	3	3
229	к этому	2	3
230	об этом	8	3
231	и самого	3	3
232	то чтобы	2	3
233	превращается в	2	3
234	для нас	2	3
235	со всеми	3	3
236	в пределах	2	3
237	во всех	2	3
238	на этот	2	3
239	с другим	2	3
240	мир и	2	3
241	не вполне	3	3
242	о себе	2	3
243	входит в	2	3
244	но для	5	3
245	приводит к	2	3
246	жизни а	4	3
247	в одном	5	3
248	всякий раз	2	3
249	со своей	3	3
