N	3gram	Bakhtin_Fr	Formalny
1	с точки зрения	6	40
2	не может быть	5	29
3	на самом деле	2	21
4	то же время	5	20
5	в то же	5	20
6	во всяком случае	2	16
7	по отношению к	2	12
8	так и в	3	11
9	в этом отношении	5	11
10	в его целом	2	10
11	в большинстве случаев	2	9
12	и не может	2	9
13	как мы видели	2	8
14	для того чтобы	2	8
15	до сих пор	7	8
16	с одной стороны	2	8
17	в применении к	3	7
18	и в то	2	6
19	в своей статье	2	6
20	в том что	6	6
21	до известной степени	2	5
22	в значительной степени	4	5
23	в отличие от	4	5
24	как бы ни	2	5
25	как раз и	2	4
26	не входит в	2	4
27	не могут быть	2	4
28	подобно тому как	2	4
29	вовсе не является	3	4
30	но и в	5	4
31	но все же	3	4
32	но в то	2	3
33	друг с другом	2	3
34	в том числе	10	3
35	на самом же	3	3
36	том числе и	7	3
37	самом же деле	3	3
38	и в частности	2	3
39	главным образом на	2	3
40	и прежде всего	4	2
41	вовсе не в	2	2
42	нужно сказать что	7	2
43	в самой литературе	2	2
44	в пределах одной	2	2
45	но даже и	2	2
46	выходит за пределы	4	2
47	и ни на	3	2
48	в это время	2	2
49	так и не	3	2
50	на этот вопрос	2	2
51	не только в	5	2
52	в отрыве от	2	2
53	в собственном смысле	3	2
54	и в других	2	2
55	как и всякая	2	2
56	в своей книге	3	2
57	и в том	2	2
58	своей статье о	2	2
59	на первом плане	4	2
60	дело в том	2	2
61	в целом ряде	2	2
62	имеем в виду	2	2
