N	3gram	Savitsky_E	Vvedenie
1	для того чтобы	5	22
2	в том что	6	15
3	в этом смысле	3	10
4	не может быть	2	10
5	с течением времени	2	7
6	в применении к	3	6
7	в то же	15	6
8	то же время	14	6
9	во всяком случае	3	5
10	с другой стороны	2	5
11	не только в	4	4
12	в данном случае	2	4
13	само по себе	4	4
14	в этом отношении	3	4
15	и в этом	4	4
16	с одной стороны	8	4
17	с точки зрения	16	4
18	можно было бы	3	4
19	по сравнению с	2	4
20	заключается в том	2	3
21	в известном смысле	3	3
22	той или иной	4	3
23	одной стороны и	6	3
24	как мы видели	2	3
25	можно сказать что	3	3
26	но в то	2	3
27	между ними и	2	2
28	во второй половине	2	2
29	этой точки зрения	5	2
30	и со стороны	2	2
31	с этой точки	5	2
32	только в том	2	2
33	не говоря уже	2	2
34	хотя бы и	3	2
35	в свою очередь	2	2
