N	3gram	Medvedev_V	Vvedenie
1	и т д	16	39
2	для того чтобы	3	22
3	в том что	5	15
4	о том что	3	13
5	не может быть	8	10
6	до сих пор	2	7
7	в то же	5	6
8	то же время	5	6
9	во всяком случае	2	5
10	и т п	9	5
11	с другой стороны	8	5
12	в том чтобы	2	5
13	по крайней мере	2	4
14	не только в	2	4
15	т е в	2	4
16	в этом отношении	14	4
17	с одной стороны	2	4
18	по отношению к	7	4
19	можно было бы	2	4
20	вместе с тем	4	3
21	в том отношении	2	3
22	одной стороны и	2	3
23	по этому поводу	7	3
24	большей или меньшей	3	3
25	в чем же	2	3
26	том отношении что	2	3
27	в зависимости от	5	3
28	можно сказать что	4	3
29	также и в	2	3
30	в конечном итоге	2	3
31	не могут не	2	2
32	в значительной мере	3	2
33	подобно тому как	3	2
34	этой точки зрения	2	2
35	таким образом по	2	2
36	не в том	2	2
37	в конце концов	2	2
38	только в том	2	2
39	в другом месте	2	2
40	после того как	2	2
41	хотя бы и	5	2
42	в связи с	4	2
43	как об этом	2	2
44	не могут быть	4	2
