N	2gram	Vygotskiy_	Otkroven
1	у него	2	22
2	и в	37	19
3	но и	23	13
4	и не	15	13
5	в этом	32	12
6	не только	29	11
7	не в	9	11
8	а не	5	11
9	может быть	19	11
10	и все	7	10
11	человека и	6	10
12	в нем	2	10
13	вопрос о	11	10
14	никогда не	8	9
15	в самой	4	9
16	потому что	11	9
17	прежде всего	12	9
18	лишь в	9	7
19	в его	16	7
20	он не	11	7
21	как и	20	6
22	все это	9	6
23	для него	5	5
24	а в	4	5
25	в том	47	5
26	в самом	16	5
27	то что	32	5
28	в этой	13	5
29	его мысли	5	4
30	и его	10	4
31	что в	25	4
32	он сам	3	4
33	того чтобы	23	4
34	и мысли	2	4
35	все эти	6	4
36	не может	16	4
37	что не	2	4
38	с его	7	4
39	в себе	8	3
40	и от	4	3
41	о том	14	3
42	это не	5	3
43	что он	16	3
44	о природе	5	3
45	и вот	3	3
46	было бы	12	3
47	для того	19	3
48	и есть	2	3
49	все что	4	3
50	в этих	3	3
51	в своих	6	3
52	когда он	5	3
53	и ее	9	3
54	как бы	16	3
55	хотя бы	7	3
56	могут быть	5	3
57	с ним	3	3
58	мысли и	7	3
59	того что	28	3
60	одно из	3	2
61	он прежде	2	2
62	и то	3	2
63	сказать что	16	2
64	и на	8	2
65	с тем	8	2
66	уже в	8	2
67	что же	3	2
68	и для	3	2
69	что все	8	2
70	человека к	4	2
71	ничего кроме	3	2
72	вопросом о	3	2
73	не имеет	5	2
74	не могли	2	2
75	ничего не	6	2
76	и с	10	2
77	что и	3	2
78	ее в	3	2
79	и потому	3	2
80	в ее	3	2
81	вместо того	3	2
82	в других	2	2
83	в своем	10	2
84	тем что	7	2
85	но в	9	2
86	том что	42	2
87	к этой	4	2
88	что для	8	2
89	все же	6	2
90	ко всем	3	2
91	о которой	2	2
92	в своей	7	2
93	он в	6	2
94	потребность в	5	2
95	так как	11	2
96	с чем	2	2
97	по себе	9	2
98	что у	3	2
99	же это	2	2
100	что они	5	2
101	в истории	7	2
102	так что	2	2
103	должно быть	4	2
104	с которой	2	2
105	к этому	7	2
106	и к	9	2
107	так и	12	2
108	в которой	6	2
109	хотя и	2	2
110	его не	3	2
111	и из	2	2
112	всего в	3	2
113	учение о	4	2
114	в другом	7	2
