N	3gram	Propp_Isto	StatiiOP
1	в том что	4	47
2	и т д	36	32
3	о том что	5	29
4	для того чтобы	3	19
5	до сих пор	7	19
6	с другой стороны	10	13
7	не может быть	6	11
8	на то что	3	9
9	вместе с тем	7	9
10	тем не менее	6	8
11	не только в	2	8
12	в данном случае	2	7
13	не в том	2	7
14	в то время	3	7
15	но все же	6	7
16	по отношению к	2	6
17	так и в	2	6
18	так же как	10	6
19	в том смысле	2	6
20	после того как	4	5
21	то время как	3	5
22	но и в	2	5
23	в том чтобы	2	5
24	в это время	2	4
25	то что он	2	4
26	но это не	2	4
27	в связи с	6	4
28	с одной стороны	7	4
29	что и в	3	4
30	во всех этих	2	3
31	т е в	6	3
32	а иногда и	2	3
33	таким образом в	2	3
34	в том числе	3	3
35	совершенно так же	3	3
36	так как в	3	3
37	в этом случае	13	3
38	и тем не	2	3
39	потому что он	5	3
40	о том как	4	3
41	что у него	2	3
42	мы имеем в	2	2
43	он не может	2	2
44	но вместе с	4	2
45	не потому ли	2	2
46	как мы видели	2	2
47	если бы мы	3	2
48	только тогда когда	2	2
49	как и в	4	2
50	если не считать	2	2
51	на этот вопрос	2	2
52	точно так же	3	2
53	уже после того	2	2
54	том числе и	2	2
55	тем что он	3	2
56	и вместе с	3	2
57	и то что	3	2
58	такие выражения как	2	2
