N	2gram	Ircho_Kome	Myshleni
1	в том	24	195
2	в этом	18	167
3	то что	5	166
4	и в	37	162
5	том что	22	161
6	в развитии	3	151
7	таким образом	16	147
8	точки зрения	8	143
9	с помощью	4	131
10	что в	11	119
11	не только	13	116
12	так же	8	100
13	и речи	4	96
14	потому что	19	95
15	того чтобы	9	91
16	может быть	14	89
17	с точки	6	89
18	что он	15	86
19	не может	9	81
20	как и	10	79
21	так как	16	78
22	для того	9	78
23	и не	28	78
24	только в	3	75
25	в целом	4	74
26	как мы	6	72
27	но и	18	70
28	в его	12	67
29	сказать что	4	65
30	как бы	7	64
31	вместе с	16	62
32	в качестве	4	60
33	и что	8	60
34	было бы	7	60
35	представляет собой	5	60
36	то же	14	58
37	в основе	3	58
38	в отношении	4	55
39	что мы	4	53
40	в силу	2	53
41	между собой	5	53
42	в самом	17	52
43	в сущности	3	51
44	по сравнению	3	51
45	к тому	11	49
46	что они	3	48
47	мы можем	7	48
48	тем что	12	48
49	мы не	6	47
50	сравнению с	3	46
51	если бы	18	46
52	но не	9	45
53	с другой	5	45
54	по отношению	6	45
55	с тем	6	43
56	как это	5	42
57	тому что	5	42
58	отношению к	4	42
59	не является	5	41
60	по своей	2	40
61	одной стороны	4	40
62	о том	21	40
63	так и	4	39
64	никогда не	5	39
65	с одной	5	39
66	в области	3	38
67	вопрос о	2	37
68	не в	7	37
69	если мы	2	37
70	в этой	7	37
71	и к	4	37
72	мы видим	2	37
73	в своем	9	36
74	с самого	5	36
75	и его	10	36
76	самого начала	5	36
77	как в	4	36
78	а не	5	36
79	того же	9	35
80	друг с	3	35
81	с другом	3	35
82	можно было	3	35
83	он не	11	35
84	в которой	6	35
85	в себе	4	35
86	и как	3	34
87	связи с	5	34
88	приводит к	4	34
89	при этом	11	33
90	прежде всего	7	33
91	что и	12	32
92	по своему	3	32
93	же самое	3	32
94	но в	7	32
95	той же	2	32
96	и тем	4	32
97	и на	6	32
98	из того	3	31
99	все же	9	31
100	этом отношении	2	30
101	на то	3	30
102	между тем	6	29
103	могут быть	3	29
104	от того	2	29
105	с этим	5	28
106	самом деле	13	28
107	что с	4	28
108	в своей	6	27
109	только что	11	27
110	с этой	5	27
111	в результате	2	27
112	в то	14	27
113	этом случае	2	27
114	другой стороны	2	27
115	и с	5	27
116	в их	5	26
117	в частности	4	26
118	все это	7	25
119	еще не	10	25
120	уже в	3	25
121	что она	10	25
122	это не	3	25
123	в чем	7	25
124	так что	7	24
125	мы знаем	2	24
126	тот же	11	24
127	целый ряд	5	24
128	в какой	4	24
129	что эта	2	24
130	в нем	8	24
131	того как	5	24
132	на этот	6	24
133	в высшей	2	24
134	в смысле	2	24
135	как он	5	23
136	состоит в	2	23
137	друг друга	7	23
138	бы в	5	23
139	ни в	14	23
140	этот вопрос	2	23
141	высшей степени	2	22
142	во всяком	3	22
143	отношения между	2	22
144	не могут	2	22
145	столь же	5	22
146	то время	3	22
147	отношение к	7	21
148	на основании	3	21
149	в истории	2	21
150	все время	3	21
151	его в	9	21
152	представление о	2	21
153	к этому	11	21
154	и все	6	21
155	между ними	4	21
156	и ее	3	21
157	не имеет	6	21
158	в котором	6	20
159	в виду	3	20
160	по существу	4	20
161	а в	12	20
162	время как	3	20
163	из них	11	20
164	как раз	9	20
165	в другом	2	20
166	на вопрос	5	20
167	едва ли	16	20
168	на этом	3	20
169	не менее	9	20
170	из этих	2	20
171	с ним	10	19
172	из которых	7	19
173	в той	2	19
174	но если	3	19
175	а с	2	19
176	и по	3	19
177	во всех	4	19
178	один из	6	19
179	в связи	4	19
180	независимо от	4	19
181	приходит к	2	18
182	отличие от	5	18
183	для развития	2	18
184	во всем	2	18
185	чем в	5	18
186	всяком случае	3	18
187	в отличие	3	18
188	для этого	3	17
189	сих пор	12	17
190	и для	7	17
191	все что	6	17
192	в своих	4	17
193	в свою	12	17
194	в одном	3	17
195	и от	3	17
196	и есть	3	17
197	в этих	2	17
198	иначе как	2	17
199	их в	3	17
200	тем же	3	17
201	до конца	4	17
202	я не	4	17
203	у него	10	17
204	до сих	12	17
205	вовсе не	6	16
206	для нас	7	16
207	такой же	2	16
208	между двумя	2	16
209	и даже	6	16
210	в которых	7	16
211	мы имеем	4	16
212	таким же	2	16
213	к мысли	2	15
214	тем более	9	15
215	когда он	5	15
216	том же	2	15
217	по этому	3	15
218	в начале	5	15
219	со всеми	2	15
220	представить себе	2	15
221	хотя бы	5	15
222	как она	2	15
223	ничего не	6	15
224	и это	4	15
225	в них	6	15
226	и во	3	14
227	что для	7	14
228	что у	2	14
229	из этого	2	14
230	в первую	2	14
231	одной из	4	14
232	который в	3	14
233	один и	3	14
234	о чем	11	14
235	свою очередь	10	14
236	об этом	12	14
237	первую очередь	2	14
238	с его	6	14
239	одним из	2	14
240	и здесь	11	14
241	этих двух	2	14
242	она не	3	13
243	на его	5	13
244	но все	5	13
245	и тот	6	13
246	человека и	2	13
247	они не	2	13
248	что между	2	13
249	отнюдь не	5	13
250	к его	4	13
251	если в	4	13
252	стороны и	4	13
253	с другими	2	13
254	и потому	2	12
255	а затем	4	12
256	в ее	3	12
257	в первом	2	12
258	никак не	2	12
259	тем не	3	12
260	даже в	3	12
261	выражение в	3	12
262	несмотря на	7	12
263	в ней	7	12
264	должны были	2	12
265	том чтобы	4	12
266	еще более	4	12
267	ясно что	12	12
268	в одной	2	12
269	к нему	8	12
270	к другому	2	12
271	за пределы	3	12
272	тому же	11	12
273	но он	3	12
274	в конце	14	11
275	одно из	3	11
276	идет о	3	11
277	действия и	2	11
278	с собой	4	11
279	друг другу	3	11
280	ответ на	7	11
