N	3gram	Trubetskoy	Marksizm
1	с точки зрения	8	46
2	не может быть	4	25
3	в самом деле	5	19
4	в то же	2	15
5	по отношению к	11	15
6	то же время	2	15
7	в связи с	3	14
8	в том что	16	14
9	бы то ни	3	12
10	то ни было	3	12
11	в высшей степени	2	12
12	для того чтобы	7	11
13	до сих пор	15	11
14	одного и того	3	9
15	и того же	3	9
16	может быть и	4	8
17	в настоящее время	3	8
18	с другой стороны	4	7
19	в свою очередь	2	7
20	во всяком случае	2	6
21	на самом деле	7	6
22	на то что	7	6
23	с одной стороны	2	6
24	в этом случае	4	5
25	том что он	2	4
26	о том что	4	4
27	но все же	2	4
28	тем не менее	4	3
29	более или менее	8	3
30	в конце концов	4	3
31	друг с другом	9	3
32	между этими двумя	2	3
33	таким образом в	3	2
34	так же как	3	2
35	ничего общего с	2	2
36	в данном случае	3	2
37	несмотря на то	2	2
38	рано или поздно	2	2
39	как и в	2	2
40	а между тем	8	2
41	к тому же	5	2
42	же касается до	2	2
43	друг от друга	6	2
44	а следовательно и	2	2
45	как и все	2	2
46	в нашем случае	2	2
47	и в том	2	2
48	так или иначе	5	2
