N	2gram	Bakhtin_Fr	Tragedij
1	и в	67	18
2	в романе	15	10
3	в году	6	9
4	в этом	27	9
5	не только	23	8
6	и не	23	7
7	и на	12	7
8	как бы	18	7
9	и с	18	7
10	может быть	4	7
11	же время	14	6
12	что он	7	6
13	но в	20	6
14	и его	19	6
15	в образе	9	6
16	у него	4	6
17	это очень	2	5
18	несмотря на	3	5
19	что это	4	5
20	все же	7	5
21	это не	5	5
22	то же	18	5
23	как и	19	5
24	в дальнейшем	2	5
25	так и	14	5
26	не может	9	5
27	в то	17	5
28	что в	14	4
29	еще не	5	4
30	в целом	2	4
31	но и	23	4
32	прежде всего	19	4
33	об этом	5	4
34	том что	13	4
35	в этой	13	4
36	и что	3	4
37	так же	13	4
38	и все	18	4
39	все это	15	4
40	в нем	20	4
41	то что	9	4
42	но это	10	4
43	и даже	6	4
44	в себе	3	4
45	этот образ	5	4
46	один из	6	3
47	своего рода	7	3
48	и как	7	3
49	что образ	4	3
50	к нему	5	3
51	в своем	13	3
52	при этом	5	3
53	в его	17	3
54	эпизод с	2	3
55	все эти	12	3
56	и он	4	3
57	о чем	5	3
58	с ее	7	3
59	и сам	2	3
60	как будто	2	3
61	как в	4	3
62	как это	5	3
63	своего отца	3	3
64	жизнь и	5	3
65	для него	4	3
66	то есть	49	3
67	в конце	12	3
68	с ним	6	3
69	никогда не	6	2
70	в самом	7	2
71	и то	2	2
72	но все	2	2
73	данном случае	4	2
74	по поводу	5	2
75	до конца	2	2
76	с тем	3	2
77	но особенно	2	2
78	тем что	3	2
79	перед нами	6	2
80	в одном	7	2
81	его в	10	2
82	не имеет	4	2
83	ничего не	5	2
84	состоит из	2	2
85	в данном	4	2
86	не могут	3	2
87	в ее	2	2
88	но эта	3	2
89	что все	4	2
90	к тому	4	2
91	а как	3	2
92	о том	8	2
93	что и	8	2
94	ни в	5	2
95	тут же	2	2
96	не в	8	2
97	это был	2	2
98	и здесь	6	2
99	потому что	8	2
100	между этими	3	2
101	было в	2	2
102	в известной	5	2
103	в частности	4	2
104	только о	2	2
105	как у	2	2
106	в таком	2	2
107	он не	9	2
108	и ее	2	2
109	и за	2	2
110	в первом	3	2
111	бы и	2	2
112	из самых	3	2
113	что она	4	2
114	и это	5	2
115	права на	2	2
116	но они	6	2
117	отличие от	3	2
118	из своих	2	2
119	в том	16	2
120	и до	3	2
121	очень важно	2	2
122	не случайно	3	2
123	в отличие	3	2
124	не мог	8	2
125	еще в	3	2
126	он и	6	2
127	с его	11	2
128	он был	8	2
129	времени в	2	2
