N	2gram	Voloshinov	Sovremen
1	не может	8	17
2	точки зрения	8	12
3	может быть	17	12
4	таким образом	9	11
5	мы не	2	9
6	не можем	2	7
7	и в	16	7
8	в этом	9	7
9	и не	4	6
10	как и	2	6
11	мы можем	9	6
12	с точки	6	5
13	все эти	5	5
14	и наконец	4	5
15	прежде всего	9	5
16	нет и	2	4
17	не только	7	4
18	в том	3	4
19	как бы	5	4
20	их в	3	4
21	так как	4	4
22	если мы	2	4
23	в развитии	2	4
24	жизни и	3	4
25	вместе с	3	4
26	а в	3	4
27	с помощью	2	4
28	для нас	2	3
29	и мы	2	3
30	и потому	3	3
31	на этой	3	3
32	но в	4	3
33	с самого	4	3
34	при этом	6	3
35	но мы	4	3
36	было бы	2	3
37	в области	3	3
38	еще не	5	3
39	и все	4	3
40	все это	4	3
41	в нем	4	3
42	между собой	2	3
43	и к	6	3
44	на две	3	3
45	в этой	4	3
46	то же	2	3
47	в одном	3	3
48	самого начала	4	3
49	отнюдь не	4	3
50	может иметь	2	2
51	и по	2	2
52	всяком случае	3	2
53	можно назвать	2	2
54	а на	2	2
55	не менее	2	2
56	не могут	2	2
57	мы видим	2	2
58	в его	4	2
59	с этим	2	2
60	и пр	12	2
61	во всяком	3	2
62	что такое	5	2
63	в науке	2	2
64	из этих	2	2
65	в самом	2	2
66	и есть	3	2
67	знаем что	2	2
68	что в	3	2
69	совершенно не	8	2
70	у него	2	2
71	самом деле	6	2
72	со всеми	2	2
73	могут быть	3	2
74	в один	4	2
75	на этом	3	2
76	как мы	4	2
77	говорить о	2	2
78	мы знаем	3	2
79	что это	2	2
80	и даже	4	2
