N	2gram	Losev_Prob	NovoeSre
1	а не	21	17
2	и в	64	16
3	не может	18	16
4	совсем не	9	12
5	и не	63	11
6	и есть	7	10
7	что в	21	9
8	в том	19	8
9	он не	5	8
10	не будет	11	7
11	может быть	29	7
12	как и	7	7
13	в этом	30	7
14	это есть	10	7
15	никогда не	8	6
16	лишь в	4	6
17	ни в	13	6
18	не в	6	6
19	не знает	4	6
20	но это	11	6
21	с его	3	6
22	не только	37	5
23	в жизни	3	5
24	все это	11	5
25	в нем	14	5
26	и к	2	5
27	не во	3	4
28	должно быть	3	4
29	по своему	14	4
30	в них	8	4
31	xix и	3	4
32	и для	10	4
33	не имеет	8	4
34	прежде всего	17	4
35	не менее	26	4
36	не было	7	4
37	и потому	3	4
38	перестает быть	3	4
39	то что	72	4
40	о том	25	4
41	это не	7	4
42	потому что	24	4
43	и все	9	4
44	большую роль	2	4
45	значит что	6	4
46	смысле слова	11	3
47	тому как	3	3
48	но и	23	3
49	подобно тому	2	3
50	с другой	8	3
51	не значит	4	3
52	в ее	3	3
53	она не	5	3
54	к тому	5	3
55	и пр	4	3
56	что такое	23	3
57	в своей	8	3
58	еще не	18	3
59	в истории	6	3
60	перейти к	4	3
61	должна быть	2	3
62	как в	5	3
63	конечно не	3	3
64	не есть	49	3
65	за пределы	6	3
66	сказать что	33	3
67	во всех	9	3
68	вопрос о	4	3
69	это было	3	3
70	не существует	12	3
71	в основе	4	3
72	с тем	6	3
73	время как	2	2
74	в себе	16	2
75	и должно	2	2
76	что она	8	2
77	как будто	6	2
78	все они	2	2
79	и с	12	2
80	одна из	4	2
81	для этого	5	2
82	но не	13	2
83	нет и	5	2
84	что все	9	2
85	думать что	2	2
86	и от	3	2
87	и начала	2	2
88	роль в	2	2
89	будет и	2	2
90	того чтобы	10	2
91	и это	13	2
92	хотя бы	15	2
93	и заключается	2	2
94	когда мы	10	2
95	и весь	4	2
96	же как	2	2
97	а в	7	2
98	все время	3	2
99	но в	19	2
100	том что	26	2
101	и на	11	2
102	с этим	7	2
103	есть в	9	2
104	и что	21	2
105	ли это	2	2
106	все эти	15	2
107	мы не	6	2
108	в смысле	2	2
109	не имеют	6	2
110	можно было	8	2
111	ни одна	2	2
112	времени в	2	2
113	не знал	5	2
114	от всякого	2	2
115	уже не	9	2
116	по существу	2	2
117	для чего	2	2
118	как это	7	2
119	другой стороны	7	2
120	так же	12	2
121	так и	17	2
122	помнить что	3	2
123	такого рода	20	2
124	могут быть	2	2
125	но для	3	2
126	одной стороны	4	2
127	но она	3	2
128	если нет	2	2
129	в то	7	2
130	хотя и	8	2
131	мысли и	2	2
132	мы говорим	3	2
133	этом смысле	8	2
134	с одной	4	2
135	место в	2	2
136	и даже	19	2
137	ведь и	2	2
138	вместе с	4	2
