N	2gram	Bakhtin_sl	formyVre
1	и в	69	148
2	в этом	21	73
3	то есть	46	70
4	в романе	64	58
5	в нем	44	51
6	прежде всего	14	46
7	и т	56	40
8	и не	32	37
9	в его	19	36
10	и его	45	36
11	вовсе не	16	35
12	но и	37	33
13	то же	17	32
14	т п	49	32
15	не только	37	32
16	но в	13	31
17	жизни и	5	31
18	так и	22	29
19	может быть	40	27
20	не в	14	26
21	как мы	15	26
22	у рабле	3	25
23	как и	8	25
24	как бы	16	25
25	мы уже	4	24
26	точки зрения	24	24
27	в то	17	23
28	человека в	5	23
29	только в	9	23
30	то что	2	22
31	в том	7	22
32	жизни в	2	21
33	все эти	15	21
34	связи с	4	21
35	во всех	25	21
36	же время	15	21
37	в основном	7	19
38	в своем	9	19
39	и др	17	19
40	и для	7	19
41	и на	17	19
42	у него	5	18
43	и все	9	18
44	по существу	3	18
45	еще не	9	18
46	таким образом	16	18
47	человека и	3	17
48	с этим	5	17
49	те же	3	17
50	при этом	12	17
51	так как	7	17
52	в особенности	10	17
53	в пределах	27	17
54	все же	10	16
55	того же	7	16
56	и во	3	16
57	в связи	2	16
58	в основе	8	16
59	не может	27	16
60	в условиях	3	16
61	и их	6	16
62	никогда не	9	15
63	в разных	3	15
64	в них	11	15
65	лишь в	6	15
66	так сказать	11	15
67	в одном	4	15
68	с точки	11	15
69	с его	8	15
70	вместе с	3	15
71	так же	2	14
72	все это	14	14
73	всех этих	8	14
74	и как	3	14
75	и с	10	14
76	как раз	3	14
77	истории романа	2	14
78	а не	29	14
79	роль в	4	13
80	в их	6	13
81	в частности	3	13
82	а в	10	13
83	с другом	2	13
84	здесь в	6	13
85	же в	2	13
86	друг с	2	13
87	для того	2	13
88	как в	18	13
89	в котором	2	13
90	в самом	6	13
91	с ним	12	13
92	ничего не	5	12
93	в истории	6	12
94	не было	4	12
95	и до	2	12
96	конечно не	7	12
97	и наконец	9	12
98	но не	7	12
99	потому что	2	12
100	он не	5	12
101	что в	3	12
102	его в	7	11
103	романе в	6	11
104	и у	2	11
105	между ними	2	11
106	в ней	7	11
107	хотя и	4	11
108	ни в	4	11
109	романа в	5	11
110	из них	3	11
111	уже в	2	11
112	мира и	4	11
113	влияние на	3	10
114	и проч	4	10
115	здесь не	6	10
116	в ее	2	10
117	кроме того	6	10
118	и другие	3	10
119	сих пор	4	10
120	также и	5	10
121	входит в	8	10
122	уже не	5	10
123	в большинстве	16	10
124	до сих	4	10
125	могут быть	25	9
126	и других	5	9
127	в других	4	9
128	и следовательно	8	9
129	том что	6	9
130	должно быть	3	9
131	и даже	11	9
132	мира в	2	9
133	с другой	8	9
134	на протяжении	3	9
135	для него	8	9
136	но все	2	9
137	оно не	12	9
138	отношения к	3	9
139	до конца	25	8
140	это не	8	8
141	или иной	13	8
142	и потому	9	8
143	к тому	3	8
144	отношение к	8	8
145	все его	4	8
146	в целом	3	8
147	в роман	22	8
148	большинстве случаев	11	8
149	романе и	2	8
150	один из	9	8
151	что и	2	8
152	во всяком	9	8
153	и то	2	8
154	а также	5	8
155	характер и	2	8
156	время как	2	8
157	но эти	3	8
158	в результате	4	8
159	и по	3	8
160	героя и	5	8
161	в этих	8	8
162	со всеми	3	8
163	отношению к	2	8
164	с одной	7	8
165	значение в	2	8
166	связанные с	7	8
167	рядом с	7	8
168	и к	9	8
169	в некоторых	3	8
170	в виду	2	8
171	на фоне	11	8
172	жизни но	2	8
173	на античной	3	7
174	для всех	2	7
175	в процессе	14	7
176	в себе	3	7
177	не как	4	7
178	связанных с	4	7
179	том же	4	7
180	у них	2	7
181	отличие от	13	7
182	не знает	3	7
183	того что	4	7
184	широком смысле	3	7
185	между собой	3	7
186	в той	13	7
187	место в	2	7
188	было бы	3	7
189	себя и	2	7
190	например в	6	7
191	этого типа	2	7
192	к этому	3	7
193	из этих	3	7
194	в которой	4	7
195	поэтому и	7	7
196	с ее	6	7
197	т д	7	7
198	этом отношении	2	7
199	героев и	2	7
200	не могло	3	7
201	к ним	2	7
202	в отличие	12	7
203	еще более	7	7
204	то время	2	7
205	в романах	3	7
206	в форме	3	7
207	в себя	3	7
208	но он	4	7
209	в широком	3	6
210	все они	9	6
211	в отношении	9	6
212	не могут	7	6
213	и ее	3	6
214	есть не	2	6
215	но эта	2	6
216	а как	3	6
217	здесь как	3	6
218	роман в	4	6
219	одной из	4	6
220	более того	5	6
221	ту же	5	6
222	одной стороны	7	6
223	античной почве	4	6
224	xviii века	3	6
225	уже сказали	3	6
226	мы видим	2	6
227	характерно что	3	6
228	в качестве	4	6
229	громадное значение	2	6
230	входят в	3	6
231	сказать что	4	6
232	только и	3	6
233	особенно в	3	6
234	за пределы	6	6
235	мы не	4	6
236	и самое	3	6
237	в сущности	18	6
238	не является	3	6
239	смысле слова	2	6
240	романе как	2	6
241	автора и	6	6
242	о том	5	6
243	именно в	5	6
244	время и	3	6
245	бы ни	3	6
246	романа как	2	6
247	в таком	5	6
248	слова и	21	6
249	и речи	4	6
250	с помощью	5	6
251	следовательно и	4	5
252	стороны и	3	5
253	и вообще	2	5
254	по своей	2	5
255	произведения и	2	5
256	был бы	2	5
257	только на	3	5
258	так что	2	5
259	например у	3	5
