N	3gram	Propp_Russ	Myshleni
1	в том что	27	133
2	с точки зрения	3	89
3	для того чтобы	6	78
4	так же как	5	39
5	можно было бы	2	28
6	в этом случае	9	27
7	вместе с тем	10	26
8	о том что	6	25
9	на то что	2	25
10	к тому что	4	22
11	в то время	3	22
12	в отличие от	4	18
13	состоит в том	16	18
14	в связи с	4	17
15	же как и	3	17
16	в данном случае	7	15
17	в свою очередь	2	14
18	к выводу что	3	14
19	подобно тому как	3	14
20	потому что он	2	14
21	тем не менее	3	12
22	в том чтобы	2	12
23	мы не можем	5	11
24	как мы уже	2	11
25	только тогда когда	3	11
26	том что в	7	11
27	но вместе с	3	10
28	друг к другу	2	9
29	приводит нас к	3	9
30	с таким же	2	8
31	с тем и	3	7
32	по этому поводу	3	7
33	не что иное	3	6
34	что иное как	3	6
35	но все же	2	5
36	так как это	2	5
37	и в этом	2	5
38	что в этом	2	5
39	как мы увидим	5	5
40	так как в	2	5
41	после того как	3	4
42	в тех случаях	2	4
43	приводят нас к	2	4
44	мы должны будем	2	4
45	в какой степени	3	4
46	тех случаях когда	2	4
47	совершенно очевидно что	2	3
48	они представляют собой	2	3
49	и потому что	2	3
50	в настоящее время	3	3
51	до того как	2	3
52	один из них	3	3
53	так как они	2	3
54	том что это	2	2
55	состояла в том	3	2
56	все же не	2	2
57	к этому же	3	2
58	и в некоторых	2	2
59	но тем не	2	2
60	мы увидим ниже	2	2
61	в большинстве случаев	2	2
62	здесь мы имеем	2	2
63	на самом же	2	2
64	самом же деле	2	2
65	как это имеет	3	2
66	это имеет место	3	2
67	не только у	2	2
68	не только по	2	2
