N	2gram	Berdyaev_O	VeschiIm
1	т е	4	81
2	не есть	2	79
3	и не	13	57
4	не только	11	48
5	то что	5	48
6	не может	4	46
7	и в	19	45
8	и есть	3	40
9	может быть	11	39
10	а не	11	37
11	потому что	9	25
12	было бы	3	24
13	в себе	3	23
14	по себе	2	23
15	сказать что	2	22
16	как бы	3	20
17	и ее	3	19
18	но и	13	19
19	что же	2	19
20	все же	2	18
21	в этом	12	18
22	прежде всего	9	17
23	так как	2	17
24	того что	3	16
25	в том	5	15
26	как и	6	15
27	не в	11	14
28	и то	2	14
29	том что	2	13
30	и для	2	13
31	в самом	5	13
32	ничего не	2	12
33	что в	4	12
34	что и	2	12
35	что они	2	12
36	еще не	3	12
37	о том	3	12
38	и с	2	12
39	что не	4	11
40	это не	3	9
41	так что	2	9
42	в своем	2	9
43	должно быть	2	9
44	хотя бы	3	9
45	ни с	7	9
46	и его	4	9
47	с ним	3	9
48	его в	2	8
49	и потому	2	8
50	что он	3	8
51	но в	2	8
52	в ее	2	8
53	все это	6	8
54	только и	4	8
55	с тем	2	8
56	что есть	2	8
57	для него	5	8
58	с чем	2	7
59	рационализма и	2	7
60	а в	5	7
61	можно ли	2	7
62	все эти	4	7
63	тем что	2	7
64	никогда не	9	6
65	вопрос о	10	6
66	и все	10	6
67	в нем	10	6
68	для всякого	2	6
69	в своей	2	6
70	момент в	2	6
71	как к	2	5
72	даже и	2	5
73	всегда есть	4	5
74	в его	7	5
75	хотя и	2	5
76	же это	2	5
77	в которой	2	5
78	мысли и	3	5
79	что у	2	5
80	что для	2	5
81	все что	3	5
82	отношение к	5	4
83	так и	2	4
84	что все	2	4
85	в этой	5	4
86	того чтобы	4	4
87	не было	9	4
88	и от	3	4
89	к ней	2	4
90	и вот	3	4
91	во имя	3	4
92	и о	2	4
93	он не	7	4
94	о которой	2	4
95	для человека	2	3
96	человека и	10	3
97	в другом	2	3
98	и ни	2	3
99	ли сказать	2	3
100	к нему	3	3
101	с которой	2	3
102	быть может	3	3
103	различие между	3	3
104	в истории	2	3
105	все еще	2	3
106	не все	2	3
107	и нет	2	3
108	жизни в	2	3
109	для того	3	3
110	у него	22	3
111	не имеет	2	3
112	в своих	3	3
113	в самой	9	3
114	но он	7	3
115	всякий кто	2	2
116	одно из	2	2
117	совсем не	2	2
118	уже в	2	2
119	нет ничего	7	2
120	в россии	5	2
121	к этому	2	2
122	нем нет	3	2
123	это было	3	2
124	человека в	11	2
125	ничто не	2	2
126	есть лишь	4	2
127	когда он	3	2
128	и к	2	2
129	и на	2	2
130	самое главное	2	2
131	он сам	4	2
132	только одно	3	2
133	учение о	2	2
134	с его	4	2
