N	2gram	Propp_Isto	Sotsiolo
1	все это	4	7
2	в том	13	5
3	в этом	20	5
4	для нас	6	3
5	не только	17	3
6	в его	16	3
7	не в	11	3
8	и в	44	3
9	это и	3	2
10	должна быть	3	2
11	отношению к	2	2
12	по отношению	2	2
13	еще не	16	2
14	только в	8	2
15	что в	18	2
16	в частности	9	2
17	том что	12	2
18	было бы	2	2
19	таким образом	21	2
20	то же	9	2
21	как будто	2	2
22	и что	13	2
23	как только	2	2
24	то что	16	2
25	как бы	4	2
26	но и	16	2
27	главным образом	2	2
28	очевидно что	3	2
29	и мы	3	2
30	может быть	31	2
31	по существу	2	2
