N	3gram	Propp_Russ	Problema
1	тем не менее	3	56
2	о том что	6	39
3	в том что	27	37
4	и т д	12	33
5	в настоящее время	3	30
6	в связи с	4	29
7	в данном случае	7	28
8	с точки зрения	3	25
9	на то что	2	19
10	для того чтобы	6	17
11	не что иное	3	14
12	в этом случае	9	14
13	что иное как	3	14
14	можно было бы	2	13
15	в то время	3	12
16	и в этом	2	12
17	вместе с тем	10	10
18	может быть и	3	9
19	по этому поводу	3	9
20	только тогда когда	3	8
21	потому что он	2	8
22	на самом же	2	8
23	самом же деле	2	8
24	мы не будем	4	8
25	иметь в виду	2	7
26	для нас не	2	7
27	и в других	7	6
28	же как и	3	5
29	так же как	5	5
30	не значит что	2	4
31	и потому что	2	4
32	все же не	2	4
33	в это время	3	4
34	но все же	2	4
35	друг к другу	2	4
36	подобно тому как	3	4
37	как мы уже	2	4
38	в том чтобы	2	4
39	в тех случаях	2	3
40	после того как	3	3
41	к тому что	4	3
42	но это не	3	3
43	к выводу что	3	3
44	мы увидим ниже	2	3
45	здесь мы имеем	2	3
46	это не значит	2	3
47	бросается в глаза	3	3
48	как мы увидим	5	3
49	в отличие от	4	3
50	тех случаях когда	2	3
51	том что в	7	3
52	так как они	2	3
53	не будем здесь	2	2
54	том что это	2	2
55	в других случаях	2	2
56	ничего общего не	2	2
57	и в том	2	2
58	в свою очередь	2	2
59	и многие другие	2	2
60	мы не можем	5	2
61	но тем не	2	2
62	один из них	3	2
63	в советской науке	2	2
64	что в этом	2	2
65	ни одна из	2	2
