N	2gram	Tiupa_Narr	SlovoVZh
1	не может	10	16
2	точки зрения	10	14
3	может быть	25	14
4	и его	5	13
5	как бы	4	13
6	и в	19	12
7	отношению к	6	11
8	по отношению	7	11
9	и не	20	10
10	прежде всего	4	8
11	сказать что	4	7
12	при этом	9	6
13	в том	18	6
14	в нем	4	6
15	только в	4	6
16	к содержанию	3	6
17	в ней	3	6
18	никогда не	3	5
19	как в	7	5
20	что мы	2	5
21	можно сказать	5	5
22	но в	6	5
23	том что	14	5
24	то же	4	5
25	как и	7	5
26	героя и	4	5
27	должна быть	2	5
28	хотя бы	4	5
29	а не	12	5
30	то что	11	5
31	и др	2	5
32	отнюдь не	5	5
33	в этом	17	4
34	не только	32	4
35	в литературе	2	4
36	что не	4	4
37	его в	2	4
38	жизни и	3	4
39	не в	14	4
40	ни было	3	4
41	с другой	8	4
42	все же	7	4
43	к нему	5	4
44	так и	9	4
45	и на	3	4
46	уже не	5	4
47	отношение к	2	4
48	как к	2	3
49	по себе	5	3
50	о том	6	3
51	и для	2	3
52	да и	4	3
53	ни в	3	3
54	все эти	2	3
55	бы то	3	3
56	то ни	3	3
57	так же	2	3
58	точка зрения	6	3
59	в себе	8	3
60	нуждается в	5	3
61	еще не	7	3
62	здесь не	4	3
63	когда он	3	3
64	и ее	2	3
65	между тем	3	3
66	и с	4	3
67	этой точки	2	3
68	точек зрения	2	3
69	не менее	3	3
70	в пределах	2	3
71	самом деле	2	3
72	того что	2	3
73	тем не	3	3
74	но и	23	3
75	для него	2	3
76	в особенности	4	2
77	в его	9	2
78	данном случае	4	2
79	имеет место	4	2
80	что в	3	2
81	не есть	3	2
82	ничего не	2	2
83	с его	6	2
84	это не	2	2
85	и все	2	2
86	с точки	2	2
87	от всех	2	2
88	она не	2	2
89	но все	4	2
90	тому же	5	2
91	в своем	2	2
92	дело с	2	2
93	бы не	2	2
94	в данном	5	2
95	жизнью и	2	2
96	независимо от	2	2
97	зависит от	2	2
98	высказывания и	3	2
99	мы имеем	2	2
100	форма высказывания	2	2
101	в то	3	2
102	себя и	2	2
103	те же	4	2
104	уже в	3	2
105	одной стороны	7	2
106	он не	3	2
107	в какой	2	2
108	точку зрения	4	2
109	и потому	2	2
110	его как	2	2
111	оно не	2	2
112	но не	6	2
113	как это	6	2
114	в себя	6	2
115	могут быть	3	2
116	между собой	2	2
117	в форме	5	2
118	с одной	7	2
119	между ними	2	2
120	другой стороны	4	2
121	на него	3	2
