N	2gram	Ircho_Kome	Hudozhes
1	в качестве	4	31
2	в мире	2	24
3	и в	37	23
4	не только	13	20
5	состоит в	2	20
6	в том	24	20
7	может быть	14	19
8	при этом	11	19
9	в частности	4	18
10	и не	28	16
11	но и	18	14
12	а в	12	13
13	в себе	4	13
14	но не	9	13
15	а не	5	13
16	то же	14	12
17	такого рода	2	12
18	в этом	18	12
19	и его	10	12
20	так и	4	12
21	как бы	7	11
22	точки зрения	8	11
23	представляет собой	5	11
24	в его	12	11
25	но в	7	10
26	по отношению	6	10
27	отношению к	4	10
28	не в	7	9
29	том что	22	9
30	не может	9	9
31	с другой	5	9
32	в то	14	8
33	себя в	3	8
34	в области	3	8
35	в самом	17	7
36	по своей	2	7
37	отношение к	7	7
38	я и	2	7
39	в своей	6	7
40	только в	3	7
41	же время	12	7
42	как это	5	7
43	что в	11	7
44	отличие от	5	7
45	в отличие	3	7
46	в основе	3	7
47	не столько	3	7
48	всего лишь	2	6
49	более или	2	6
50	мы имеем	4	6
51	другой стороны	2	6
52	приводит к	4	6
53	а также	3	6
54	в нем	8	6
55	в ее	3	6
56	с его	6	6
57	или менее	2	6
58	ни в	14	5
59	с другими	2	5
60	или иначе	3	5
61	конечном счете	3	5
62	могут быть	3	5
63	в конечном	2	5
64	между ними	4	5
65	как к	3	5
66	для того	9	5
67	того чтобы	9	5
68	в виду	3	5
69	а на	3	5
70	со стороны	16	5
71	в их	5	5
72	не является	5	5
73	что он	15	5
74	не на	3	5
75	то что	5	5
76	не менее	9	5
77	прежде всего	7	5
78	сказать что	4	4
79	в отношении	4	4
80	его в	9	4
81	далеко не	3	4
82	это не	3	4
83	к тому	11	4
84	аналогичным образом	2	4
85	между тем	6	4
86	во втором	2	4
87	в другом	2	4
88	не знает	7	4
89	однако в	5	4
90	в силу	2	4
91	и как	3	4
92	еще не	10	4
93	и тем	4	4
94	и что	8	4
95	говорить о	6	4
96	в этих	2	4
97	он не	11	4
98	не следует	2	4
99	и о	3	4
100	отношения к	2	4
101	например в	3	4
102	в своем	9	4
103	хотя и	6	4
104	со своей	2	4
105	так или	3	4
106	даже в	3	3
107	от себя	2	3
108	к нему	8	3
109	и для	7	3
110	по своему	3	3
111	и ее	3	3
112	не случайно	3	3
113	за пределами	3	3
114	как и	10	3
115	того же	9	3
116	их в	3	3
117	потому что	19	3
118	о чем	11	3
119	одной стороны	4	3
120	том числе	2	3
121	в целом	4	3
122	имеем в	2	3
123	к его	4	3
124	в свою	12	3
125	и к	4	3
126	во всех	4	3
127	человека с	2	3
128	тем не	3	3
129	из этих	2	3
130	связи с	5	3
131	и на	6	3
132	если бы	18	3
133	в той	2	3
134	не будет	2	3
135	как раз	9	3
136	с точки	6	3
137	себя и	2	3
138	с этой	5	3
139	в связи	4	3
140	таким образом	16	3
141	в таком	2	3
142	и сам	11	3
143	в которой	6	3
144	никто не	2	3
145	была бы	2	3
146	в пределах	3	3
147	в одном	3	3
148	с одной	5	3
149	перед лицом	2	3
150	известной степени	2	3
151	но он	3	3
152	никогда не	5	2
153	о том	21	2
154	одной из	4	2
155	для понимания	3	2
156	как в	4	2
157	я на	2	2
158	чтобы не	3	2
159	одно из	3	2
160	и это	4	2
161	еще один	2	2
162	тому что	5	2
163	и потому	2	2
164	а для	2	2
165	при всем	5	2
166	идет о	3	2
167	могло быть	2	2
168	столь же	5	2
169	в чем	7	2
170	либо в	4	2
171	со временем	5	2
172	тем более	9	2
173	времени в	2	2
174	не всегда	2	2
175	человека и	2	2
176	ни был	2	2
177	времени и	2	2
178	образом и	2	2
179	что она	10	2
180	должен быть	2	2
181	за пределы	3	2
182	дело не	2	2
183	в отсутствие	4	2
184	не как	2	2
185	в глаза	3	2
186	дома и	3	2
187	так же	8	2
188	об этом	12	2
189	может служить	2	2
190	свою очередь	10	2
191	из которых	7	2
192	и по	3	2
193	между собой	5	2
194	он и	5	2
195	я не	4	2
196	отнюдь не	5	2
197	один из	6	2
198	в них	6	2
199	речь идет	5	2
200	несмотря на	7	2
201	в комедии	22	2
202	роль в	3	2
203	на этом	3	2
204	все это	7	2
205	к другому	2	2
206	между двумя	2	2
207	бы не	3	2
208	о его	4	2
209	из этого	2	2
210	числе и	2	2
211	что и	12	2
212	то ни	4	2
213	от своего	2	2
214	ни одно	3	2
215	ни было	3	2
216	и особенно	2	2
217	одним из	2	2
218	и может	2	2
219	к своему	4	2
220	текста не	2	2
221	нового времени	5	2
222	в случае	2	2
223	а затем	4	2
224	самом деле	13	2
225	в этой	7	2
226	а с	2	2
227	с ним	10	2
228	который в	3	2
229	для обозначения	2	2
230	этих двух	2	2
231	в какой	4	2
232	вовсе не	6	2
233	если мы	2	2
234	основе своей	2	2
235	у него	10	2
236	бы то	3	2
237	не с	2	2
238	при всей	2	2
239	здесь не	2	2
