N	3gram	Tiupa_Lite	Istorich
1	с другой стороны	5	46
2	в этом случае	2	29
3	с одной стороны	8	28
4	в том что	15	25
5	не может быть	5	24
6	тем не менее	4	23
7	о том что	3	22
8	не только в	4	19
9	в связи с	4	17
10	в данном случае	6	15
11	по отношению к	4	14
12	можно было бы	2	10
13	подобно тому как	4	8
14	и то что	2	8
15	во всяком случае	2	7
16	этой точки зрения	3	6
17	с этой точки	3	6
18	в том числе	2	5
19	в отличие от	6	5
20	состоит в том	8	4
21	с точки зрения	4	4
22	так или иначе	8	4
23	только то что	2	4
24	дело в том	2	3
25	не могло быть	2	3
26	дело не только	2	3
27	в соответствии с	2	3
28	за то что	2	3
29	и тем самым	2	3
30	ничего общего с	2	2
31	в себя и	2	2
32	может быть это	4	2
33	и прежде всего	4	2
34	из того что	2	2
35	тем что в	2	2
36	и т п	2	2
37	только в том	2	2
38	при всей своей	2	2
39	в свою очередь	2	2
40	мы имеем дело	2	2
