N	3gram	Bakhtin_sl	EvropaiC
1	в том что	4	16
2	до сих пор	4	15
3	по отношению к	2	11
4	друг с другом	2	9
5	более или менее	5	8
6	а между тем	2	8
7	с точки зрения	11	8
8	сих пор не	2	5
9	которых мы говорили	2	4
10	тем не менее	2	4
11	с другой стороны	5	4
12	в этом случае	4	4
13	в каждый данный	5	4
14	может быть и	2	4
15	о том что	2	4
16	о которых мы	2	4
17	не может быть	11	4
18	в данном случае	3	3
19	каждый данный момент	4	3
20	таким образом в	4	3
21	в связи с	2	3
22	не может не	5	3
23	с одной стороны	7	2
24	во всяком случае	7	2
25	и в том	2	2
26	в том и	2	2
27	в то время	2	2
28	во всех этих	2	2
29	рано или поздно	2	2
30	то же время	15	2
31	как и в	2	2
32	в то же	15	2
33	а следовательно и	2	2
34	в свою очередь	3	2
35	лишь тогда когда	2	2
