N	3gram	Nazirov_Tv	Psycholo
1	в том что	8	78
2	в самом деле	2	51
3	и т п	4	37
4	о том что	6	34
5	не может быть	2	23
6	и т д	10	22
7	с другой стороны	2	20
8	на самом деле	2	17
9	с самого начала	3	16
10	во всяком случае	2	14
11	в конечном счете	4	11
12	сами по себе	2	10
13	в данном случае	2	9
14	в отличие от	2	9
15	точно так же	3	9
16	на этот вопрос	2	7
17	в свою очередь	2	7
18	можно сказать что	2	7
19	та же самая	2	7
20	как и в	2	7
21	тем не менее	2	6
22	и та же	2	6
23	не только в	2	6
24	что у него	2	6
25	в таком случае	2	5
26	не значит что	2	4
27	мы уже говорили	2	4
28	и не может	2	4
29	том что в	3	4
30	что все это	3	3
31	не могут быть	2	3
32	в то же	19	3
33	по отношению к	3	3
34	то же время	18	3
35	едва ли не	2	3
36	дело в том	4	3
37	в наше время	4	3
38	то есть не	2	2
39	так и в	2	2
40	в этом романе	2	2
41	и все же	3	2
42	при этом он	2	2
43	в связи с	2	2
44	в одном из	2	2
45	по крайней мере	4	2
46	не означает что	2	2
47	а может быть	2	2
48	не так как	2	2
