N	2gram	Kanaev_Sov	slovoVRo
1	и в	7	92
2	в нем	3	59
3	может быть	12	59
4	и не	6	51
5	не только	4	44
6	не может	17	41
7	в этом	7	36
8	а не	3	34
9	точки зрения	12	30
10	могут быть	2	29
11	в его	2	27
12	все это	3	25
13	как бы	4	24
14	то же	3	23
15	не в	3	21
16	прежде всего	5	19
17	как мы	2	19
18	или иной	2	18
19	как и	6	18
20	все же	3	17
21	все эти	5	17
22	и даже	2	17
23	таким образом	11	17
24	отличие от	2	16
25	при этом	3	16
26	но в	3	16
27	с точки	5	15
28	в отличие	2	14
29	так сказать	2	14
30	это не	4	13
31	и потому	3	12
32	а в	4	12
33	во всяком	2	12
34	и наконец	5	12
35	еще не	3	12
36	и к	3	12
37	на его	2	11
38	с одной	2	11
39	в том	4	10
40	и все	3	10
41	в себе	3	10
42	уже не	2	10
43	может не	3	10
44	одна из	3	9
45	так как	4	9
46	быть и	2	9
47	не могут	2	8
48	в зависимости	4	8
49	с этим	2	8
50	зависимости от	4	8
51	в самом	2	8
52	для нас	3	8
53	всяком случае	2	8
54	в целом	4	7
55	у него	2	7
56	но все	2	7
57	еще более	2	7
58	жизни и	4	7
59	в таком	2	7
60	ничего не	6	6
61	роль в	2	6
62	на этом	2	6
63	точку зрения	4	6
64	что в	2	6
65	говорить о	2	6
66	он в	3	6
67	в свою	2	6
68	в одном	3	6
69	в каждом	8	5
70	не менее	2	5
71	своего предмета	2	5
72	мы не	9	5
73	и по	2	5
74	в результате	6	5
75	в дальнейшем	4	5
76	той же	2	5
77	уже в	3	5
78	с помощью	4	5
79	вместе с	4	5
80	а на	2	4
81	он должен	2	4
82	свою очередь	2	4
83	в виде	2	4
84	может иметь	2	4
85	мы видели	4	4
86	с другом	2	4
87	и во	2	4
88	из одного	2	4
89	в которой	2	4
90	в условиях	5	4
91	со всеми	2	4
92	друг с	2	4
93	значение в	2	4
94	он может	3	4
95	из них	4	4
96	в некоторых	2	4
97	в системе	3	4
98	у каждого	3	3
99	такого рода	2	3
100	на котором	2	3
101	между собой	3	3
102	было бы	3	3
103	в первом	3	3
104	и они	2	3
105	конечно в	2	3
106	из этих	2	3
107	необходимо отметить	2	3
108	отличается от	3	3
109	такой же	2	3
110	в этой	3	3
111	если мы	4	3
112	не знаем	2	3
113	но мы	3	2
114	она может	2	2
115	и есть	2	2
116	как он	3	2
117	в один	2	2
118	самого начала	3	2
119	что все	2	2
120	с самого	3	2
121	для развития	2	2
122	мы видим	2	2
123	то и	2	2
124	и что	2	2
125	что она	3	2
126	при таком	3	2
127	в области	3	2
128	в новых	2	2
129	тот или	2	2
130	тем не	2	2
131	у нас	3	2
132	совершенно не	2	2
133	мы можем	6	2
134	не можем	7	2
135	как известно	2	2
136	нет и	4	2
137	приводит к	2	2
138	в нашем	2	2
