N	3gram	Trubetskoy	KulturaY
1	для того чтобы	5	38
2	с точки зрения	6	36
3	в том что	3	33
4	во всяком случае	6	19
5	тем не менее	3	19
6	до сих пор	5	14
7	по крайней мере	5	13
8	в связи с	3	12
9	в этом отношении	2	11
10	о том что	4	10
11	вместе с тем	8	9
12	а с другой	5	7
13	с одной стороны	7	7
14	в то же	2	6
15	той или иной	2	6
16	к тому же	4	6
17	этой точки зрения	2	6
18	то же время	2	6
19	но все же	4	5
20	более или менее	5	5
21	то или иное	2	5
22	и в этом	2	5
23	с этой точки	2	5
24	точно так же	3	4
25	и потому что	2	4
26	сих пор еще	2	4
27	так же как	3	4
28	на то что	2	4
29	так или иначе	3	4
30	с тем чтобы	4	3
31	в конце концов	3	3
32	и вместе с	4	3
33	не только для	2	3
34	бы то ни	2	2
35	с течением времени	3	2
36	таким образом в	2	2
37	может быть и	2	2
38	а так как	3	2
39	таким образом если	2	2
40	с того момента	2	2
41	ничего общего с	2	2
42	в том числе	5	2
43	можно сказать что	2	2
44	по сравнению с	2	2
