N	2gram	Bakhtin_KF	VrazhdaK
1	не только	5	9
2	в этом	15	8
3	и в	28	8
4	что в	4	7
5	но и	9	7
6	и все	9	7
7	то что	7	7
8	но в	5	6
9	как и	5	6
10	в котором	24	6
11	в нем	32	6
12	о нем	4	6
13	все же	5	6
14	и не	28	5
15	не было	8	5
16	то же	5	5
17	в то	3	5
18	же время	2	5
19	между тем	4	5
20	для нас	4	4
21	в своих	4	4
22	это не	10	4
23	в виду	3	4
24	все это	10	4
25	при этом	4	4
26	о том	3	4
27	в ней	3	4
28	как бы	9	4
29	что он	2	4
30	с ним	5	4
31	может быть	45	4
32	в том	6	3
33	в чем	4	3
34	его в	5	3
35	в своем	17	3
36	том что	4	3
37	в его	42	3
38	и его	18	3
39	и как	2	3
40	он не	6	3
41	к этому	2	3
42	я не	6	3
43	что есть	2	3
44	с его	2	3
45	тем что	3	3
46	никогда не	5	2
47	и то	2	2
48	уже не	7	2
49	в мире	8	2
50	к ним	4	2
51	место в	6	2
52	в него	2	2
53	для него	13	2
54	и это	12	2
55	с точки	10	2
56	а в	5	2
57	в этой	2	2
58	его с	2	2
59	в своей	11	2
60	но как	5	2
61	в себе	21	2
62	еще не	5	2
63	точки зрения	13	2
64	и ее	2	2
65	меня но	4	2
66	что я	5	2
67	в момент	3	2
68	его и	2	2
69	время и	5	2
70	в свою	3	2
71	рядом с	3	2
72	не может	29	2
73	в это	2	2
74	не менее	3	2
75	его на	2	2
76	но это	6	2
77	ко мне	6	2
78	к себе	2	2
79	меня как	3	2
80	отнюдь не	7	2
81	а с	2	2
82	на основе	7	2
83	этот момент	7	2
84	отношение к	6	2
