N	3gram	Tiupa_Vved	Myslijsy
1	в том что	10	47
2	по отношению к	11	26
3	не может быть	6	19
4	заключает в себе	4	19
5	тем не менее	3	18
6	в свою очередь	5	14
7	то же время	4	13
8	в то же	5	13
9	не в том	3	13
10	во всяком случае	3	12
11	с другой стороны	2	12
12	более или менее	2	12
13	подобно тому как	3	11
14	а в том	3	11
15	с одной стороны	9	10
16	о том что	6	9
17	на то что	2	9
18	но и в	3	9
19	на самом деле	4	8
20	как и в	2	7
21	в том как	2	7
22	не только в	3	7
23	то же самое	2	6
24	может быть не	3	6
25	друг от друга	2	6
26	в данном случае	15	4
27	в противном случае	2	4
28	в этом отношении	7	4
29	в том чтобы	2	4
30	что же касается	2	3
31	тогда как в	2	3
32	можно было бы	2	3
33	на первый взгляд	3	3
34	одной стороны и	3	3
35	и тем самым	2	3
36	и в жизни	2	3
37	но при этом	3	2
38	не зависит от	2	2
39	не было и	2	2
40	друг на друга	2	2
41	как мы видели	3	2
42	при этом не	2	2
43	состоит в том	2	2
44	мы имеем дело	5	2
45	в этих случаях	2	2
46	и стало быть	3	2
