N	2gram	Medvedev_F	VrazhdaK
1	в году	2	18
2	у тургенева	2	11
3	не только	14	9
4	и что	2	8
5	в этом	39	8
6	и в	54	8
7	что в	10	7
8	но и	18	7
9	и все	9	7
10	то что	14	7
11	но в	9	6
12	как и	18	6
13	в котором	2	6
14	в нем	25	6
15	и с	17	6
16	все же	8	6
17	и даже	7	6
18	и не	34	5
19	не было	7	5
20	в россии	4	5
21	то же	16	5
22	в то	14	5
23	же время	13	5
24	между тем	4	5
25	целый ряд	4	4
26	несмотря на	2	4
27	во многом	2	4
28	в своих	3	4
29	это не	4	4
30	в виду	2	4
31	все это	11	4
32	при этом	14	4
33	в ней	15	4
34	как бы	10	4
35	так же	5	4
36	что он	8	4
37	в истории	10	4
38	с ним	3	4
39	может быть	30	4
40	т е	50	3
41	в том	17	3
42	в чем	2	3
43	его в	5	3
44	далеко не	2	3
45	и во	2	3
46	в своем	12	3
47	том что	3	3
48	в его	30	3
49	в связи	11	3
50	и о	3	3
51	и его	27	3
52	и как	6	3
53	в этот	2	3
54	он не	8	3
55	связи с	12	3
56	к этому	3	3
57	но он	2	3
58	чтобы он	2	3
59	на то	2	3
60	в конце	2	3
61	с его	12	3
62	тем что	6	3
63	никогда не	6	2
64	в них	4	2
65	уже не	9	2
66	в мире	4	2
67	а н	3	2
68	одна из	2	2
69	место в	8	2
70	в него	2	2
71	в той	3	2
72	для него	9	2
73	при помощи	2	2
74	и это	4	2
75	в в	2	2
76	с точки	17	2
77	мы знаем	3	2
78	а в	11	2
79	в этой	10	2
80	столь же	2	2
81	его с	5	2
82	в своей	16	2
83	как раз	8	2
84	он пишет	2	2
85	же в	4	2
86	но как	2	2
87	в себе	4	2
88	еще не	6	2
89	точки зрения	21	2
90	же как	3	2
91	таким образом	28	2
92	и ее	15	2
93	его и	2	2
94	отношения к	6	2
95	п в	2	2
96	время и	2	2
97	в свою	8	2
98	так в	3	2
99	их в	2	2
100	в эту	3	2
101	не может	26	2
102	из них	5	2
103	не менее	12	2
104	но это	4	2
105	отнюдь не	13	2
106	на основе	6	2
107	вместе с	8	2
108	отношение к	4	2
