N	2gram	Propp_Russ	OGranits
1	и в	59	13
2	и его	2	12
3	прежде всего	2	9
4	и не	6	8
5	не может	6	8
6	может быть	14	8
7	в его	3	7
8	и пр	4	7
9	и их	4	7
10	точки зрения	3	7
11	не только	28	6
12	мы должны	3	6
13	как бы	18	6
14	таким образом	10	6
15	только в	4	6
16	то что	10	6
17	все же	7	5
18	с точки	3	5
19	и наконец	2	5
20	мы можем	2	4
21	но в	5	4
22	то же	6	4
23	не является	2	4
24	все это	12	4
25	было бы	3	4
26	в двух	2	4
27	мы не	11	4
28	в каждом	2	4
29	и для	3	3
30	и то	2	3
31	и все	4	3
32	вряд ли	2	3
33	с этим	4	3
34	как и	19	3
35	в пределах	2	3
36	не в	2	3
37	в их	5	3
38	говорить о	2	3
39	ничего общего	3	3
40	так как	25	3
41	что в	35	3
42	г в	5	3
43	так и	8	3
44	в которой	3	3
45	в одном	4	3
46	здесь мы	3	3
47	но и	20	3
48	не столько	3	3
49	могут быть	3	2
50	мы видим	2	2
51	своего рода	3	2
52	в этом	18	2
53	в них	10	2
54	данном случае	8	2
55	в руках	3	2
56	уже в	2	2
57	в том	33	2
58	тем что	7	2
59	несмотря на	4	2
60	в целом	2	2
61	с г	2	2
62	от этого	2	2
63	думать что	3	2
64	не имеет	9	2
65	и др	4	2
66	ее в	7	2
67	там где	3	2
68	а в	16	2
69	том что	33	2
70	а также	6	2
71	в г	6	2
72	и к	3	2
73	в связи	4	2
74	в данном	7	2
75	не менее	3	2
76	и следовательно	2	2
77	с ними	6	2
78	все эти	5	2
79	в области	3	2
80	связанные с	5	2
81	так же	7	2
82	что они	8	2
83	мы уже	2	2
84	и при	2	2
85	с этой	2	2
86	в своих	3	2
87	в нем	3	2
88	не на	2	2
89	в тех	5	2
90	при этом	11	2
91	и ее	3	2
92	что иное	3	2
93	а не	3	2
94	во всей	2	2
95	в ней	3	2
96	на две	3	2
97	входит в	4	2
98	еще в	6	2
99	в течение	7	2
100	как в	10	2
101	во всем	2	2
102	между тем	9	2
103	в целях	4	2
104	связанных с	2	2
105	имеет место	3	2
106	тот же	2	2
107	иное как	3	2
108	не что	3	2
109	ни одно	2	2
110	в ряд	2	2
111	в этот	19	2
112	подойти к	2	2
113	к тому	4	2
