N	3gram	Vinokur_St	Freidism
1	с точки зрения	10	15
2	не может быть	5	14
3	по отношению к	3	11
4	в самом деле	7	10
5	в том что	29	9
6	во всяком случае	8	8
7	в то же	5	6
8	может быть и	2	6
9	то же время	5	6
10	с самого начала	3	5
11	тем не менее	4	4
12	в этом отношении	13	4
13	в данном случае	7	4
14	в зависимости от	2	4
15	на самом деле	7	4
16	на этот вопрос	2	3
17	бы то ни	2	3
18	но в то	2	3
19	о том что	19	3
20	так и в	5	3
21	для того чтобы	13	3
22	до сих пор	12	3
23	что же касается	3	3
24	в применении к	3	2
25	том что он	6	2
26	это прежде всего	2	2
27	к тому что	4	2
28	вовсе не в	2	2
29	то или иное	3	2
30	то обстоятельство что	3	2
31	хотя бы и	2	2
32	заключается в том	4	2
33	в конце концов	2	2
34	с одной стороны	2	2
35	что и в	4	2
36	а также и	2	2
37	в этом смысле	2	2
38	по меньшей мере	3	2
39	он не только	2	2
40	в таком виде	2	2
41	жизни и творчества	2	2
