N	3gram	Trubetskoy	Vvedenie
1	для того чтобы	7	22
2	в том что	16	15
3	о том что	4	13
4	не может быть	4	10
5	тем не менее	4	9
6	с течением времени	4	7
7	до сих пор	15	7
8	в то же	2	6
9	в этом случае	4	6
10	в самом деле	5	6
11	то же время	2	6
12	во всяком случае	2	5
13	с другой стороны	4	5
14	и в том	2	4
15	в данном случае	3	4
16	так или иначе	5	4
17	но все же	2	4
18	с одной стороны	2	4
19	по отношению к	11	4
20	с точки зрения	8	4
21	по сравнению с	5	4
22	вместе с тем	3	3
23	заключается в том	3	3
24	в том виде	2	3
25	и то что	3	3
26	что несмотря на	2	2
27	но вместе с	2	2
28	что же касается	2	2
29	в целом ряде	3	2
30	в конце концов	4	2
31	принять во внимание	2	2
32	и того же	3	2
33	а между тем	8	2
34	одного и того	3	2
35	может быть и	4	2
36	не может служить	2	2
37	в связи с	3	2
38	в свою очередь	2	2
