N	3gram	Bakhtin_Pr	VeschiIm
1	не может быть	11	24
2	то ни было	2	12
3	бы то ни	3	12
4	тем не менее	3	11
5	в том что	3	9
6	в самом деле	3	7
7	с точки зрения	6	6
8	может быть только	3	6
9	в то же	3	5
10	не только в	2	5
11	то же время	3	4
12	можно сказать что	2	3
13	можно было бы	3	3
14	с одной стороны	3	3
15	с другой стороны	4	3
16	и в то	2	3
17	все то что	3	2
18	в применении к	3	2
19	в основе своей	3	2
20	но совершенно не	2	2
21	для того чтобы	2	2
22	в этом отношении	2	2
23	в данном случае	4	2
24	не может и	2	2
25	в этом смысле	3	2
26	и не с	2	2
27	и в частности	2	2
28	мы имеем дело	2	2
