N	2gram	Tiupa_Anal	KulturaY
1	т е	2	102
2	и в	36	84
3	в том	16	74
4	не только	40	60
5	точки зрения	3	59
6	в этом	19	57
7	было бы	6	53
8	и не	14	52
9	может быть	19	47
10	том что	19	44
11	что в	15	44
12	в самом	7	41
13	самом деле	2	37
14	с точки	2	36
15	таким образом	4	33
16	а не	16	33
17	можно было	2	32
18	если бы	2	32
19	не в	9	30
20	прежде всего	7	30
21	в его	12	30
22	все же	6	29
23	того что	4	28
24	не менее	9	28
25	все эти	2	28
26	в силу	2	26
27	уже не	9	26
28	не может	3	25
29	то что	5	25
30	вовсе не	2	25
31	еще не	7	24
32	с другой	10	24
33	так и	19	23
34	то же	7	23
35	только в	9	23
36	тем не	3	21
37	во всяком	6	20
38	но и	26	20
39	по себе	6	20
40	и что	2	20
41	что он	5	19
42	но в	8	19
43	тем что	3	19
44	о том	9	19
45	всяком случае	6	19
46	между тем	8	18
47	все это	5	18
48	в качестве	22	18
49	к тому	10	18
50	с тем	2	18
51	в сущности	5	18
52	как бы	14	18
53	вместе с	3	18
54	это не	4	17
55	как раз	8	17
56	как это	7	17
57	другой стороны	7	17
58	в той	3	17
59	ничего не	3	16
60	что не	3	16
61	что и	10	16
62	тот же	3	16
63	но не	13	16
64	по отношению	9	15
65	и тем	3	15
66	один из	6	15
67	а в	17	15
68	при этом	19	15
69	в данном	12	15
70	лишь в	9	15
71	ни к	3	15
72	том чтобы	2	15
73	именно в	4	15
74	не было	3	15
75	в нашем	4	15
76	в них	4	14
77	хотя и	4	14
78	я не	3	14
79	как мы	4	14
80	сказать что	2	14
81	мы имеем	5	14
82	отношению к	9	14
83	и на	5	14
84	в ней	2	14
85	не могут	2	13
86	это и	4	13
87	крайней мере	5	13
88	что она	3	13
89	по крайней	5	13
90	в пределах	5	13
91	не случайно	13	13
92	в этой	10	13
93	там где	2	13
94	и его	18	13
95	той же	7	13
96	вопроса о	2	12
97	как в	9	12
98	того же	7	12
99	могут быть	4	12
100	этого слова	3	12
101	в рамках	10	12
102	в результате	6	12
103	говорить о	6	12
104	однако не	2	12
105	еще и	4	11
106	в таких	2	11
107	или иной	9	11
108	в их	7	11
109	в своем	7	11
110	те же	3	11
111	из этих	4	11
112	в нем	3	11
113	этом отношении	3	11
114	совершенно не	3	11
115	и здесь	4	11
116	и то	2	11
117	слова в	2	11
118	и если	2	11
119	уже в	5	11
120	он не	9	11
121	тем самым	8	10
122	в то	8	10
123	к этому	3	10
124	со стороны	12	10
125	они не	2	10
126	в общем	4	10
127	как и	27	10
128	речь идет	3	10
129	бы и	2	10
130	тех же	2	10
131	того или	6	10
132	с этим	4	10
133	тем более	3	10
134	несмотря на	2	10
135	в особенности	4	10
136	в первом	2	10
137	на фоне	4	10
138	очевидно что	2	9
139	ли не	5	9
140	в целом	8	9
141	здесь не	8	9
142	и для	4	9
143	в своей	12	9
144	можно сказать	5	9
145	или иного	5	9
146	а также	5	9
147	но это	3	9
148	и вот	2	9
149	слова как	2	9
150	что мы	2	9
151	в частности	19	8
152	мере в	2	8
153	в своих	3	8
154	тех пор	2	8
155	состоит в	14	8
156	что на	3	8
157	в чем	2	8
158	с одной	3	8
159	в тех	2	8
160	что они	3	8
161	с его	15	8
162	своего рода	17	8
163	да и	3	8
164	по преимуществу	3	8
165	и как	5	8
166	об этом	3	8
167	в этих	2	8
168	далеко не	8	8
169	не есть	6	8
170	может служить	2	8
171	отнюдь не	7	8
172	в таком	2	8
173	тому же	7	8
174	же в	5	8
175	в свою	9	7
176	идет о	2	7
177	казалось бы	4	7
178	свою очередь	7	7
179	и потому	3	7
180	не знает	2	7
181	а с	2	7
182	она не	3	7
183	нам не	2	7
184	одной стороны	3	7
185	с ними	2	7
186	например в	2	7
187	когда мы	2	7
188	так сказать	2	7
189	как о	3	7
190	не следует	5	7
191	что касается	5	7
192	есть в	2	7
193	столь же	7	7
194	когда он	2	7
195	с ним	2	7
196	в одном	4	7
197	внимание на	4	7
198	сводится к	5	7
199	в слове	5	7
200	даже в	6	6
201	свое время	4	6
202	перед нами	7	6
203	данном случае	11	6
204	в себе	7	6
205	нуждается в	2	6
206	как к	2	6
207	роль в	5	6
208	на этом	2	6
209	были бы	3	6
210	не всегда	4	6
211	отличие от	5	6
212	в свое	4	6
213	гораздо более	3	6
214	уже о	2	6
215	на себя	5	6
216	в отличие	5	6
217	однако что	4	6
218	не столько	4	6
219	в соответствии	5	6
220	в ее	5	6
221	той или	6	6
222	по поводу	5	6
223	за пределы	3	6
224	дело не	3	6
225	мы не	4	6
226	или в	4	6
227	пушкина в	2	6
228	же время	7	6
229	не с	3	6
230	я в	15	6
231	оно не	2	6
232	соответствии с	3	6
233	приводит к	5	6
234	могли бы	2	6
235	для пушкина	3	6
236	никогда не	7	5
237	в конечном	5	5
238	в отношении	2	5
239	к его	2	5
240	и к	7	5
241	а на	2	5
242	не будем	2	5
243	в форме	2	5
244	в другом	3	5
245	в конце	6	5
246	здесь как	2	5
247	так что	2	5
248	по своему	3	5
249	не так	2	5
250	так в	4	5
251	всего лишь	13	5
252	но как	4	5
253	и от	3	5
254	время в	2	5
255	и он	4	5
256	не как	3	5
257	и даже	12	5
258	я и	6	5
259	превращается в	3	5
260	одного и	4	5
261	у него	2	5
262	отношение к	2	5
263	и является	3	5
264	о котором	2	5
265	или иначе	5	5
266	есть не	2	5
267	и их	3	5
268	только не	3	5
269	и того	4	5
270	на примере	2	5
271	но с	3	5
272	не о	2	4
273	все они	2	4
274	к одному	2	4
275	его в	4	4
276	о которых	2	4
277	о чем	5	4
278	в каждом	4	4
279	обе эти	2	4
280	и далее	2	4
281	к которому	2	4
282	а лишь	2	4
283	как нельзя	3	4
284	одно из	3	4
285	на месте	2	4
286	и все	3	4
287	к этой	2	4
288	мог бы	3	4
289	во втором	4	4
290	и без	3	4
291	одного из	4	4
292	а а	5	4
293	а вот	3	4
294	между ними	3	4
295	однако в	6	4
296	в известном	2	4
297	пушкина и	3	4
298	иначе говоря	5	4
299	как известно	3	4
300	могла бы	3	4
301	в году	5	4
302	то в	4	4
303	но дело	2	4
304	однако и	3	4
305	конечном счете	5	4
306	который не	2	4
307	и по	3	4
308	мы можем	2	4
309	тот или	3	4
310	такой же	2	4
311	е о	2	4
312	отношения к	6	4
313	не должно	3	4
314	из которых	2	4
315	из них	4	4
316	сам по	2	4
317	не более	2	4
318	так или	5	4
319	не мог	4	4
320	указание на	3	4
321	состоит не	3	3
322	на эту	2	3
323	каждый из	2	3
324	во многих	2	3
325	с той	3	3
326	сколь бы	2	3
327	все той	2	3
328	противном случае	2	3
329	который в	4	3
330	как формы	2	3
331	роли в	6	3
332	от себя	3	3
333	в одно	2	3
334	с таким	5	3
335	в романе	3	3
336	в искусстве	3	3
337	этом что	2	3
338	и тех	2	3
339	в контексте	3	3
340	другое дело	2	3
341	в сторону	2	3
342	на его	3	3
343	в начале	10	3
344	не для	2	3
345	о его	3	3
346	и может	2	3
347	и я	3	3
