N	3gram	Tiupa_Anal	DiskursI
1	в том что	12	28
2	в отличие от	5	26
3	по отношению к	9	17
4	с одной стороны	3	14
5	не может быть	2	12
6	в данном случае	11	12
7	той или иной	6	10
8	то же время	7	10
9	по природе своей	3	10
10	о том что	7	9
11	в то же	7	8
12	в этом отношении	3	8
13	состоит в том	2	8
14	о блудном сыне	12	7
15	тогда как в	3	7
16	как и в	6	7
17	по крайней мере	5	6
18	в соответствии с	2	6
19	в основе своей	2	6
20	с точки зрения	2	6
21	в конечном счете	5	6
22	к тому же	7	6
23	в русской литературе	5	5
24	и как бы	2	5
25	подобно тому как	3	5
26	в значительной степени	3	5
27	не только в	5	5
28	присутствия в мире	5	5
29	с другой стороны	7	5
30	дело в том	3	5
31	в свою очередь	7	5
32	и прежде всего	2	4
33	в свое время	4	4
34	до известной степени	3	4
35	тем не менее	3	4
36	тот или иной	3	4
37	одного и того	4	4
38	можно сказать что	2	4
39	однако при этом	2	4
40	со стороны адресата	2	4
41	в полной мере	3	4
42	не более чем	2	4
43	и того же	4	4
44	как уже говорилось	2	3
45	в повестях белкина	10	3
46	ивана петровича белкина	9	3
47	притчи о блудном	3	3
48	мы имеем дело	4	3
49	в сочетании с	4	3
50	во всяком случае	6	3
51	в одной из	2	3
52	того или иного	5	3
53	в равной степени	2	3
54	петровича белкина в	2	2
55	жанры как формы	2	2
56	речь идет о	2	2
57	и той же	2	2
58	сказания или анекдота	2	2
59	в немалой степени	2	2
60	так и не	5	2
61	роли в миропорядке	5	2
62	с той или	2	2
63	тем или иным	2	2
64	или из барышни-крестьянки	2	2
65	но и в	2	2
66	субъекта объекта и	2	2
67	притча и анекдот	2	2
68	участников коммуникативного события	3	2
69	одних и тех	2	2
70	и тех же	2	2
71	и в форме	2	2
72	одной и той	2	2
73	при этом как	2	2
74	едва ли не	3	2
75	имеем дело не	2	2
76	не удивительно что	2	2
77	как к содержанию	2	2
78	я в мире	7	2
79	объекта и адресата	2	2
80	героем притчи о	2	2
81	включает в себя	2	2
82	уже было сказано	2	2
83	а в том	2	2
84	индивидуального речевого замысла	2	2
85	по своему происхождению	2	2
86	и то что	2	2
87	в том чтобы	2	2
