N	3gram	Bakhtin_Fr	Vladivir
1	в том что	2	29
2	о том что	3	22
3	дело в том	2	13
4	во всяком случае	2	12
5	в связи с	5	12
6	в конце концов	3	11
7	в то же	13	10
8	с точки зрения	4	10
9	не может быть	2	10
10	то же время	13	9
11	а также и	4	8
12	как мы знаем	2	6
13	в данном случае	3	6
14	в отличие от	3	6
15	в настоящее время	2	6
16	как мы видели	4	6
17	с другой стороны	5	6
18	но даже и	2	5
19	и в то	2	5
20	не только в	3	5
21	можно сказать что	2	4
22	как мы уже	8	4
23	в этом отношении	4	4
24	в том же	3	4
25	можно было бы	2	4
26	с одной стороны	4	4
27	для того чтобы	5	4
28	и вообще в	2	3
29	даже и в	2	3
30	в том числе	4	3
31	начала и до	7	3
32	только то что	2	3
33	и до конца	8	3
34	в связи со	2	3
35	с начала и	7	3
36	мы уже сказали	2	3
37	это вовсе не	2	3
38	в свою очередь	2	3
39	и прежде всего	3	2
40	за то что	2	2
41	не было ни	3	2
42	и тот же	3	2
43	может быть и	2	2
44	но в то	7	2
45	до сих пор	6	2
46	и с его	2	2
47	подлежит никакому сомнению	2	2
48	не подлежит никакому	2	2
49	одной стороны и	2	2
50	но как раз	2	2
51	один и тот	3	2
52	это и есть	2	2
53	в париже и	2	2
