N	2gram	Berdyaev_N	Formalny
1	и в	16	95
2	и не	11	78
3	может быть	7	66
4	в этом	7	61
5	не может	16	57
6	и пр	3	53
7	так и	2	50
8	в нем	5	42
9	прежде всего	4	41
10	как и	7	39
11	не в	6	35
12	а не	17	34
13	но и	3	33
14	не только	5	30
15	в том	8	26
16	то что	4	25
17	в своей	3	24
18	лишь в	6	24
19	в ней	5	23
20	в то	2	22
21	в истории	3	21
22	что в	9	21
23	и с	2	21
24	не менее	4	20
25	и от	2	20
26	с тем	3	20
27	место в	2	20
28	все это	5	19
29	хотя бы	2	19
30	и все	4	18
31	все эти	2	18
32	должна быть	3	18
33	с его	6	18
34	как в	3	17
35	так же	2	16
36	с другой	3	16
37	потому что	4	16
38	все время	2	15
39	но в	2	15
40	должно быть	4	15
41	во всех	3	15
42	и на	2	15
43	в ее	3	14
44	еще не	3	14
45	в жизни	5	14
46	и потому	4	14
47	жизни и	8	14
48	вместе с	2	14
49	а в	2	13
50	могут быть	2	13
51	она не	3	13
52	ни в	6	13
53	как это	2	12
54	того чтобы	2	12
55	к тому	3	12
56	и для	4	12
57	уже не	2	12
58	никогда не	6	11
59	это и	2	11
60	в основе	3	11
61	но не	2	11
62	не есть	3	10
63	формы и	2	10
64	мы не	2	10
65	не было	4	10
66	по существу	2	10
67	другой стороны	2	10
68	с ее	5	10
69	конечно не	3	10
70	он не	8	10
71	совсем не	12	9
72	но это	6	9
73	и даже	2	9
74	это не	4	8
75	одной стороны	2	8
76	в них	4	8
77	с одной	2	8
78	же как	2	8
79	для этого	2	8
80	с этим	2	8
81	и должно	2	8
82	должен быть	5	8
83	и к	5	8
84	роль в	2	8
85	том что	2	7
86	в себе	2	7
87	сказать что	3	7
88	жизни в	3	7
89	высшей степени	6	7
90	в высшей	6	7
91	в россии	3	6
92	и это	2	6
93	познания и	2	6
94	за пределы	3	6
95	но для	2	6
96	такой же	2	6
97	нет и	2	6
98	о том	4	6
99	в смысле	2	6
100	должно было	2	5
101	и формы	2	5
102	не могла	2	5
103	хотя и	2	5
104	в эпоху	9	5
105	в мире	3	5
106	перестает быть	4	5
107	не имеет	4	5
108	этом смысле	2	5
109	тому как	3	5
110	равно как	2	5
111	и что	2	5
112	вопрос о	3	5
113	не будет	7	4
114	одна из	2	4
115	не значит	3	4
116	истории и	9	4
117	как не	8	4
118	на протяжении	2	4
119	не к	2	4
120	думать что	2	4
121	есть лишь	4	4
122	подобно тому	3	4
123	что такое	3	4
124	к новому	7	4
125	зависит от	2	4
126	мы говорим	2	4
127	все они	2	3
128	бытия в	2	3
129	из ее	2	3
130	ни одна	2	3
131	xviii века	2	3
132	смысле слова	3	3
133	и заключается	2	3
134	культуры и	7	3
135	в новое	3	3
136	всех сторон	4	3
137	это было	3	3
138	к созданию	2	3
139	том чтобы	2	3
140	перейти к	3	3
141	можно назвать	2	3
142	эпохи и	4	3
143	с их	2	3
144	борьба и	2	2
145	эти формы	3	2
146	человека и	3	2
147	мысли в	2	2
148	к более	2	2
149	не могли	2	2
150	не знает	6	2
151	ведь и	2	2
152	со всех	4	2
153	от всякого	2	2
154	к ним	3	2
155	мира и	2	2
156	центр тяжести	2	2
157	для чего	2	2
158	значит что	4	2
159	в русском	2	2
160	в природе	2	2
161	который в	2	2
162	но она	2	2
163	можно было	2	2
164	связаны с	2	2
165	что она	2	2
166	себя в	2	2
167	в наши	3	2
168	история в	3	2
169	времени и	2	2
170	ни к	2	2
171	и начинается	2	2
172	жизни не	3	2
173	и есть	10	2
174	к реальному	3	2
