N	3gram	Tiupa_Teor	Problema
1	тем не менее	3	56
2	в том что	10	37
3	в связи с	3	29
4	в данном случае	5	28
5	той или иной	3	26
6	с точки зрения	3	25
7	с другой стороны	6	25
8	в таком случае	2	23
9	сама по себе	2	21
10	в этом смысле	3	19
11	для того чтобы	5	17
12	в то же	8	17
13	того или иного	6	13
14	не может быть	5	12
15	можно сказать что	3	12
16	так или иначе	5	12
17	бы то ни	2	11
18	с одной стороны	3	11
19	тех или иных	3	11
20	более или менее	6	10
21	не только не	2	10
22	и тем самым	2	10
23	может быть и	2	9
24	тот или иной	3	7
25	и то же	2	6
26	то ни было	2	6
27	в самом деле	2	6
28	имеем в виду	3	5
29	том что он	2	5
30	одно и то	2	5
31	в том числе	3	5
32	в коем случае	2	4
33	этой точки зрения	2	4
34	а с другой	2	4
35	отношение знака к	3	4
36	ту или иную	2	4
37	ни в коем	2	4
38	подобно тому как	3	4
39	том числе и	2	4
40	мы имеем дело	2	4
41	в русской литературе	2	3
42	но в то	2	3
43	к тому что	2	3
44	с этой точки	2	3
45	и в то	2	3
46	как и в	2	3
47	одного и того	4	3
48	в отличие от	7	3
49	в известном смысле	2	3
50	и того же	4	3
51	мы имеем в	3	2
52	в войне и	2	2
53	по отношению к	10	2
54	в основе своей	2	2
55	и в самом	2	2
56	в свою очередь	3	2
57	во всей его	2	2
58	в виду не	3	2
59	войне и мире	2	2
