N	2gram	Tiupa_Hudo	Dialekti
1	т е	6	159
2	и не	15	120
3	и т	15	82
4	по себе	3	79
5	а не	23	78
6	и в	34	77
7	т д	5	75
8	точки зрения	7	72
9	может быть	12	71
10	не только	22	66
11	то что	13	59
12	ничего не	11	54
13	не может	10	53
14	и даже	4	47
15	так как	2	46
16	с точки	5	46
17	что это	2	46
18	потому что	7	45
19	как бы	11	43
20	ни в	5	42
21	и что	3	42
22	не имеет	2	41
23	вовсе не	2	41
24	в том	24	40
25	в этом	22	39
26	то же	14	39
27	в себе	19	38
28	что она	10	38
29	том что	31	37
30	что он	14	37
31	прежде всего	12	37
32	это не	12	36
33	так что	3	36
34	что в	8	34
35	в нем	5	34
36	и все	10	33
37	того что	5	33
38	но и	13	32
39	все это	2	31
40	ясно что	2	31
41	отнюдь не	4	30
42	сказать что	3	30
43	так и	19	29
44	было бы	8	29
45	как и	16	28
46	никогда не	8	27
47	не в	16	26
48	есть и	3	26
49	и то	2	25
50	говорить о	4	25
51	если бы	7	24
52	но это	2	24
53	в то	12	23
54	это и	2	23
55	я не	8	22
56	она не	6	21
57	что не	4	21
58	личности и	3	21
59	что все	3	20
60	только в	8	20
61	как раз	7	20
62	что и	3	20
63	о том	21	20
64	уже не	12	20
65	и с	10	20
66	в таком	3	20
67	в своем	9	19
68	как это	8	19
69	не менее	9	19
70	и это	7	19
71	в самом	7	19
72	и его	8	19
73	что же	4	18
74	с другой	4	18
75	хотя бы	2	18
76	же время	11	18
77	ни на	2	18
78	жизни и	10	18
79	в основе	3	17
80	в сущности	2	17
81	можно сказать	9	17
82	должно быть	2	17
83	в своей	15	16
84	мы не	2	16
85	нет ничего	4	16
86	только не	3	16
87	или не	3	16
88	к нему	2	16
89	да и	5	16
90	об этом	8	16
91	тем не	7	16
92	и о	8	15
93	то в	6	15
94	только что	4	15
95	все же	5	15
96	так же	3	15
97	в виде	2	15
98	самом деле	6	15
99	хотя и	3	15
100	же и	3	15
101	на то	4	15
102	личности в	9	15
103	несмотря на	7	15
104	мы уже	7	15
105	и потому	3	14
106	жизнь и	2	14
107	и ее	3	14
108	ни с	2	14
109	с ним	6	14
110	же это	2	14
111	на свете	2	14
112	не было	8	14
113	и только	2	14
114	ни о	3	13
115	в силу	2	13
116	но в	6	13
117	в ней	6	13
118	говорит о	4	13
119	он не	8	13
120	что они	4	13
121	с ее	7	13
122	и к	6	13
123	не могу	3	13
124	вопрос о	2	12
125	еще не	10	12
126	все эти	4	12
127	никак не	3	12
128	все равно	2	12
129	именно в	9	12
130	перед нами	13	12
131	но как	3	12
132	а в	11	12
133	с этим	3	12
134	и тогда	2	12
135	но не	7	12
136	не о	3	11
137	та же	5	11
138	и тем	2	11
139	только на	6	11
140	ничем не	3	11
141	в них	3	11
142	в данном	3	11
143	как только	3	11
144	что я	4	11
145	из них	5	11
146	о личности	2	11
147	или в	3	11
148	может и	3	10
149	одно из	4	10
150	в душе	6	10
151	от этого	2	10
152	к тому	11	10
153	в ее	16	10
154	как мы	5	10
155	в его	17	10
156	содержит в	2	10
157	это было	2	10
158	для того	3	10
159	с этой	3	10
160	себе и	3	10
161	и для	5	10
162	чтобы не	3	10
163	в их	2	10
164	в частности	10	10
165	только потому	2	10
166	на себе	3	10
167	и уже	3	10
168	то и	5	10
169	в результате	2	10
170	бытия и	4	10
171	времени и	2	10
172	как будто	7	10
173	в жизни	9	10
174	только о	2	10
175	как он	4	9
176	и по	3	9
177	превращается в	6	9
178	не как	3	9
179	подобно тому	4	9
180	в этих	7	9
181	и более	2	9
182	в котором	5	9
183	тому как	4	9
184	той же	3	9
185	в одном	3	9
186	или иной	2	9
187	и от	6	9
188	была бы	3	9
189	тому что	8	9
190	быть может	7	9
191	же как	4	9
192	с ними	3	9
193	при этом	21	9
194	и когда	4	9
195	и он	6	9
196	бы в	2	9
197	та или	4	9
198	как о	3	9
199	на этом	5	9
200	и на	6	9
201	на самом	2	8
202	от него	3	8
203	или иная	4	8
204	в дальнейшем	2	8
205	в этой	11	8
206	все время	2	8
207	того или	4	8
208	с одной	4	8
209	но все	2	8
210	даже в	4	8
211	в одной	3	8
212	один из	6	8
213	когда мы	2	8
214	бы и	2	8
215	нет и	2	8
216	или иначе	3	8
217	в сфере	2	8
218	себя в	11	8
219	тем самым	2	7
220	и сама	3	7
221	в конце	5	7
222	из этих	3	7
223	а только	4	7
224	связи с	4	7
225	тем что	6	7
226	в связи	3	7
227	все что	4	7
228	как она	3	7
229	и об	3	7
230	нуждается в	2	7
231	со стороны	6	7
232	от себя	3	7
233	не знает	2	7
234	с его	9	7
235	как в	11	7
236	так или	3	7
237	в мире	10	7
238	с какой	3	7
239	он сам	3	7
240	то ни	2	7
241	как на	2	7
242	но он	3	7
243	еще и	2	6
244	в другом	3	6
245	отношение к	3	6
246	для своего	2	6
247	они не	2	6
248	того чтобы	6	6
249	себя и	4	6
250	одна из	4	6
251	в которой	2	6
252	по своей	5	6
253	ни к	2	6
254	быть только	2	6
255	как все	2	6
256	она в	5	6
257	в себя	3	6
258	но с	3	6
259	вместе с	2	6
260	его в	5	6
261	о чем	9	6
262	по своему	3	6
263	о нем	4	6
264	одной стороны	4	6
265	можно было	6	6
266	во всех	2	6
267	о котором	2	6
268	дело не	2	6
269	я и	7	6
270	для него	15	6
271	не с	2	6
272	уже в	2	6
273	во времени	2	5
274	но мы	2	5
275	с той	2	5
276	что на	4	5
277	же не	3	5
278	речь идет	3	5
279	для нее	6	5
280	от личности	2	5
281	если в	4	5
282	которая не	3	5
283	сих пор	3	5
284	едва ли	6	5
285	например в	3	5
286	что у	4	5
287	их в	2	5
288	в своих	4	5
289	когда он	2	5
290	личности с	3	5
291	раз и	2	5
292	от нее	2	5
293	все в	2	5
294	в это	4	5
295	не раз	2	5
296	и у	3	5
297	говоря о	2	5
298	в него	2	5
299	и она	2	5
300	все его	3	5
301	в качестве	13	5
302	к ней	2	5
303	и другое	2	5
304	со всей	2	5
305	и так	3	5
306	он и	2	5
307	до сих	3	5
308	данном случае	3	4
309	человека и	4	4
310	что бы	2	4
311	он будет	3	4
312	а как	2	4
313	мы знаем	4	4
314	что даже	2	4
315	на них	2	4
316	это уже	2	4
317	тоже не	2	4
318	заметить что	2	4
319	своей собственной	2	4
320	личность в	4	4
321	в состоянии	3	4
322	и эта	3	4
323	и личность	3	4
324	только для	4	4
325	нас в	2	4
326	с другим	2	4
327	уже знаем	2	4
328	о себе	3	4
329	том как	5	4
330	сразу же	2	4
331	но именно	3	4
332	у вас	3	4
333	не зная	2	4
334	т п	10	4
335	говорить об	2	4
336	жизнь в	3	4
337	на себя	3	4
338	с нею	2	4
339	что личность	2	4
340	как например	2	4
341	не нужно	3	4
342	этом отношении	4	4
343	но ведь	2	4
344	у него	13	4
345	такой же	3	4
346	не по	2	4
347	будто бы	6	4
348	это время	2	4
349	видно что	3	4
350	к жизни	6	4
351	можно назвать	2	4
352	друг друга	5	4
353	поэтому и	2	4
354	же в	3	4
355	же самое	4	4
356	у которого	2	4
357	чем же	2	4
358	я с	2	3
359	в первую	2	3
360	для нас	4	3
361	сознания в	2	3
362	именно так	2	3
363	самое что	2	3
364	сам не	2	3
365	тех кто	2	3
366	нас к	2	3
367	от своего	2	3
368	к своему	2	3
369	в москве	2	3
370	а с	5	3
371	одной из	5	3
372	идет о	3	3
373	что можно	2	3
374	место в	3	3
375	не бывает	3	3
376	в первом	2	3
377	бытия как	3	3
378	об одном	3	3
379	этот момент	3	3
380	тех же	2	3
381	я сам	2	3
382	здесь не	2	3
383	ту или	2	3
384	о своем	2	3
385	мысли и	2	3
386	на него	3	3
387	лишь в	5	3
388	о самом	2	3
389	все они	2	3
390	и потом	2	3
391	как у	2	3
392	чем не	2	3
393	было ни	2	3
394	я в	2	3
395	или иную	2	3
396	зная что	2	3
397	одних и	2	3
398	природы если	2	3
399	о которых	2	3
400	личности которая	2	3
401	такая же	2	3
402	вслед за	3	3
403	на свои	2	3
404	же о	2	3
405	для себя	9	3
406	из жизни	2	3
407	к этой	4	3
408	а то	2	3
409	в голову	3	3
410	так в	2	3
411	не умеет	3	3
412	к другому	5	3
413	различия между	3	3
414	и смерти	4	3
415	или иного	4	3
416	с другими	2	3
417	ее на	3	3
418	по преимуществу	6	3
419	не более	3	3
420	и тех	3	3
421	бы не	3	3
422	на земле	2	3
423	знаем что	2	3
424	когда же	3	3
425	что было	3	3
426	по его	4	3
427	не знаем	2	3
428	между тем	14	3
429	ее и	2	2
430	этой жизни	2	2
431	не имеют	3	2
432	она может	2	2
433	еще раз	2	2
434	в соответствующих	2	2
435	при всей	3	2
436	и поэтому	2	2
437	наряду с	4	2
438	как к	4	2
439	роль в	2	2
440	друг от	2	2
441	своей жизни	6	2
442	в аспекте	5	2
443	то о	2	2
444	они были	2	2
445	любви к	2	2
446	на месте	2	2
447	на его	2	2
448	ни одна	2	2
449	во втором	2	2
450	не могла	4	2
451	однако в	4	2
452	с такой	3	2
453	то чего	2	2
454	в полном	2	2
455	своей природе	2	2
456	не вызывает	2	2
457	ответить на	2	2
458	мы с	3	2
459	в духе	6	2
460	дело в	2	2
461	у нее	10	2
462	ему быть	2	2
463	мысль о	2	2
464	и хорошо	2	2
465	и быть	4	2
466	его личности	3	2
467	нечто иное	2	2
468	вот и	3	2
469	наконец в	2	2
470	не во	3	2
471	его жизни	6	2
472	но тем	2	2
473	все еще	3	2
474	прежде чем	2	2
475	от друга	2	2
476	в такой	2	2
477	о них	4	2
478	это так	3	2
479	еще в	4	2
480	в я	4	2
481	в сторону	2	2
482	внимание на	3	2
483	и ему	5	2
484	в других	4	2
485	но еще	3	2
486	в нашем	2	2
487	жизни не	2	2
488	не сводимой	3	2
489	и состоит	4	2
490	ибо в	2	2
491	и остается	2	2
492	ему не	3	2
493	в каждой	2	2
494	легко заметить	2	2
495	в человеке	5	2
496	он от	2	2
497	жизни он	2	2
498	или с	2	2
499	несет на	2	2
500	жизни так	4	2
501	себе в	2	2
502	уже одно	2	2
503	бы на	2	2
504	на том	3	2
505	они и	2	2
506	человеческой жизни	9	2
507	ближе к	2	2
508	между ними	2	2
509	и говорит	2	2
510	жизни ведь	2	2
511	в черном	2	2
512	и чувства	2	2
513	там где	2	2
514	когда в	4	2
515	как два	2	2
516	могла бы	2	2
517	но при	3	2
518	в целом	2	2
519	него и	2	2
520	на одном	2	2
521	на это	2	2
522	а о	2	2
523	человека в	10	2
524	жизни в	12	2
525	в изображении	2	2
526	его и	2	2
527	мысли в	2	2
528	всей своей	2	2
529	не должно	2	2
530	раз в	5	2
531	взгляда на	2	2
532	а между	4	2
533	человек в	3	2
534	в другой	2	2
535	жизни личности	2	2
536	жизни с	3	2
537	но когда	2	2
538	именно на	2	2
539	и уж	2	2
540	и сам	3	2
541	как его	3	2
542	этих двух	2	2
543	в системе	2	2
