N	2gram	Berdyaev_M	KFilosof
1	может быть	42	45
2	в его	10	42
3	в нем	26	32
4	не может	39	29
5	и не	26	28
6	и в	61	28
7	по отношению	4	26
8	в котором	9	24
9	отношению к	4	22
10	не есть	21	22
11	в себе	12	21
12	и его	13	18
13	только в	7	18
14	в своем	17	17
15	в ее	3	17
16	а не	36	17
17	в этом	34	15
18	не в	16	13
19	для него	28	13
20	точки зрения	6	13
21	но не	8	12
22	и это	16	12
23	к нему	8	12
24	ни в	3	12
25	мир в	3	12
26	в своей	18	11
27	во всех	3	11
28	из себя	2	11
29	все эти	3	11
30	это не	10	10
31	и для	7	10
32	все это	6	10
33	и есть	21	10
34	в их	4	9
35	но и	34	9
36	как бы	10	9
37	и все	13	9
38	момент его	2	9
39	себя в	6	8
40	если бы	5	8
41	не было	25	8
42	лишь в	8	8
43	в мире	12	8
44	жизни и	6	8
45	было бы	11	8
46	и здесь	6	7
47	должен быть	4	7
48	то что	10	7
49	уже не	8	7
50	конечно не	3	7
51	что и	6	7
52	во всем	5	7
53	момент в	5	7
54	ее и	2	6
55	должно быть	5	6
56	менее всего	10	6
57	отношение к	9	6
58	но эта	2	6
59	мира в	2	6
60	в том	9	6
61	лишь момент	4	6
62	не имеет	7	6
63	место в	4	6
64	и их	3	6
65	я не	4	6
66	но это	8	6
67	и я	5	6
68	он не	34	6
69	не значит	2	6
70	никогда не	30	5
71	от его	3	5
72	его в	6	5
73	все же	2	5
74	не только	42	5
75	его как	2	5
76	хотя бы	8	5
77	то же	4	5
78	жизни в	3	5
79	не знает	12	5
80	а в	4	5
81	но в	12	5
82	культуры и	2	5
83	есть лишь	23	5
84	как и	14	5
85	ко всему	2	5
86	от своей	2	5
87	себя и	6	5
88	я и	3	5
89	бытия но	2	5
90	с ним	5	5
91	проникает в	3	5
92	в основе	4	5
93	в каком	2	4
94	что это	5	4
95	нет в	5	4
96	том что	7	4
97	что в	12	4
98	не как	4	4
99	чем не	3	4
100	о нем	2	4
101	прежде всего	18	4
102	в чем	3	4
103	с другим	3	4
104	в своих	4	4
105	мира и	6	4
106	входит в	3	4
107	для нас	3	4
108	должна быть	7	4
109	между тем	2	4
110	до конца	16	3
111	ничего не	4	3
112	в то	2	3
113	на самом	2	3
114	от него	4	3
115	человека и	19	3
116	в каждом	4	3
117	этого мира	3	3
118	мира не	3	3
119	от того	4	3
120	а лишь	3	3
121	есть момент	2	3
122	это и	7	3
123	тем что	7	3
124	та же	4	3
125	бы не	4	3
126	для того	4	3
127	в момент	3	3
128	самом деле	2	3
129	тем как	2	3
130	в виду	2	3
131	людей и	5	3
132	себе и	4	3
133	к чему	5	3
134	лишь как	3	3
135	и тот	2	3
136	с человеком	2	3
137	по своему	3	3
138	нет и	6	3
139	и этот	4	3
140	только с	3	3
141	о том	5	3
142	не могу	4	3
143	в ней	23	3
144	в свою	5	3
145	могут быть	2	3
146	но для	2	3
147	и этим	2	3
148	тогда когда	2	3
149	и та	2	3
150	и на	9	3
151	что не	3	3
152	на своем	4	3
153	того что	13	3
154	мы не	2	3
155	был бы	11	3
156	не быть	2	3
157	бы и	8	3
158	быть и	2	3
159	не о	2	2
160	и то	2	2
161	в мир	3	2
162	чтобы не	4	2
163	для этого	3	2
164	ее как	2	2
165	и мы	2	2
166	и потому	17	2
167	бы он	2	2
168	к которой	4	2
169	его к	2	2
170	его с	4	2
171	его на	4	2
172	сознания в	2	2
173	можно и	2	2
174	и ее	2	2
175	и эта	3	2
176	не потому	2	2
177	к этому	3	2
178	вопрос о	7	2
179	философии но	2	2
180	к себе	3	2
181	как к	2	2
182	и как	3	2
183	а как	2	2
184	и других	2	2
185	не остается	2	2
186	он ни	2	2
187	что он	16	2
188	под ним	2	2
189	бытия не	2	2
190	и за	2	2
191	этот мир	2	2
192	а для	2	2
193	так и	5	2
194	ни к	2	2
195	но этот	3	2
196	отношении к	4	2
197	жизнь и	5	2
198	его и	2	2
199	что есть	7	2
200	смысле в	2	2
201	нем не	2	2
202	в жизни	7	2
203	с тем	10	2
204	как в	9	2
205	от этого	4	2
206	думать что	4	2
207	в него	3	2
208	одна и	3	2
209	только это	2	2
210	тому что	2	2
211	можно ли	2	2
212	она не	9	2
213	и она	5	2
214	еще более	3	2
215	истины и	2	2
216	оно не	3	2
217	ни у	2	2
218	которой все	2	2
219	и именно	2	2
220	он и	2	2
221	один из	9	2
222	что за	2	2
223	него и	3	2
224	по себе	2	2
225	потому что	25	2
226	совсем не	3	2
227	не будет	3	2
228	которой он	2	2
229	может не	3	2
230	того чтобы	4	2
231	и когда	2	2
232	и мир	2	2
233	человек не	17	2
234	ведь это	2	2
235	человек и	7	2
236	это есть	4	2
237	быть не	2	2
238	в этой	12	2
239	с его	6	2
