N	3gram	Voloshinov	TeoriaLi
1	в том что	9	10
2	по отношению к	11	10
3	в то же	6	8
4	то же время	6	8
5	в отличие от	2	7
6	в конечном счете	3	6
7	в данном случае	4	5
8	для того чтобы	3	5
9	не может быть	14	5
10	с точки зрения	15	3
11	с одной стороны	2	3
12	в этом смысле	2	3
13	тем не менее	4	3
14	можно сказать что	5	3
15	в свою очередь	4	3
16	внутренней и внешней	3	2
17	то ни было	2	2
18	бы то ни	3	2
19	в таком случае	4	2
20	в самом деле	10	2
21	а с другой	2	2
22	том что он	2	2
23	к тому что	2	2
24	во внешнем мире	4	2
25	может быть и	6	2
26	не могут быть	4	2
27	но в то	3	2
